asset_id,pilot_id,ticker,provider_symbol_jquants,provider_symbol_twse,company_name,country,exchange,mic,isin,lei,quoting_currency,identity_source,identity_status,identity_notes,price_history_available,price_sessions_available,price_date_range_start,price_date_range_end,fundamentals_eligible
P153,P153,3697,36970,,SHIFT Inc.,JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P154,P154,3908,39080,,Collabos Corporation,JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,484,2024-06-10,2026-06-08,True
P155,P155,4040,40400,,"NANKAI CHEMICAL COMPANY,LIMITED",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P156,P156,4202,42020,,Daicel Corporation,JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P157,P157,4371,43710,,Core Concept Technologies Inc.,JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P158,P158,4490,44900,,VisasQ Inc.,JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P159,P159,4644,46440,,"Imagineer Co.,Ltd.",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P160,P160,4828,48280,,Business Engineering Corporation,JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P161,P161,5031,50310,,Moi Corporation,JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P162,P162,5310,53100,,"TOYO TANSO CO.,LTD.",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P163,P163,5632,56320,,"Mitsubishi Steel Mfg.Co.,Ltd.",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P164,P164,5947,59470,,RINNAI CORPORATION,JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P165,P165,6098,60980,,"Recruit Holdings Co.,Ltd.",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P166,P166,6269,62690,,"MODEC,INC.",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P167,P167,6420,64200,,GALILEI CO.LTD.,JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P168,P168,6571,65710,,"QB Net Holdings Co.,Ltd.",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P169,P169,6763,67630,,"Teikoku Tsushin Kogyo Co.,Ltd.",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P170,P170,6946,69460,,"Nippon Avionics Co.,Ltd.",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P171,P171,7094,70940,,NexTone Inc.,JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P172,P172,7272,72720,,"Yamaha Motor Co.,Ltd.",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P173,P173,7460,74600,,"YAGI & CO.,LTD.",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P174,P174,7638,76380,,"NEW ART HOLDINGS Co.,Ltd.",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P175,P175,7823,78230,,ARTNATURE INC.,JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P176,P176,7984,79840,,"KOKUYO CO.,LTD.",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P177,P177,8135,81350,,ZETT CORPORATION,JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P178,P178,8381,83810,,"The San-in Godo Bank,Ltd.",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P179,P179,8848,88480,,LEOPALACE21 CORPORATION,JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P180,P180,9107,91070,,"Kawasaki Kisen Kaisha,Ltd.",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P181,P181,9327,93270,,"e-LogiT co.,ltd.",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P182,P182,9537,95370,,"HOKURIKU GAS CO.,LTD.",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,422,2024-06-10,2026-06-08,True
P183,P183,9769,97690,,"GAKKYUSHA CO.,LTD.",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P184,P184,9997,99970,,"BELLUNA CO.,LTD.",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P016,P016,1101.TW,,1101.TW,臺灣水泥股份有限公司,TW,TWSE,,,,TWD,deterministic_ticker_suffix_v2_33d_confirmed_v2_33i,identity_verified,"Deterministic .TW ticker mapping (v2.33D), confirmed by 16-year real official price collection (v2.33I) under the same code.",True,4079,2010-01-04,2026-08-28,True
P017,P017,1525.TW,,1525.TW,江申工業股份有限公司,TW,TWSE,,,,TWD,deterministic_ticker_suffix_v2_33d_confirmed_v2_33i,identity_verified,"Deterministic .TW ticker mapping (v2.33D), confirmed by 16-year real official price collection (v2.33I) under the same code.",True,4078,2010-01-04,2026-08-31,True
P018,P018,2102.TW,,2102.TW,泰豐輪胎股份有限公司,TW,TWSE,,,,TWD,deterministic_ticker_suffix_v2_33d_confirmed_v2_33i,identity_verified,"Deterministic .TW ticker mapping (v2.33D), confirmed by 16-year real official price collection (v2.33I) under the same code.",True,4079,2010-01-04,2026-08-28,True
P019,P019,2514.TW,,2514.TW,龍邦國際興業股份有限公司,TW,TWSE,,,,TWD,deterministic_ticker_suffix_v2_33d_confirmed_v2_33i,identity_verified,"Deterministic .TW ticker mapping (v2.33D), confirmed by 16-year real official price collection (v2.33I) under the same code.",True,4074,2010-01-04,2026-08-28,True
P020,P020,3049.TW,,3049.TW,精金科技股份有限公司,TW,TWSE,,,,TWD,deterministic_ticker_suffix_v2_33d_confirmed_v2_33i,identity_verified,"Deterministic .TW ticker mapping (v2.33D), confirmed by 16-year real official price collection (v2.33I) under the same code.",True,4074,2010-01-04,2026-08-28,True
P021,P021,4952.TW,,4952.TW,凌通科技股份有限公司,TW,TWSE,,,,TWD,deterministic_ticker_suffix_v2_33d_confirmed_v2_33i,identity_verified,"Deterministic .TW ticker mapping (v2.33D), confirmed by 16-year real official price collection (v2.33I) under the same code.",True,3628,2011-11-01,2026-08-28,True
P022,P022,6756.TW,,6756.TW,威鋒電子股份有限公司,TW,TWSE,,,,TWD,deterministic_ticker_suffix_v2_33d_confirmed_v2_33i,identity_verified,"Deterministic .TW ticker mapping (v2.33D), confirmed by 16-year real official price collection (v2.33I) under the same code.",True,1378,2020-12-24,2026-08-28,True
P023,P023,9958.TW,,9958.TW,世紀鋼鐵結構股份有限公司,TW,TWSE,,,,TWD,deterministic_ticker_suffix_v2_33d_confirmed_v2_33i,identity_verified,"Deterministic .TW ticker mapping (v2.33D), confirmed by 16-year real official price collection (v2.33I) under the same code.",True,4082,2010-01-04,2026-08-28,True
