asset_id,ticker,company_name,country,mic,expected_identifier,identifier_present,identifier_value,identifier_confidence,resolution_status,required_next_action,can_execute_official_collection_now,blocker_reason
U37456,RRU,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37457,EJT1,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37458,XGR2,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37459,NNGF,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37460,1T1,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37461,S94,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37462,VODI,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37463,IC1H,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37464,TCO0,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37465,RYSD,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37466,T9G,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37467,88Q,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37468,H1W,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37469,RPD,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37470,H6D0,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37471,GS71,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37472,R6C0,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37473,GU81,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37474,HT3,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37475,3RB0,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37476,NGL0,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37477,UNV0,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37478,0VQ,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
