asset_id,ticker,company_name,exchange,cik,enrichment_status,records,metrics_available,annual_records,quarterly_records,latest_filed,latest_period_end,quality_status,missing_metrics,quality_flags
U09249,1MNSTm,Monster Beverage Corp,CBOE_EUROPE,0000865752,ENRICHED_SEC_READY,787,assets|capex|eps_basic|eps_diluted|equity|operating_cash_flow|revenue,228,559,2026-08-07,2026-06-30,NORMALIZED_PARTIAL,liabilities|net_income,concept_missing
U09252,1PANWm,Palo Alto Networks Inc,CBOE_EUROPE,0001327567,ENRICHED_SEC_READY,1201,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,425,776,2026-06-03,2026-04-30,NORMALIZED_READY,,
U09255,1PATHm,UiPath Inc,CBOE_EUROPE,0001734722,ENRICHED_SEC_READY,586,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,130,456,2026-06-04,2026-04-30,NORMALIZED_READY,,
U09256,1PLTRm,Palantir Technologies Inc,CBOE_EUROPE,0001321655,ENRICHED_SEC_READY,662,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,164,498,2026-08-04,2026-06-30,NORMALIZED_READY,,
U09257,1QZd,Coinbase Global Inc,CBOE_EUROPE,0001679788,ENRICHED_SEC_READY,555,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,121,434,2026-07-30,2026-06-30,NORMALIZED_READY,,
U09260,1RIVNm,Rivian Automotive Inc,CBOE_EUROPE,0001874178,ENRICHED_SEC_READY,558,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,130,428,2026-07-30,2026-06-30,NORMALIZED_READY,,
U09261,1SId,Snap Inc,CBOE_EUROPE,0001564408,ENRICHED_SEC_READY,983,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,222,761,2026-08-04,2026-06-30,NORMALIZED_READY,,
U09262,1SPCXm,Space Exploration Technologies Corp,CBOE_EUROPE,0001181412,ENRICHED_SEC_READY,30,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,0,30,2026-08-04,2026-06-30,NORMALIZED_READY,,
U09264,1TTEKm,Tetra Tech Inc,CBOE_EUROPE,0000831641,ENRICHED_SEC_READY,1587,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,629,958,2026-07-31,2026-06-28,NORMALIZED_PARTIAL,liabilities,concept_missing
U09268,1WULFm,Terawulf Inc,CBOE_EUROPE,0001083301,ENRICHED_SEC_READY,1310,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,270,1040,2026-08-05,2026-06-30,NORMALIZED_READY,,
U09303,2OYd,Dow Inc,CBOE_EUROPE,0001751788,ENRICHED_SEC_READY,664,assets|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,160,504,2026-04-24,2026-03-31,NORMALIZED_PARTIAL,capex|liabilities,concept_missing
U09306,2PPd,PayPal Holdings Inc,CBOE_EUROPE,0001633917,ENRICHED_SEC_READY,1468,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,546,922,2026-05-05,2026-03-31,NORMALIZED_READY,,
U09316,33Ld,Lululemon Athletica Inc,CBOE_EUROPE,0001397187,ENRICHED_SEC_READY,1993,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,693,1300,2026-09-03,2026-08-02,NORMALIZED_READY,,
U09452,3QDd,Datadog Inc,CBOE_EUROPE,0001561550,ENRICHED_SEC_READY,723,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,177,546,2026-08-06,2026-06-30,NORMALIZED_READY,,
U09518,4I1d,Philip Morris International Inc,CBOE_EUROPE,0001413329,ENRICHED_SEC_READY,2278,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,828,1450,2026-07-24,2026-06-30,NORMALIZED_READY,,
U09523,4S0d,ServiceNow Inc,CBOE_EUROPE,0001373715,ENRICHED_SEC_READY,1411,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,377,1034,2026-07-23,2026-06-30,NORMALIZED_READY,,
U09555,6MKd,Merck & Co Inc,CBOE_EUROPE,0000310158,ENRICHED_SEC_READY,1546,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,370,1176,2026-08-07,2026-06-30,NORMALIZED_PARTIAL,liabilities,concept_missing
U09560,6Z1d,Airbnb Inc,CBOE_EUROPE,0001559720,ENRICHED_SEC_READY,439,assets|capex|equity|liabilities|net_income|operating_cash_flow|revenue,91,348,2026-08-06,2026-06-30,NORMALIZED_PARTIAL,eps_basic|eps_diluted,concept_missing
U09562,7DBd,Diamondback Energy Inc,CBOE_EUROPE,0001539838,ENRICHED_SEC_READY,1492,assets|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,492,1000,2026-08-05,2026-06-30,NORMALIZED_PARTIAL,capex,concept_missing
U09668,ADBd,Adobe Inc,CBOE_EUROPE,0000796343,ENRICHED_SEC_READY,2086,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,794,1292,2026-06-15,2026-05-29,NORMALIZED_READY,,
U09882,AMDd,Advanced Micro Devices Inc,CBOE_EUROPE,0000002488,ENRICHED_SEC_READY,1640,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,621,1019,2026-08-05,2026-06-27,NORMALIZED_PARTIAL,liabilities,concept_missing
U09908,AMZd,Amazon.com Inc,CBOE_EUROPE,0001018724,ENRICHED_SEC_READY,2234,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,744,1490,2026-07-31,2026-06-30,NORMALIZED_PARTIAL,liabilities,concept_missing
U09936,AP2d,Applied Materials Inc,CBOE_EUROPE,0000006951,ENRICHED_SEC_READY,1969,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,723,1246,2026-08-20,2026-07-26,NORMALIZED_READY,,
U10056,AUDd,Autodesk Inc,CBOE_EUROPE,0000769397,ENRICHED_SEC_READY,2046,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,729,1317,2026-08-28,2026-07-31,NORMALIZED_PARTIAL,liabilities,concept_missing
U10153,BACd,Verizon Communications Inc,CBOE_EUROPE,0000732712,ENRICHED_SEC_READY,1778,assets|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,732,1046,2026-07-31,2026-06-30,NORMALIZED_PARTIAL,capex|liabilities,concept_missing
U10436,BSXd,Boston Scientific Corp,CBOE_EUROPE,0000885725,ENRICHED_SEC_READY,1427,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,389,1038,2026-08-03,2026-06-30,NORMALIZED_PARTIAL,liabilities,concept_missing
U10542,C9Fd,Chipotle Mexican Grill Inc,CBOE_EUROPE,0001058090,ENRICHED_SEC_READY,1818,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,644,1174,2026-07-31,2026-06-30,NORMALIZED_READY,,
U10584,CAT1d,Caterpillar Inc,CBOE_EUROPE,0000018230,ENRICHED_SEC_READY,2051,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,845,1206,2026-08-05,2026-06-30,NORMALIZED_READY,,
U10596,CB1Ad,Constellation Brands Inc,CBOE_EUROPE,0000016918,ENRICHED_SEC_READY,1301,assets|capex|equity|liabilities|net_income|operating_cash_flow|revenue,415,886,2026-07-01,2026-05-31,NORMALIZED_PARTIAL,eps_basic|eps_diluted,concept_missing
U10702,CDSd,Cadence Design Systems Inc,CBOE_EUROPE,0000813672,ENRICHED_SEC_READY,1506,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,408,1098,2026-05-01,2026-03-31,NORMALIZED_PARTIAL,liabilities,concept_missing
U11129,CTOd,Costco Wholesale Corp,CBOE_EUROPE,0000909832,ENRICHED_SEC_READY,2582,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,894,1688,2026-06-03,2026-05-10,NORMALIZED_READY,,
U11130,CTP2d,Comcast Corp,CBOE_EUROPE,0001166691,ENRICHED_SEC_READY,2191,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,845,1346,2026-07-23,2026-06-30,NORMALIZED_PARTIAL,liabilities,concept_missing
U11156,CVSd,CVS Health Corp,CBOE_EUROPE,0000064803,ENRICHED_SEC_READY,2093,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,781,1312,2026-08-05,2026-06-30,NORMALIZED_READY,,
U11249,DCHl,Dauch Corp,CBOE_EUROPE,0001062231,ENRICHED_SEC_READY,1659,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,578,1081,2026-08-07,2026-06-30,NORMALIZED_READY,,
U11250,DCOd,Deere & Co,CBOE_EUROPE,0000315189,ENRICHED_SEC_READY,2465,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,887,1578,2026-08-27,2026-08-02,NORMALIZED_READY,,
U11459,DY6d,Devon Energy Corp,CBOE_EUROPE,0001090012,ENRICHED_SEC_READY,2109,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,714,1395,2026-08-05,2026-06-30,NORMALIZED_PARTIAL,liabilities,concept_missing
U12192,EWLd,Edwards Lifesciences Corp,CBOE_EUROPE,0001099800,ENRICHED_SEC_READY,1659,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,639,1020,2026-08-04,2026-06-30,NORMALIZED_READY,,
U12314,FB2Ad,Meta Platforms Inc,CBOE_EUROPE,0001326801,ENRICHED_SEC_READY,1470,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,374,1096,2026-07-30,2026-06-30,NORMALIZED_READY,,
U12362,FERGl,Ferguson Enterprises Inc,CBOE_EUROPE,0002011641,ENRICHED_SEC_READY,211,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,79,132,2026-08-10,2026-06-30,NORMALIZED_READY,,
U12489,FOOd,Salesforce Inc,CBOE_EUROPE,0001108524,ENRICHED_SEC_READY,2202,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,746,1456,2026-08-27,2026-07-31,NORMALIZED_READY,,
U12507,FPMBd,Freeport-McMoRan Inc,CBOE_EUROPE,0000831259,ENRICHED_SEC_READY,1764,assets|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,566,1198,2026-08-06,2026-06-30,NORMALIZED_PARTIAL,capex,concept_missing
U12650,GCPd,General Electric Co,CBOE_EUROPE,0000040545,ENRICHED_SEC_READY,2607,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,1104,1503,2026-07-16,2026-06-30,NORMALIZED_READY,,
U12733,GISd,Gilead Sciences Inc,CBOE_EUROPE,0000882095,ENRICHED_SEC_READY,2028,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,771,1257,2026-08-06,2026-06-30,NORMALIZED_PARTIAL,liabilities,concept_missing
U12837,GRMd,General Mills Inc,CBOE_EUROPE,0000040704,ENRICHED_SEC_READY,2221,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,928,1293,2026-07-01,2026-05-31,NORMALIZED_READY,,
U12903,HALd,Halliburton Co,CBOE_EUROPE,0000045012,ENRICHED_SEC_READY,1553,assets|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,357,1196,2026-07-24,2026-06-30,NORMALIZED_PARTIAL,capex,concept_missing
U13091,HRSd,L3Harris Technologies Inc,CBOE_EUROPE,0000202058,ENRICHED_SEC_READY,1767,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,517,1250,2026-07-30,2026-07-03,NORMALIZED_READY,,
U13510,ILTd,Illinois Tool Works Inc,CBOE_EUROPE,0000049826,ENRICHED_SEC_READY,1510,assets|capex|eps_basic|eps_diluted|equity|operating_cash_flow|revenue,526,984,2026-08-06,2026-06-30,NORMALIZED_PARTIAL,liabilities|net_income,concept_missing
U13589,INLd,Intel Corp,CBOE_EUROPE,0000050863,ENRICHED_SEC_READY,1590,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,419,1171,2026-07-24,2026-06-27,NORMALIZED_PARTIAL,liabilities,concept_missing
U13771,ITUd,Intuit Inc,CBOE_EUROPE,0000896878,ENRICHED_SEC_READY,2154,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,783,1371,2026-05-20,2026-04-30,NORMALIZED_READY,,
U13894,J5Ad,Warner Bros Discovery Inc,CBOE_EUROPE,0001437107,ENRICHED_SEC_READY,2041,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,684,1357,2026-08-06,2026-06-30,NORMALIZED_READY,,
U14175,KOSl,Kosmos Energy Ltd,CBOE_EUROPE,0001509991,ENRICHED_SEC_READY,1524,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,501,1023,2026-08-03,2026-06-30,NORMALIZED_PARTIAL,liabilities,concept_missing
U14192,KTFd,Mondelez International Inc,CBOE_EUROPE,0001103982,ENRICHED_SEC_READY,2218,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,828,1390,2026-04-28,2026-03-31,NORMALIZED_READY,,
U14386,LOMd,Lockheed Martin Corp,CBOE_EUROPE,0000936468,ENRICHED_SEC_READY,2140,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,830,1310,2026-07-23,2026-06-28,NORMALIZED_READY,,
U14536,M44d,MARA Holdings Inc,CBOE_EUROPE,0001507605,ENRICHED_SEC_READY,1318,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,353,965,2026-08-06,2026-06-30,NORMALIZED_READY,,
U14600,MDOd,McDonald's Corp,CBOE_EUROPE,0000063908,ENRICHED_SEC_READY,2072,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,744,1328,2026-08-07,2026-06-30,NORMALIZED_PARTIAL,liabilities,concept_missing
U14683,MLB1d,MercadoLibre Inc,CBOE_EUROPE,0001099590,ENRICHED_SEC_READY,2160,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,943,1217,2026-08-06,2026-06-30,NORMALIZED_READY,,
U14783,MTEd,Micron Technology Inc,CBOE_EUROPE,0000723125,ENRICHED_SEC_READY,2048,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,721,1327,2026-06-25,2026-05-28,NORMALIZED_READY,,
U15035,NTHd,Northrop Grumman Corp,CBOE_EUROPE,0001133421,ENRICHED_SEC_READY,2107,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,835,1272,2026-07-21,2026-06-30,NORMALIZED_READY,,
U15048,NVDd,NVIDIA Corp,CBOE_EUROPE,0001045810,ENRICHED_SEC_READY,1886,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,697,1189,2026-08-26,2026-07-26,NORMALIZED_READY,,
U15116,ONKd,ONEOK Inc,CBOE_EUROPE,0001039684,ENRICHED_SEC_READY,2141,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,712,1429,2026-08-04,2026-06-30,NORMALIZED_PARTIAL,liabilities,concept_missing
U15121,OPCd,Occidental Petroleum Corp,CBOE_EUROPE,0000797468,ENRICHED_SEC_READY,1780,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,478,1302,2026-08-05,2026-06-30,NORMALIZED_PARTIAL,liabilities,concept_missing
U15165,OYCd,Delta Air Lines Inc,CBOE_EUROPE,0000027904,ENRICHED_SEC_READY,1751,assets|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,649,1102,2026-07-10,2026-06-30,NORMALIZED_PARTIAL,capex|liabilities,concept_missing
U15213,PARd,Parker-Hannifin Corp,CBOE_EUROPE,0000076334,ENRICHED_SEC_READY,2143,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,781,1362,2026-08-21,2026-06-30,NORMALIZED_READY,,
U15236,PCE1d,Booking Holdings Inc,CBOE_EUROPE,0001075531,ENRICHED_SEC_READY,1718,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,666,1052,2026-08-04,2026-06-30,NORMALIZED_READY,,
U15263,PEPd,PepsiCo Inc,CBOE_EUROPE,0000077476,ENRICHED_SEC_READY,1718,assets|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,469,1249,2026-07-09,2026-06-13,NORMALIZED_PARTIAL,capex,concept_missing
U15336,PLUNd,Plug Power Inc,CBOE_EUROPE,0001093691,ENRICHED_SEC_READY,1534,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,531,1003,2026-08-10,2026-06-30,NORMALIZED_READY,,
U16135,SNl,Smith & Nephew PLC,CBOE_EUROPE,0000845982,ENRICHED_SEC_READY,0,,0,0,,,NO_NORMALIZABLE_FACTS,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,taxonomy_missing
U16427,SUNBl,Sunbelt Rentals Holdings Inc,CBOE_EUROPE,0002083785,ENRICHED_SEC_READY,58,assets|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,26,32,2026-06-23,2026-04-30,NORMALIZED_PARTIAL,capex,concept_missing
U16474,SWNd,Southwest Airlines Co,CBOE_EUROPE,0000092380,ENRICHED_SEC_READY,1999,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,725,1274,2026-07-23,2026-06-30,NORMALIZED_PARTIAL,liabilities,concept_missing
U16555,SYPd,Synopsys Inc,CBOE_EUROPE,0000883241,ENRICHED_SEC_READY,1806,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,546,1260,2026-08-26,2026-07-31,NORMALIZED_READY,,
U16707,TKEd,Take-Two Interactive Software Inc,CBOE_EUROPE,0000946581,ENRICHED_SEC_READY,1935,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,741,1194,2026-08-07,2026-06-30,NORMALIZED_READY,,
U16875,UAL1d,United Airlines Holdings Inc,CBOE_EUROPE,0000100517,ENRICHED_SEC_READY,1672,assets|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,690,982,2026-07-16,2026-06-30,NORMALIZED_PARTIAL,capex|liabilities,concept_missing
U17156,UT8d,Uber Technologies Inc,CBOE_EUROPE,0001543151,ENRICHED_SEC_READY,868,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,196,672,2026-08-05,2026-06-30,NORMALIZED_READY,,
U17166,UWSd,Waste Management Inc,CBOE_EUROPE,0000823768,ENRICHED_SEC_READY,2006,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,751,1255,2026-07-29,2026-06-30,NORMALIZED_READY,,
U17336,VIAd,Viatris Inc,CBOE_EUROPE,0001792044,ENRICHED_SEC_READY,663,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,164,499,2026-08-06,2026-06-30,NORMALIZED_READY,,
U17531,WDCd,Western Digital Corp,CBOE_EUROPE,0000106040,ENRICHED_SEC_READY,1982,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,750,1232,2026-08-14,2026-07-03,NORMALIZED_READY,,
U17664,WMTd,Walmart Inc,CBOE_EUROPE,0000104169,ENRICHED_SEC_READY,2533,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,891,1642,2026-08-28,2026-07-31,NORMALIZED_PARTIAL,liabilities,concept_missing
U18173,XONAd,Exxon Mobil Corp,CBOE_EUROPE,0002115436,ENRICHED_SEC_READY,32,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,0,32,2026-08-03,2026-06-30,NORMALIZED_READY,,
U18208,XS4d,ON Semiconductor Corp,CBOE_EUROPE,0001097864,ENRICHED_SEC_READY,2018,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,697,1321,2026-08-03,2026-07-03,NORMALIZED_READY,,
U18414,ZOEd,Zoetis Inc,CBOE_EUROPE,0001555280,ENRICHED_SEC_READY,1726,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,586,1140,2026-08-06,2026-06-30,NORMALIZED_READY,,
U18538,07G0d,Corpay Inc,CBOE_EUROPE,0001175454,ENRICHED_SEC_READY,1919,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,742,1177,2026-08-10,2026-06-30,NORMALIZED_PARTIAL,liabilities,concept_missing
U18540,096d,HubSpot Inc,CBOE_EUROPE,0001404655,ENRICHED_SEC_READY,1148,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,366,782,2026-08-05,2026-06-30,NORMALIZED_READY,,
U18541,0A1Ol,Zoom Communications Inc,CBOE_EUROPE,0001585521,ENRICHED_SEC_READY,837,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,230,607,2026-08-26,2026-07-31,NORMALIZED_READY,,
U18547,0A3Zl,Cloudflare Inc,CBOE_EUROPE,0001477333,ENRICHED_SEC_READY,698,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,170,528,2026-08-06,2026-06-30,NORMALIZED_READY,,
U18549,0A60l,FuelCell Energy Inc,CBOE_EUROPE,0000886128,ENRICHED_SEC_READY,1589,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,453,1136,2026-09-02,2026-07-31,NORMALIZED_READY,,
U18559,0C6d,Cargurus Inc,CBOE_EUROPE,0001494259,ENRICHED_SEC_READY,1106,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,356,750,2026-08-06,2026-06-30,NORMALIZED_READY,,
U18577,0HAVl,Agilent Technologies Inc,CBOE_EUROPE,0001090872,ENRICHED_SEC_READY,1742,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,496,1246,2026-09-01,2026-07-31,NORMALIZED_READY,,
U18579,0HC3l,Alaska Air Group Inc,CBOE_EUROPE,0000766421,ENRICHED_SEC_READY,1578,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,393,1185,2026-08-04,2026-06-30,NORMALIZED_PARTIAL,liabilities,concept_missing
U18580,0HCHl,Alexandria Real Estate Equities Inc,CBOE_EUROPE,0001035443,ENRICHED_SEC_READY,1363,assets|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow,432,931,2026-08-03,2026-06-30,NORMALIZED_PARTIAL,capex|revenue,concept_missing
U18582,0HCKl,Align Technology Inc,CBOE_EUROPE,0001097149,ENRICHED_SEC_READY,1664,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,419,1245,2026-08-05,2026-06-30,NORMALIZED_READY,,
U18584,0HCTl,Alliant Energy Corp,CBOE_EUROPE,0000352541,ENRICHED_SEC_READY,1529,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,545,984,2026-05-01,2026-03-31,NORMALIZED_PARTIAL,liabilities,concept_missing
U18588,0HE2l,Ameren Corp,CBOE_EUROPE,0001002910,ENRICHED_SEC_READY,1679,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,656,1023,2026-08-03,2026-06-30,NORMALIZED_PARTIAL,liabilities,concept_missing
U18590,0HECl,American Electric Power Co Inc,CBOE_EUROPE,0000004904,ENRICHED_SEC_READY,1916,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,654,1262,2026-05-05,2026-03-31,NORMALIZED_READY,,
U18591,0HEWl,American Water Works Co Inc,CBOE_EUROPE,0001410636,ENRICHED_SEC_READY,1963,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,752,1211,2026-07-29,2026-06-30,NORMALIZED_PARTIAL,liabilities,concept_missing
