dry_run_rank,ticker,company_name,exchange,country,sector,industry,market_cap,source,instrument_type,instrument_scope,classification_confidence,classification_reason,dry_run_status,scoring_performed,openai_called,broker_called,financial_advice
11,ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
12,ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
13,ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
14,ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
15,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
16,ABSI,Absci Corporation - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
17,ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
18,ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
19,ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
20,ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
21,ABVX,Abivax SA - American Depositary Shares,NASDAQ,USA,,,,nasdaqlisted,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.,SOURCE_ONLY,False,False,False,False
22,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
23,ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
24,ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
25,ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
26,ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
27,ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
28,ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
29,ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
30,ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
31,ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
32,ACIU,AC Immune SA - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
33,ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
34,ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
35,ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
36,ACNB,ACNB Corporation - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
37,ACNT,Ascent Industries Co. - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
38,ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
39,ACON,"Aclarion, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
40,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
41,ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
42,ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
43,ACTG,Acacia Research Corporation - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
44,ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
45,ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
46,ADAC,American Drive Acquisition Company - Class A Ordinary Shares,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
47,ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ,USA,,,,nasdaqlisted,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.,SOURCE_ONLY,False,False,False,False
48,ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
49,ADBE,Adobe Inc. - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
50,ADEA,Adeia Inc.  - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
51,ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
52,ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
53,ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
54,ADMA,ADMA Biologics Inc - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
55,ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
56,ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
57,ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAQ,USA,,,,nasdaqlisted,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.,SOURCE_ONLY,False,False,False,False
58,ADSK,"Autodesk, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
59,ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
60,ADTX,"Aditxt, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
61,ADUR,Aduro Clean Technologies Inc. - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
62,ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
63,ADV,Advantage Solutions Inc.  - Class A Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
64,ADVB,Advanced Biomed Inc. - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
65,ADXN,Addex Therapeutics Ltd - American Depositary Shares,NASDAQ,USA,,,,nasdaqlisted,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.,SOURCE_ONLY,False,False,False,False
66,AEBI,Aebi Schmidt Holding AG - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
67,AEC,Anfield Energy Inc. - Common Shares,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
68,AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
69,AEHR,Aehr Test Systems - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
70,AEI,Alset Inc. - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
71,AEIS,"Advanced Energy Industries, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
72,AEMD,"Aethlon Medical, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
73,AENT,Alliance Entertainment Holding Corporation - common stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
74,AEP,"American Electric Power Company, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
75,AERT,"Aeries Technology, Inc. - Class A Ordinary Share",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,LOW,No out-of-scope instrument markers detected; treated as common stock candidate.,SOURCE_ONLY,False,False,False,False
76,AEVA,"Aeva Technologies, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
77,AEYE,"AudioEye, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
78,AFBI,"Affinity Bancshares, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
79,AFCG,Advanced Flower Capital Inc. - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
80,AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,LOW,No out-of-scope instrument markers detected; treated as common stock candidate.,SOURCE_ONLY,False,False,False,False
81,AFRI,Forafric Global PLC - Ordinary Shares,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
82,AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
83,AFYA,Afya Limited - Class A Common Shares,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
84,AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,LOW,No out-of-scope instrument markers detected; treated as common stock candidate.,SOURCE_ONLY,False,False,False,False
85,AGEN,Agenus Inc. - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
86,AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
87,AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,NASDAQ,USA,,,,nasdaqlisted,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.,SOURCE_ONLY,False,False,False,False
88,AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
89,AGNC,AGNC Investment Corp. - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
90,AGNT,"eXp World Holdings, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
91,AGPU,Axe Compute Inc. - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
92,AGRZ,Agroz Inc. - Ordinary Shares,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
93,AGYS,"Agilysys, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
94,AHCO,AdaptHealth Corp.  - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
95,AHG,Akso Health Group - American Depositary Shares,NASDAQ,USA,,,,nasdaqlisted,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.,SOURCE_ONLY,False,False,False,False
96,AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
97,AIAI,AIAI Holdings Corporation - Class A common stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
98,AIDX,"20/20 Biolabs, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
99,AIFA,"All In FutureTech Alliance, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
100,AIFC,AI Financial Corporation - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
101,AIFF,"Firefly Neuroscience, Inc.  - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
102,AIFU,AIFU Inc. - Class A Ordinary Share,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,LOW,No out-of-scope instrument markers detected; treated as common stock candidate.,SOURCE_ONLY,False,False,False,False
103,AIHS,Senmiao Technology Limited - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
104,AIIO,Robo.ai Inc. - Class B Ordinary Shares,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
105,AIIR,Air Global PLC - Ordinary shares,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
106,AIMD,"Ainos, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
107,AIOS,AIOS Tech Inc. - Class A Common Shares,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
108,AIOT,"PowerFleet, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
109,AIP,"Arteris, Inc.  - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
110,AIRE,reAlpha Tech Corp. - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
111,AIRG,"Airgain, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
112,AIRJ,AirJoule Technologies Corporation - Class A Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
113,AIRO,"AIRO Group Holdings, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
114,AIRS,"AirSculpt Technologies, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
115,AIRT,"Air T, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
116,AISP,"Airship AI Holdings, Inc - Class A Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
117,AIXC,"AIxCrypto Holdings, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
118,AIXI,XIAO-I Corporation - American Depositary Shares,NASDAQ,USA,,,,nasdaqlisted,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.,SOURCE_ONLY,False,False,False,False
119,AKAM,"Akamai Technologies, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
120,AKAN,Akanda Corp. - Common Shares,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
121,AKBA,"Akebia Therapeutics, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
122,AKTS,"Aktis Oncology, Inc. - Common stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
123,AKTX,Akari Therapeutics Plc - American Depositary Shares,NASDAQ,USA,,,,nasdaqlisted,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.,SOURCE_ONLY,False,False,False,False
124,ALAB,"Astera Labs, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
125,ALAR,Alarum Technologies Ltd. - American Depositary Shares,NASDAQ,USA,,,,nasdaqlisted,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.,SOURCE_ONLY,False,False,False,False
126,ALBT,Avalon GloboCare Corp. - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
127,ALCO,"Alico, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
