asset_id,ticker,company_name,country,isin,wikidata_qid,fetch_status,fetch_reason,industries,non_official_source_caveat,phase,created_at_utc
U36924,LMIA,LION E-MOBILITY AG,CH,CH0560888270,,no_wikidata_match,isin_not_found_on_wikidata,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U36925,RET,REALUNIT SCHWEIZ AG,CH,CH1129911108,,no_wikidata_match,isin_not_found_on_wikidata,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U36926,49G,ON HOLDING AG A,CH,CH1134540470,Q114422270,resolved,single_wikidata_item_matched,retail,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U36927,QS51,STRAUMANN HLDG,CH,CH1175448666,,no_wikidata_match,isin_not_found_on_wikidata,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U36928,ZX6,DSM-FIRMENICH AG,CH,CH1216478797,Q120091633,resolved,single_wikidata_item_matched,chemical industry;health care industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U36929,Q23,BUNGE GLOBAL S.A.,CH,CH1300646267,,no_wikidata_match,isin_not_found_on_wikidata,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U36930,MULT,MULTITUDE AG,CH,CH1398992755,Q11859513,no_industry,wikidata_item_has_no_industry_property,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37496,ASG,GENERALI S.P.A.,IT,IT0000062072,Q670482,resolved,single_wikidata_item_matched,insurance industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37497,ME9,MEDIOBCA,IT,IT0000062957,Q749034,resolved,single_wikidata_item_matched,financial sector;financial services,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37498,4BE,BPER BANCA,IT,IT0000066123,Q806167,resolved,single_wikidata_item_matched,financial sector;financial services,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37499,ZS3,FINECOBANK BCA FIN.,IT,IT0000072170,Q3745690,no_industry,wikidata_item_has_no_industry_property,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37500,IES,INTESA SANPAOLO,IT,IT0000072618,Q1343118,resolved,single_wikidata_item_matched,financial sector,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37501,UCM,BUZZI,IT,IT0001347308,Q1018375,resolved,single_wikidata_item_matched,building material,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37502,ENL,ENEL S.P.A.,IT,IT0003128367,Q651222,resolved,single_wikidata_item_matched,energy industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37503,ENI,ENI S.P.A.,IT,IT0003132476,Q565594,resolved,single_wikidata_item_matched,energy industry;petroleum industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37504,7PI,POSTE ITALIANE SPA,IT,IT0003796171,Q495026,resolved,single_wikidata_item_matched,economics of banking;logistics;postal sector,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37505,FMNB,LEONARDO S.P.A.,IT,IT0003856405,Q910379,resolved,single_wikidata_item_matched,aerospace engineering;aerospace industry;aircraft industry;information security;weapons industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37506,AXNA,AMPLIFON S.P.A.,IT,IT0004056880,Q477222,resolved,single_wikidata_item_matched,industrial manufacturing,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37507,NP5,NEWRON PHARMACEUT.,IT,IT0004147952,Q30269166,no_industry,wikidata_item_has_no_industry_property,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37508,AEU,PRYSMIAN S.P.A.,IT,IT0004176001,Q1964784,resolved,single_wikidata_item_matched,industrial manufacturing,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37509,UIPN,UNIPOL ASSICURAZIONI,IT,IT0004810054,Q1503818,resolved,single_wikidata_item_matched,financial services,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37510,MOV,MONCLER S.P.A.,IT,IT0004965148,Q1548951,resolved,single_wikidata_item_matched,clothing industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37511,BPM,BCA BPM S.P.A.,IT,IT0005218380,Q27331643,resolved,single_wikidata_item_matched,economics of banking;financial sector;financial services,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37512,CRIN,UNICREDIT,IT,IT0005239360,Q45568,resolved,single_wikidata_item_matched,economics of banking;financial sector;financial services,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37513,SPEA,SAIPEM,IT,IT0005495657,,no_wikidata_match,isin_not_found_on_wikidata,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37514,MPI0,BCA MONTE D.PASCHI D.SIE.,IT,IT0005508921,,no_wikidata_match,isin_not_found_on_wikidata,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37515,H68,RIGSAVE S.P.A.,IT,IT0005526295,,no_wikidata_match,isin_not_found_on_wikidata,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37516,1F80,FINCANTIERI SPA,IT,IT0005599938,Q1327429,resolved,single_wikidata_item_matched,shipbuilding,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
U37517,TQI0,TELECOM ITALIA,IT,IT0005712671,,no_wikidata_match,isin_not_found_on_wikidata,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T15:43:34Z
