asset_id,ticker,shortlist_rank,research_rank,experimental_score,shortlist_bucket,candidate_matrix_status,quality_status,quality_notes,phase
U00185,ANAB,39,39,69.9416,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00015,ABEO,40,40,69.7492,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00053,ADBE,41,41,69.2471,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00047,ACTG,42,42,69.1806,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00634,CIVB,43,43,68.5482,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00520,CARG,44,44,68.4704,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00017,ABNB,45,45,68.0244,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00513,CAMT,46,46,67.7254,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00119,AIRT,47,47,67.7223,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00653,CLSK,48,48,67.2035,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00191,ANIP,49,49,66.8739,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00398,BJRI,50,50,66.8042,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
