asset_id,ticker,company_name,exchange,country,identity_status,overall_coverage_status,sector_text_source,macro_context_status,applicable_themes,macro_opportunity_score,macro_risk_score,macro_balance,macro_context_summary,macro_positive_context,macro_risk_context,macro_limitations,next_macro_research_steps,recommendation_generated,financial_advice,broker_actions_allowed,phase9c_authorized,phase
U00017,ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,USA,RESOLVED,GROWTH_READY,v2.38J,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-06.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite worldwide.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign-revenue translation for non-US exporters and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No sector-specific theme was inferred from available text; only general macro themes and any country-specific structural themes were applied.,Validate sector exposure manually; add a sourced live macro/news layer in a later phase; do not use this static layer to alter any fundamentals or growth feature already computed.,false,false,false,false,v2.38AM-global-macro-geopolitical-context
U00018,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,RESOLVED,GROWTH_PARTIAL,v2.38J,MACRO_CONTEXT_READY,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY|HEALTHCARE_REGULATION,50.4,65.8,-15.4,Static macro/geopolitical context applied using 5 taxonomy themes as of 2026-09-06.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite worldwide.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign-revenue translation for non-US exporters and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.; HEALTHCARE_REGULATION: Healthcare and biotech names face policy, reimbursement and trial/regulatory uncertainty.",Sector classification is conservative and derived only from existing local text fields; no live external classification was used.,Validate sector exposure manually; add a sourced live macro/news layer in a later phase; do not use this static layer to alter any fundamentals or growth feature already computed.,false,false,false,false,v2.38AM-global-macro-geopolitical-context
U00019,ABSI,Absci Corporation - Common Stock,NASDAQ,USA,RESOLVED,GROWTH_PARTIAL,v2.38J,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-06.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite worldwide.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign-revenue translation for non-US exporters and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No sector-specific theme was inferred from available text; only general macro themes and any country-specific structural themes were applied.,Validate sector exposure manually; add a sourced live macro/news layer in a later phase; do not use this static layer to alter any fundamentals or growth feature already computed.,false,false,false,false,v2.38AM-global-macro-geopolitical-context
U00020,ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,USA,RESOLVED,GROWTH_PARTIAL,v2.38J,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-06.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite worldwide.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign-revenue translation for non-US exporters and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No sector-specific theme was inferred from available text; only general macro themes and any country-specific structural themes were applied.,Validate sector exposure manually; add a sourced live macro/news layer in a later phase; do not use this static layer to alter any fundamentals or growth feature already computed.,false,false,false,false,v2.38AM-global-macro-geopolitical-context
U00021,ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,USA,RESOLVED,GROWTH_PARTIAL,v2.38J,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-06.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite worldwide.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign-revenue translation for non-US exporters and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No sector-specific theme was inferred from available text; only general macro themes and any country-specific structural themes were applied.,Validate sector exposure manually; add a sourced live macro/news layer in a later phase; do not use this static layer to alter any fundamentals or growth feature already computed.,false,false,false,false,v2.38AM-global-macro-geopolitical-context
U00022,ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,USA,RESOLVED,GROWTH_PARTIAL,v2.38J,MACRO_CONTEXT_READY,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY|HEALTHCARE_REGULATION,50.4,65.8,-15.4,Static macro/geopolitical context applied using 5 taxonomy themes as of 2026-09-06.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite worldwide.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign-revenue translation for non-US exporters and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.; HEALTHCARE_REGULATION: Healthcare and biotech names face policy, reimbursement and trial/regulatory uncertainty.",Sector classification is conservative and derived only from existing local text fields; no live external classification was used.,Validate sector exposure manually; add a sourced live macro/news layer in a later phase; do not use this static layer to alter any fundamentals or growth feature already computed.,false,false,false,false,v2.38AM-global-macro-geopolitical-context
U00023,ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,USA,RESOLVED,GROWTH_PARTIAL,v2.38J,MACRO_CONTEXT_READY,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY|HEALTHCARE_REGULATION,50.4,65.8,-15.4,Static macro/geopolitical context applied using 5 taxonomy themes as of 2026-09-06.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite worldwide.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign-revenue translation for non-US exporters and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.; HEALTHCARE_REGULATION: Healthcare and biotech names face policy, reimbursement and trial/regulatory uncertainty.",Sector classification is conservative and derived only from existing local text fields; no live external classification was used.,Validate sector exposure manually; add a sourced live macro/news layer in a later phase; do not use this static layer to alter any fundamentals or growth feature already computed.,false,false,false,false,v2.38AM-global-macro-geopolitical-context
U00025,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,USA,RESOLVED,GROWTH_READY,v2.38J,MACRO_CONTEXT_READY,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY|HEALTHCARE_REGULATION,50.4,65.8,-15.4,Static macro/geopolitical context applied using 5 taxonomy themes as of 2026-09-06.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite worldwide.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign-revenue translation for non-US exporters and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.; HEALTHCARE_REGULATION: Healthcare and biotech names face policy, reimbursement and trial/regulatory uncertainty.",Sector classification is conservative and derived only from existing local text fields; no live external classification was used.,Validate sector exposure manually; add a sourced live macro/news layer in a later phase; do not use this static layer to alter any fundamentals or growth feature already computed.,false,false,false,false,v2.38AM-global-macro-geopolitical-context
U00027,ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,USA,RESOLVED,FUNDAMENTALS_READY_NO_GROWTH_YET,v2.38J,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-06.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite worldwide.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign-revenue translation for non-US exporters and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No sector-specific theme was inferred from available text; only general macro themes and any country-specific structural themes were applied.,Validate sector exposure manually; add a sourced live macro/news layer in a later phase; do not use this static layer to alter any fundamentals or growth feature already computed.,false,false,false,false,v2.38AM-global-macro-geopolitical-context
U00028,ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,USA,RESOLVED,GROWTH_PARTIAL,v2.38J,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-06.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite worldwide.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign-revenue translation for non-US exporters and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No sector-specific theme was inferred from available text; only general macro themes and any country-specific structural themes were applied.,Validate sector exposure manually; add a sourced live macro/news layer in a later phase; do not use this static layer to alter any fundamentals or growth feature already computed.,false,false,false,false,v2.38AM-global-macro-geopolitical-context
U00029,ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,USA,RESOLVED,GROWTH_PARTIAL,v2.38J,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-06.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite worldwide.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign-revenue translation for non-US exporters and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No sector-specific theme was inferred from available text; only general macro themes and any country-specific structural themes were applied.,Validate sector exposure manually; add a sourced live macro/news layer in a later phase; do not use this static layer to alter any fundamentals or growth feature already computed.,false,false,false,false,v2.38AM-global-macro-geopolitical-context
U00030,ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,USA,RESOLVED,GROWTH_READY,v2.38J,MACRO_CONTEXT_READY,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY|OIL_GAS_SUPPLY,51.0,65.0,-14.0,Static macro/geopolitical context applied using 5 taxonomy themes as of 2026-09-06.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite worldwide.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign-revenue translation for non-US exporters and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.; OIL_GAS_SUPPLY: Energy supply volatility can affect producers, services and input-sensitive industries.",Sector classification is conservative and derived only from existing local text fields; no live external classification was used.,Validate sector exposure manually; add a sourced live macro/news layer in a later phase; do not use this static layer to alter any fundamentals or growth feature already computed.,false,false,false,false,v2.38AM-global-macro-geopolitical-context
U00032,ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,USA,RESOLVED,GROWTH_READY,v2.38J,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-06.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite worldwide.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign-revenue translation for non-US exporters and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No sector-specific theme was inferred from available text; only general macro themes and any country-specific structural themes were applied.,Validate sector exposure manually; add a sourced live macro/news layer in a later phase; do not use this static layer to alter any fundamentals or growth feature already computed.,false,false,false,false,v2.38AM-global-macro-geopolitical-context
U00033,ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,USA,RESOLVED,GROWTH_READY,v2.38J,MACRO_CONTEXT_READY,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY|HEALTHCARE_REGULATION,50.4,65.8,-15.4,Static macro/geopolitical context applied using 5 taxonomy themes as of 2026-09-06.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite worldwide.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign-revenue translation for non-US exporters and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.; HEALTHCARE_REGULATION: Healthcare and biotech names face policy, reimbursement and trial/regulatory uncertainty.",Sector classification is conservative and derived only from existing local text fields; no live external classification was used.,Validate sector exposure manually; add a sourced live macro/news layer in a later phase; do not use this static layer to alter any fundamentals or growth feature already computed.,false,false,false,false,v2.38AM-global-macro-geopolitical-context
U00034,ACHV,"Achieve Life Sciences, Inc. - Common Shares",NASDAQ,USA,RESOLVED,GROWTH_PARTIAL,v2.38J,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-06.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite worldwide.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign-revenue translation for non-US exporters and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No sector-specific theme was inferred from available text; only general macro themes and any country-specific structural themes were applied.,Validate sector exposure manually; add a sourced live macro/news layer in a later phase; do not use this static layer to alter any fundamentals or growth feature already computed.,false,false,false,false,v2.38AM-global-macro-geopolitical-context
U00035,ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,USA,RESOLVED,GROWTH_READY,v2.38J,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-06.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite worldwide.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign-revenue translation for non-US exporters and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No sector-specific theme was inferred from available text; only general macro themes and any country-specific structural themes were applied.,Validate sector exposure manually; add a sourced live macro/news layer in a later phase; do not use this static layer to alter any fundamentals or growth feature already computed.,false,false,false,false,v2.38AM-global-macro-geopolitical-context
