asset_id,ticker,company_name,country,eligibility_status,review_reasons
U00443,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",USA,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U00447,BPRN,"Princeton Bancorp, Inc. - Common Stock",USA,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U00458,BRR,"ProCap Financial, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00459,BRTX,"BioRestorative Therapies, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00467,BSRR,Sierra Bancorp - Common Stock,USA,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U00470,BTAI,"BioXcel Therapeutics, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00478,BTOG,Bit Origin Limited - Class A Ordinary Shares,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00487,BWB,"Bridgewater Bancshares, Inc. - Common Stock",USA,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U00489,BWFG,"Bankwell Financial Group, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct;financial_institution_requires_separate_factor_contract
U00490,BWIN,"The Baldwin Insurance Group, Inc. - Class A Common Stock",USA,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U00492,BYAH,"Park Ha Biological Technology Co., Ltd. - Class A Ordinary Shares",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00493,BYFC,Broadway Financial Corporation - Class A Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00498,BZAI,"Blaize Holdings, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00502,CABR,"Caring Brands, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00512,CAMP,CAMP4 Therapeutics Corporation - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00527,CATY,Cathay General Bancorp - Common Stock,USA,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U00531,CBIO,"Crescent Biopharma, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00534,CBNK,"Capital Bancorp, Inc. - Common Stock",USA,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U00537,CBSH,"Commerce Bancshares, Inc. - Common Stock",USA,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U00538,CBUS,"Cibus, Inc. - Class A Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00542,CCBG,Capital City Bank Group - Common Stock,USA,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U00544,CCCC,"C4 Therapeutics, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00560,CDIO,Cardio Diagnostics Holdings Inc. - Common stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00575,CELU,Celularity Inc. - Class A Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00576,CELZ,"Creative Medical Technology Holdings, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00577,CENN,Cenntro Inc. - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00588,CETY,"Clean Energy Technologies, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00592,CFFN,"Capitol Federal Financial, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00626,CIFR,Cipher Digital Inc. - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00634,CIVB,"Civista Bancshares, Inc. - Common Stock",USA,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U00639,CLDX,"Celldex Therapeutics, Inc. - Common Stock",USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00641,CLGN,CollPlant Biotechnologies Ltd. - Ordinary Shares,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00647,CLNN,Clene Inc. - Common Stock,USA,REVIEW_REQUIRED,absolute_margin_outside_300pct
U00654,CLST,"Catalyst Bancorp, Inc. - common stock",USA,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U09268,1WULFm,Terawulf Inc,US,REVIEW_REQUIRED,absolute_margin_outside_300pct
U14536,M44d,MARA Holdings Inc,US,REVIEW_REQUIRED,absolute_margin_outside_300pct
U18639,0HYPl,Citizens Financial Group Inc,US,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U18671,0IIRl,Essex Property Trust Inc,US,REVIEW_REQUIRED,absolute_margin_outside_300pct
U18676,0IJVl,Extra Space Storage Inc,US,REVIEW_REQUIRED,absolute_margin_outside_300pct
U18803,0KO5l,Principal Financial Group Inc,US,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U18828,0KYZl,SBA Communications Corp,US,REVIEW_REQUIRED,absolute_margin_outside_300pct
U18830,0KZAd,Amerant Bancorp Inc,US,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U18954,0R1Dl,Sangamo Therapeutics Inc,US,REVIEW_REQUIRED,absolute_margin_outside_300pct
U19232,1AMTm,American Tower Corp,US,REVIEW_REQUIRED,absolute_margin_outside_300pct
U19396,1ENVXm,Enovix Corp,US,REVIEW_REQUIRED,absolute_margin_outside_300pct
U19672,1QBTSm,D-Wave Quantum Inc,US,REVIEW_REQUIRED,absolute_margin_outside_300pct
U19931,26CAd,ImmunityBio Inc,US,REVIEW_REQUIRED,absolute_margin_outside_300pct
U19979,2H51d,Ocugen Inc,US,REVIEW_REQUIRED,absolute_margin_outside_300pct
U19993,2RJAd,Phunware Inc,US,REVIEW_REQUIRED,absolute_margin_outside_300pct
U20087,38Id,Intellia Therapeutics Inc,US,REVIEW_REQUIRED,absolute_margin_outside_300pct
U20570,87Pd,SharonAI Holdings Inc,US,REVIEW_REQUIRED,absolute_margin_outside_300pct
U20585,8LL0d,374Water Inc,US,REVIEW_REQUIRED,absolute_margin_outside_300pct
U20896,AGIOn,Agios Pharmaceuticals Inc,US,REVIEW_REQUIRED,absolute_margin_outside_300pct
U21649,B72d,AtaiBeckley Inc,US,REVIEW_REQUIRED,absolute_margin_outside_300pct
U22435,CLDXn,Celldex Therapeutics Inc,US,REVIEW_REQUIRED,absolute_margin_outside_300pct
U22612,CPTn,Camden Property Trust,US,REVIEW_REQUIRED,absolute_margin_outside_300pct
U23854,F9Qd,Eos Energy Enterprises Inc,US,REVIEW_REQUIRED,absolute_margin_outside_300pct
U25471,JEFn,Jefferies Financial Group Inc,US,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U36865,XD4,STRABAG SE,AT,REVIEW_REQUIRED,absolute_margin_outside_300pct
U36868,EBO,ERSTE GROUP BANK AG,AT,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U36870,OMV,OMV AKTIENGESELLSCHAFT,AT,REVIEW_REQUIRED,absolute_margin_outside_300pct
U36871,OEWA,VERBUND AG,AT,REVIEW_REQUIRED,absolute_margin_outside_300pct
U36873,UN9,UNIQA Insurance Group AG,AT,REVIEW_REQUIRED,financial_institution_requires_separate_factor_contract
U36876,SLL,SBO AG,AT,REVIEW_REQUIRED,absolute_margin_outside_300pct
U36879,GEPH,EPH Group AG,AT,REVIEW_REQUIRED,absolute_margin_outside_300pct
