batch_id,run_utc,provider,requested,selected,collected,skipped_existing,failed,status,phase9c_authorized,scoring_calculated,ranking_calculated,recommendations_generated
v2_38i_20260902T214401Z,2026-09-02T21:44:01.161881+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T214637Z,2026-09-02T21:46:37.449099+00:00,twelvedata,25,25,15,0,10,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T214639Z,2026-09-02T21:46:39.827859+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T214838Z,2026-09-02T21:48:38.418596+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T214840Z,2026-09-02T21:48:40.632430+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T215034Z,2026-09-02T21:50:34.885019+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T215037Z,2026-09-02T21:50:37.175291+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T215232Z,2026-09-02T21:52:32.584989+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T215235Z,2026-09-02T21:52:35.495180+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T215431Z,2026-09-02T21:54:31.547912+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T215434Z,2026-09-02T21:54:34.123549+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T215635Z,2026-09-02T21:56:35.196143+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T215637Z,2026-09-02T21:56:37.656090+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T215842Z,2026-09-02T21:58:42.374279+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T215844Z,2026-09-02T21:58:44.737394+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T220130Z,2026-09-02T22:01:30.425916+00:00,twelvedata,25,25,16,0,9,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T220132Z,2026-09-02T22:01:32.886674+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T220336Z,2026-09-02T22:03:36.169769+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T220338Z,2026-09-02T22:03:38.634534+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T220547Z,2026-09-02T22:05:47.447491+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T220549Z,2026-09-02T22:05:49.944801+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T220753Z,2026-09-02T22:07:53.626516+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T220756Z,2026-09-02T22:07:56.366041+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T221042Z,2026-09-02T22:10:42.969809+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T221047Z,2026-09-02T22:10:47.039466+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T221323Z,2026-09-02T22:13:23.582388+00:00,twelvedata,25,25,10,0,15,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T221328Z,2026-09-02T22:13:28.008285+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T221552Z,2026-09-02T22:15:52.872657+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T221555Z,2026-09-02T22:15:55.567495+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T221807Z,2026-09-02T22:18:07.162364+00:00,twelvedata,25,25,13,0,12,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T221809Z,2026-09-02T22:18:09.951571+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T222018Z,2026-09-02T22:20:18.446287+00:00,twelvedata,25,25,13,0,12,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T222021Z,2026-09-02T22:20:21.158361+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T222217Z,2026-09-02T22:22:17.002733+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T222219Z,2026-09-02T22:22:19.750611+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T222414Z,2026-09-02T22:24:14.075574+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T222416Z,2026-09-02T22:24:16.905637+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T222619Z,2026-09-02T22:26:19.994237+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T222623Z,2026-09-02T22:26:23.066204+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T222823Z,2026-09-02T22:28:23.991023+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T222827Z,2026-09-02T22:28:27.085152+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T223035Z,2026-09-02T22:30:35.411870+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T223038Z,2026-09-02T22:30:38.226172+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T223231Z,2026-09-02T22:32:31.478263+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T223234Z,2026-09-02T22:32:34.530855+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T223426Z,2026-09-02T22:34:26.893587+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T223429Z,2026-09-02T22:34:29.843356+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T223617Z,2026-09-02T22:36:17.959825+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
