dimension,dimension_value,asset_count,provider_candidate,provider_pilot_status,fundamentals_fetch_status,real_fundamentals_downloaded,normalized_fundamentals_created
exchange,Euronext Amsterdam,44,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
exchange,Euronext Brussels,6,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
exchange,Euronext Paris,53,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
exchange,Nasdaq Copenhagen,21,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
exchange,Nasdaq Helsinki,5,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
exchange,Nasdaq Stockholm,4,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
exchange,SIX Swiss Exchange,29,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
exchange,Vienna Stock Exchange,20,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
exchange,XETRA,413,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
mic,MTAA,22,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
mic,XAMS,44,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
mic,XBRU,6,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
mic,XCSE,21,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
mic,XETR,413,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
mic,XHEL,5,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
mic,XPAR,53,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
mic,XSTO,4,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
mic,XSWX,29,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
mic,XWBO,20,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
currency,CHF,29,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
currency,DKK,21,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
currency,EUR,563,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
currency,SEK,4,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
provider_candidate,eodhd_fundamentals,617,eodhd_fundamentals,PROVIDER_PILOT_READY_FOR_FUTURE_EXECUTION,NOT_REQUESTED_OFFLINE_PHASE,false,false
