asset_id,ticker,company_name,home_exchange,home_mic,home_country,home_currency,source_type,fundamental_route_status,exclusion_reason,phase,network_allowed,scoring_created,ranking_created,recommendations_created,phase9c_authorized
U37458,XGR2,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37459,NNGF,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37460,1T1,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37461,S94,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37462,VODI,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37463,IC1H,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37464,TCO0,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37465,RYSD,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37466,T9G,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37467,88Q,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37468,H1W,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37469,RPD,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37470,H6D0,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37471,GS71,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37472,R6C0,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37473,GU81,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37474,HT3,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37475,3RB0,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37476,NGL0,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37477,UNV0,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37478,0VQ,UKI0,LSE,XLON,GB,GBP,official_filing_registry,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,official_filings_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37479,N4U,UKI0,Euronext Dublin,XDUB,IE,EUR,manual_review,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,manual_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37480,IJF,UKI0,Euronext Dublin,XDUB,IE,EUR,manual_review,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,manual_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37481,BZ4,UKI0,Euronext Dublin,XDUB,IE,EUR,manual_review,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,manual_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37482,JHA1,UKI0,Euronext Dublin,XDUB,IE,EUR,manual_review,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,manual_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37483,LIN,UKI0,Euronext Dublin,XDUB,IE,EUR,manual_review,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,manual_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37484,CSA,UKI0,Euronext Dublin,XDUB,IE,EUR,manual_review,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,manual_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37485,J7Z,UKI0,Euronext Dublin,XDUB,IE,EUR,manual_review,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,manual_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37486,8AK,UKI0,Euronext Dublin,XDUB,IE,EUR,manual_review,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,manual_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37487,3EC,UKI0,Euronext Dublin,XDUB,IE,EUR,manual_review,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,manual_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37488,WTY,UKI0,Euronext Dublin,XDUB,IE,EUR,manual_review,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,manual_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37489,60A,UKI0,Euronext Dublin,XDUB,IE,EUR,manual_review,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,manual_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37490,2IS,UKI0,Euronext Dublin,XDUB,IE,EUR,manual_review,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,manual_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37491,847,UKI0,Euronext Dublin,XDUB,IE,EUR,manual_review,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,manual_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37492,4VK,UKI0,Euronext Dublin,XDUB,IE,EUR,manual_review,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,manual_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37493,2M6,UKI0,Euronext Dublin,XDUB,IE,EUR,manual_review,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,manual_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37494,TYIA,UKI0,Euronext Dublin,XDUB,IE,EUR,manual_review,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,manual_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
U37495,RY4C,UKI0,Euronext Dublin,XDUB,IE,EUR,manual_review,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,manual_review_not_provider_pilot,v2.38R-europe-fundamentals-provider-pilot,false,false,false,false,false
