Symbol,Name,Exchange,Country,Sector,Industry,Market Cap,Last Sale,Volume,Source,instrument_type,instrument_scope,classification_confidence,classification_reason
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACIU,AC Immune SA - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACNB,ACNB Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACNT,Ascent Industries Co. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACON,"Aclarion, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACTG,Acacia Research Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ,USA,,,,,,nasdaqlisted,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ADBE,Adobe Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ADEA,Adeia Inc.  - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.
ADSK,"Autodesk, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ADTX,"Aditxt, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ADUR,Aduro Clean Technologies Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ADV,Advantage Solutions Inc.  - Class A Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ADVB,Advanced Biomed Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ADXN,Addex Therapeutics Ltd - American Depositary Shares,NASDAQ,USA,,,,,,nasdaqlisted,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.
AEBI,Aebi Schmidt Holding AG - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AEC,Anfield Energy Inc. - Common Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AEHR,Aehr Test Systems - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AEI,Alset Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AEIS,"Advanced Energy Industries, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AEMD,"Aethlon Medical, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AENT,Alliance Entertainment Holding Corporation - common stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AEP,"American Electric Power Company, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,LOW,No out-of-scope instrument markers detected; treated as common stock candidate.
AEVA,"Aeva Technologies, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AEYE,"AudioEye, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AFBI,"Affinity Bancshares, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AFCG,Advanced Flower Capital Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,LOW,No out-of-scope instrument markers detected; treated as common stock candidate.
AFRI,Forafric Global PLC - Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AFYA,Afya Limited - Class A Common Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,LOW,No out-of-scope instrument markers detected; treated as common stock candidate.
AGEN,Agenus Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,NASDAQ,USA,,,,,,nasdaqlisted,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AGNC,AGNC Investment Corp. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AGNT,"eXp World Holdings, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AGPU,Axe Compute Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AGRZ,Agroz Inc. - Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AGYS,"Agilysys, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AHCO,AdaptHealth Corp.  - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AHG,Akso Health Group - American Depositary Shares,NASDAQ,USA,,,,,,nasdaqlisted,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AIAI,AIAI Holdings Corporation - Class A common stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AIDX,"20/20 Biolabs, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AIFA,"All In FutureTech Alliance, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AIFC,AI Financial Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AIFF,"Firefly Neuroscience, Inc.  - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AIFU,AIFU Inc. - Class A Ordinary Share,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,LOW,No out-of-scope instrument markers detected; treated as common stock candidate.
AIHS,Senmiao Technology Limited - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AIIO,Robo.ai Inc. - Class B Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AIIR,Air Global PLC - Ordinary shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AIMD,"Ainos, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AIOS,AIOS Tech Inc. - Class A Common Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AIOT,"PowerFleet, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AIP,"Arteris, Inc.  - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AIRE,reAlpha Tech Corp. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AIRG,"Airgain, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AIRO,"AIRO Group Holdings, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AIRS,"AirSculpt Technologies, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AIRT,"Air T, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AISP,"Airship AI Holdings, Inc - Class A Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AIXC,"AIxCrypto Holdings, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AIXI,XIAO-I Corporation - American Depositary Shares,NASDAQ,USA,,,,,,nasdaqlisted,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.
AKAM,"Akamai Technologies, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AKAN,Akanda Corp. - Common Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AKBA,"Akebia Therapeutics, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AKTS,"Aktis Oncology, Inc. - Common stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AKTX,Akari Therapeutics Plc - American Depositary Shares,NASDAQ,USA,,,,,,nasdaqlisted,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.
ALAB,"Astera Labs, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALAR,Alarum Technologies Ltd. - American Depositary Shares,NASDAQ,USA,,,,,,nasdaqlisted,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.
ALBT,Avalon GloboCare Corp. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALCO,"Alico, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALDF,Aldel Financial II Inc. - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALEC,"Alector, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALGM,"Allegro MicroSystems, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALGN,"Align Technology, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALGS,"Aligos Therapeutics, Inc. - Common stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALGT,Allegiant Travel Company - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALHC,"Alignment Healthcare, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALKS,Alkermes plc - Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALKT,"Alkami Technology, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALLO,"Allogene Therapeutics, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALLR,"Allarity Therapeutics, Inc. - Common stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALLT,Allot Ltd. - Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALM,Almonty Industries Inc. - Common Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALMR,"Alamar Biosciences, Inc. - Class A common stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALMS,Alumis Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALMU,"Aeluma, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALNT,Allient Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALOT,"AstroNova, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALOV,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Class A Ordinary Shares",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALOY,REalloys Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALP,Alpha Compute Corp  - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALPS,ALPS Group Inc - Ordinary Share,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,LOW,No out-of-scope instrument markers detected; treated as common stock candidate.
ALRM,"Alarm.com Holdings, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALRS,Alerus Financial Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALT,"Altimmune, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ALTI,"AlTi Global, Inc. - Class A Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
