Symbol,Name,Exchange,Country,Sector,Industry,Market Cap,Last Sale,Volume,Source
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ACTG,Acacia Research Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ,USA,,,,,,nasdaqlisted
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
ADACU,American Drive Acquisition Company - Units,NASDAQ,USA,,,,,,nasdaqlisted
ADACW,American Drive Acquisition Company - Warrant,NASDAQ,USA,,,,,,nasdaqlisted
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ,USA,,,,,,nasdaqlisted
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ADAMG,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",NASDAQ,USA,,,,,,nasdaqlisted
ADAMH,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",NASDAQ,USA,,,,,,nasdaqlisted
ADAMI,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",NASDAQ,USA,,,,,,nasdaqlisted
ADAML,"Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ,USA,,,,,,nasdaqlisted
ADAMM,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,USA,,,,,,nasdaqlisted
ADAMN,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,USA,,,,,,nasdaqlisted
ADAMO,"Adamas Trust, Inc. - 9.250% Senior Notes Due 2031",NASDAQ,USA,,,,,,nasdaqlisted
ADAMZ,"Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ,USA,,,,,,nasdaqlisted
ADBE,Adobe Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ADEA,Adeia Inc.  - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
ADSEW,ADS-TEC ENERGY PLC - Warrant,NASDAQ,USA,,,,,,nasdaqlisted
ADSK,"Autodesk, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ADTX,"Aditxt, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ADUR,Aduro Clean Technologies Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ADV,Advantage Solutions Inc.  - Class A Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ADVB,Advanced Biomed Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ADXN,Addex Therapeutics Ltd - American Depositary Shares,NASDAQ,USA,,,,,,nasdaqlisted
AEAQ,Activate Energy Acquisition Corp. - Class A Ordinary Share,NASDAQ,USA,,,,,,nasdaqlisted
AEAQU,Activate Energy Acquisition Corp. - Unit,NASDAQ,USA,,,,,,nasdaqlisted
AEAQW,Activate Energy Acquisition Corp. - Warrant,NASDAQ,USA,,,,,,nasdaqlisted
AEBI,Aebi Schmidt Holding AG - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
AEC,Anfield Energy Inc. - Common Shares,NASDAQ,USA,,,,,,nasdaqlisted
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
AEHR,Aehr Test Systems - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
AEI,Alset Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
AEIS,"Advanced Energy Industries, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AEMD,"Aethlon Medical, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AENT,Alliance Entertainment Holding Corporation - common stock,NASDAQ,USA,,,,,,nasdaqlisted
AENTW,Alliance Entertainment Holding Corporation - Warrants,NASDAQ,USA,,,,,,nasdaqlisted
AEP,"American Electric Power Company, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",NASDAQ,USA,,,,,,nasdaqlisted
AERTW,"Aeries Technology, Inc. - Warrant",NASDAQ,USA,,,,,,nasdaqlisted
AESPU,Aeon Acquisition I Corp. - Units,NASDAQ,USA,,,,,,nasdaqlisted
AEVA,"Aeva Technologies, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AEYE,"AudioEye, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AFBI,"Affinity Bancshares, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AFCG,Advanced Flower Capital Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",NASDAQ,USA,,,,,,nasdaqlisted
AFJKR,"Aimei Health Technology Co., Ltd - Right",NASDAQ,USA,,,,,,nasdaqlisted
AFJKU,"Aimei Health Technology Co., Ltd - Unit",NASDAQ,USA,,,,,,nasdaqlisted
AFRI,Forafric Global PLC - Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
AFRIW,Forafric Global PLC - Warrants,NASDAQ,USA,,,,,,nasdaqlisted
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AFYA,Afya Limited - Class A Common Shares,NASDAQ,USA,,,,,,nasdaqlisted
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,NASDAQ,USA,,,,,,nasdaqlisted
AGEN,Agenus Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,NASDAQ,USA,,,,,,nasdaqlisted
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
AGNC,AGNC Investment Corp. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",NASDAQ,USA,,,,,,nasdaqlisted
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ,USA,,,,,,nasdaqlisted
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,USA,,,,,,nasdaqlisted
AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",NASDAQ,USA,,,,,,nasdaqlisted
AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,USA,,,,,,nasdaqlisted
AGNCZ,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock",NASDAQ,USA,,,,,,nasdaqlisted
AGNT,"eXp World Holdings, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AGPU,Axe Compute Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
AGRZ,Agroz Inc. - Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
AGYS,"Agilysys, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AHCO,AdaptHealth Corp.  - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
AHG,Akso Health Group - American Depositary Shares,NASDAQ,USA,,,,,,nasdaqlisted
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
AIAI,AIAI Holdings Corporation - Class A common stock,NASDAQ,USA,,,,,,nasdaqlisted
AIDX,"20/20 Biolabs, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AIFA,"All In FutureTech Alliance, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AIFC,AI Financial Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
AIFF,"Firefly Neuroscience, Inc.  - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AIFU,AIFU Inc. - Class A Ordinary Share,NASDAQ,USA,,,,,,nasdaqlisted
AIHS,Senmiao Technology Limited - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
AIIO,Robo.ai Inc. - Class B Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
AIIOW,Robo.ai Inc. - Warrant,NASDAQ,USA,,,,,,nasdaqlisted
AIIR,Air Global PLC - Ordinary shares,NASDAQ,USA,,,,,,nasdaqlisted
AIMD,"Ainos, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AIMDW,"Ainos, Inc. - warrants",NASDAQ,USA,,,,,,nasdaqlisted
AIOS,AIOS Tech Inc. - Class A Common Shares,NASDAQ,USA,,,,,,nasdaqlisted
AIOT,"PowerFleet, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AIP,"Arteris, Inc.  - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AIRE,reAlpha Tech Corp. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
AIRG,"Airgain, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
AIRJW,AirJoule Technologies Corporation - Warrant,NASDAQ,USA,,,,,,nasdaqlisted
AIRO,"AIRO Group Holdings, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AIRS,"AirSculpt Technologies, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AIRT,"Air T, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AIRTP,"Air T, Inc. - Trust Preferred Securities",NASDAQ,USA,,,,,,nasdaqlisted
AISP,"Airship AI Holdings, Inc - Class A Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AISPW,"Airship AI Holdings, Inc - Warrants",NASDAQ,USA,,,,,,nasdaqlisted
AIXC,"AIxCrypto Holdings, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AIXI,XIAO-I Corporation - American Depositary Shares,NASDAQ,USA,,,,,,nasdaqlisted
AKAM,"Akamai Technologies, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AKAN,Akanda Corp. - Common Shares,NASDAQ,USA,,,,,,nasdaqlisted
AKBA,"Akebia Therapeutics, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AKTS,"Aktis Oncology, Inc. - Common stock",NASDAQ,USA,,,,,,nasdaqlisted
AKTX,Akari Therapeutics Plc - American Depositary Shares,NASDAQ,USA,,,,,,nasdaqlisted
ALAB,"Astera Labs, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ALAR,Alarum Technologies Ltd. - American Depositary Shares,NASDAQ,USA,,,,,,nasdaqlisted
ALBT,Avalon GloboCare Corp. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ALCO,"Alico, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ALDF,Aldel Financial II Inc. - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
ALDFU,Aldel Financial II Inc. - Units,NASDAQ,USA,,,,,,nasdaqlisted
ALDFW,Aldel Financial II Inc. - Warrants,NASDAQ,USA,,,,,,nasdaqlisted
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ALEC,"Alector, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ALF,Centurion Acquisition Corp. - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
ALFUU,Centurion Acquisition Corp. - Unit,NASDAQ,USA,,,,,,nasdaqlisted
ALFUW,Centurion Acquisition Corp. - Warrant,NASDAQ,USA,,,,,,nasdaqlisted
ALGM,"Allegro MicroSystems, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ALGN,"Align Technology, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ALGS,"Aligos Therapeutics, Inc. - Common stock",NASDAQ,USA,,,,,,nasdaqlisted
ALGT,Allegiant Travel Company - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ALHC,"Alignment Healthcare, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ALIS,Calisa Acquisition Corp - Ordinary shares,NASDAQ,USA,,,,,,nasdaqlisted
ALISR,Calisa Acquisition Corp - Right,NASDAQ,USA,,,,,,nasdaqlisted
ALISU,Calisa Acquisition Corp - Units,NASDAQ,USA,,,,,,nasdaqlisted
ALKS,Alkermes plc - Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
ALKT,"Alkami Technology, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ALLO,"Allogene Therapeutics, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ALLR,"Allarity Therapeutics, Inc. - Common stock",NASDAQ,USA,,,,,,nasdaqlisted
ALLT,Allot Ltd. - Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
ALM,Almonty Industries Inc. - Common Shares,NASDAQ,USA,,,,,,nasdaqlisted
ALMR,"Alamar Biosciences, Inc. - Class A common stock",NASDAQ,USA,,,,,,nasdaqlisted
ALMS,Alumis Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ALMU,"Aeluma, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ALNT,Allient Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ALOT,"AstroNova, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ALOV,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Class A Ordinary Shares",NASDAQ,USA,,,,,,nasdaqlisted
ALOVU,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Units",NASDAQ,USA,,,,,,nasdaqlisted
ALOVW,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Warrants",NASDAQ,USA,,,,,,nasdaqlisted
ALOY,REalloys Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ALP,Alpha Compute Corp  - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ALPS,ALPS Group Inc - Ordinary Share,NASDAQ,USA,,,,,,nasdaqlisted
ALRM,"Alarm.com Holdings, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ALRS,Alerus Financial Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ALT,"Altimmune, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ALTI,"AlTi Global, Inc. - Class A Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ALTO,"Alto Ingredients, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ALVO,Alvotech - Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
ALVOW,Alvotech - Warrant,NASDAQ,USA,,,,,,nasdaqlisted
ALXO,ALX Oncology Holdings Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ALZN,"Alzamend Neuro, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AMAL,Amalgamated Financial Corp. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
AMAN,Amanat Acquisition Corp - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
AMAT,"Applied Materials, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AMBA,"Ambarella, Inc. - Ordinary Shares",NASDAQ,USA,,,,,,nasdaqlisted
AMBR,Amber International Holding Limited - American Depositary Shares,NASDAQ,USA,,,,,,nasdaqlisted
AMCI,AMC Robotics Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
AMCX,AMC Global Media Inc. - Class A Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AMGN,Amgen Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
AMIX,"Autonomix Medical, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AMKR,"Amkor Technology, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AMOD,"Alpha Modus Holdings, Inc. - Class A Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AMODW,"Alpha Modus Holdings, Inc. - Warrant",NASDAQ,USA,,,,,,nasdaqlisted
AMPG,"Amplitech Group, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AMPGR,"Amplitech Group, Inc. - Series A Right",NASDAQ,USA,,,,,,nasdaqlisted
AMPGZ,"Amplitech Group, Inc. - Series B Right",NASDAQ,USA,,,,,,nasdaqlisted
AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AMPL,"Amplitude, Inc. - Class A Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AMRN,Amarin Corporation plc - American Depositary Shares,NASDAQ,USA,,,,,,nasdaqlisted
AMRX,"Amneal Pharmaceuticals, Inc. - Class A Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AMSC,American Superconductor Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
AMSF,"AMERISAFE, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AMSS,AMASS Brands Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
AMST,Amesite Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
AMTX,"Aemetis, Inc - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
AMZN,"Amazon.com, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ANAB,"AnaptysBio, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ANDE,"The Andersons, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ANGH,Anghami Inc. - Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
ANGHW,Anghami Inc. - Warrants,NASDAQ,USA,,,,,,nasdaqlisted
ANGI,Angi Inc. - Class A Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ANGO,"AngioDynamics, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ANIK,Anika Therapeutics Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted
ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ANIX,"Anixa Biosciences, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ANL,Adlai Nortye Ltd. - American Depositary Shares,NASDAQ,USA,,,,,,nasdaqlisted
ANNA,"AleAnna, Inc. - Class A Common Stock",NASDAQ,USA,,,,,,nasdaqlisted
ANNAW,"AleAnna, Inc. - Warrant",NASDAQ,USA,,,,,,nasdaqlisted
ANNX,"Annexon, Inc. - common stock",NASDAQ,USA,,,,,,nasdaqlisted
ANPA,Rich Sparkle Holdings Limited - Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
ANSC,Agriculture & Natural Solutions Acquisition Corporation - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
ANSCU,Agriculture & Natural Solutions Acquisition Corporation - Unit,NASDAQ,USA,,,,,,nasdaqlisted
ANSCW,Agriculture & Natural Solutions Acquisition Corporation - Warrant,NASDAQ,USA,,,,,,nasdaqlisted
ANTA,Antalpha Platform Holding Company - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted
