asset_id,ticker,company_name_source_value,resolved_company_name,resolution_status,resolution_reason,ticker_form_matched,openfigi_share_class_figi,openfigi_exch_codes,home_mic,home_country,source_row_hash,credentials_used,phase,created_at_utc
U37468,H1W,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,1e07a0b8477cc215c2d2c76d1d8d588f53920772ea374c51d7c4ba95597fe830,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37469,RPD,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,b84b58533c886a8c1d265f153a67d57df32d794e94a27f104dcbc83b811a24c3,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37470,H6D0,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,19c5b63f946f6bafaa42f3a7378abadf2da38dc893f4bbc0f3bd9563f4c0313b,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37471,GS71,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,61f7c82d2225ced5e3380c5038c7e74783befee61c7a8e5037c1ea52184dc8d8,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37472,R6C0,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,4409c9035adb1ab6aed7bf6bf0942b4b90c39234bb0537e62c096b659c4d28e8,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37473,GU81,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,f2f0c12490fc36cd84d86188661d57365e298435c1722a590fe1e6f520b84261,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37474,HT3,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,26daa2fcd20db022b2c61341a0a57fec9283742fbc8dc09a64d0653168290465,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37475,3RB0,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,b9466891fa225ab1b3020127b3007bac1458ae9afd59c526a4b8f85546ba4ada,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37476,NGL0,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,aa04acefc1c9877704301e965220c611a6c43124a2f38181e044e47020bc6b95,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37477,UNV0,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,d7dc409f38ed9701c5f3e7a3962c282b4a882844784ce6f7734f9d9737c4e6a9,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
U37478,0VQ,UKI0,,unresolved,no_openfigi_record_for_ticker_on_lse,,,,XLON,GB,0465585c7ba9f3120ec85303b91c55e2831d36ac119c69981a934a2ea27eecd2,false,v2.38V-europe-gb-identity-resolution,2026-09-05T10:16:00Z
