asset_id,ticker,resolved_company_name,isin,lookup_status,lookup_reason,company_number,company_status,date_of_creation,sic_codes,real_filings_downloaded,real_fundamentals_present,normalized_fundamentals_present,credential_used_value_never_logged,phase,created_at_utc
U37464,TCO0,TESCO PLC,GB00BLGZ9862,resolved,exact_normalized_name_match_single_active_company,00445790,active,1947-11-27,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37465,RYSD,NATWEST GR.PLC,GB00BM8PJY71,unresolved,no_exact_normalized_name_match,,,,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37466,T9G,VIDAC PHARMA HLDG PLC,GB00BM9XQ619,unresolved,no_exact_normalized_name_match,,,,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37467,88Q,4BASEBIO PLC,GB00BMCLYF79,resolved,exact_normalized_name_match_single_active_company,13519889,active,2020-12-22,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37468,H1W,KLARNA GROUP PLC,GB00BMHVL512,resolved,exact_normalized_name_match_single_active_company,14467769,active,2022-11-07,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37469,RPD,ROYALTY PHARMA OA,GB00BMVP7Y09,unresolved,no_exact_normalized_name_match,,,,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37470,H6D0,HALEON PLC,GB00BMX86B70,resolved,exact_normalized_name_match_single_active_company,13691224,active,2021-10-20,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37471,GS71,GSK PLC,GB00BN7SWP63,resolved,exact_normalized_name_match_single_active_company,03888792,active,1999-12-06,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37472,R6C0,SHELL PLC,GB00BP6MXD84,resolved,exact_normalized_name_match_single_active_company,04366849,active,2002-02-05,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37473,GU81,AVIVA PLC,GB00BPQY8M80,resolved,exact_normalized_name_match_single_active_company,02468686,active,1990-02-09,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37474,HT3,ANGLOGOLD ASHANTI,GB00BRXH2664,resolved,exact_normalized_name_match_single_active_company,14654651,active,2023-02-10,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37475,3RB0,RECKITT BENCK.,GB00BSZBP530,unresolved,no_exact_normalized_name_match,,,,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37476,NGL0,ANGLO AMERICAN,GB00BTK05J60,resolved,exact_normalized_name_match_single_active_company,03564138,active,1998-05-14,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37477,UNV0,UNILEVER PLC,GB00BVZK7T90,resolved,exact_normalized_name_match_single_active_company,00041424,active,1894-06-21,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
U37478,0VQ,PURETECH HEALTH PLC,GB00BY2Z0H74,resolved,exact_normalized_name_match_single_active_company,09582467,active,2015-05-08,,false,false,false,true,v2.38Y-europe-gb-companies-house-lookup-full-expansion,2026-09-05T19:42:32Z
