asset_id,ticker,company_number,resolved_company_name,filing_date,filing_type,document_format,fetch_status,fetch_reason,raw_xhtml_path,real_filings_downloaded,phase,created_at_utc
U37464,TCO0,00445790,TESCO PLC,2026-07-25,AA,application/pdf,blocked,accounts_format_not_parseable_pdf_only,,false,v2.38Y-europe-accounts-document-fetch,2026-09-05T19:43:20Z
U37467,88Q,13519889,4BASEBIO PLC,2026-07-25,AA,application/pdf,blocked,accounts_format_not_parseable_pdf_only,,false,v2.38Y-europe-accounts-document-fetch,2026-09-05T19:43:20Z
U37468,H1W,14467769,KLARNA GROUP PLC,2026-07-10,AA,application/pdf,blocked,accounts_format_not_parseable_pdf_only,,false,v2.38Y-europe-accounts-document-fetch,2026-09-05T19:43:20Z
U37470,H6D0,13691224,HALEON PLC,2026-03-31,AA,application/pdf,blocked,accounts_format_not_parseable_pdf_only,,false,v2.38Y-europe-accounts-document-fetch,2026-09-05T19:43:20Z
U37471,GS71,03888792,GSK PLC,2026-04-26,AA,application/pdf,blocked,accounts_format_not_parseable_pdf_only,,false,v2.38Y-europe-accounts-document-fetch,2026-09-05T19:43:20Z
U37472,R6C0,04366849,SHELL PLC,2026-04-14,AA,application/pdf,blocked,accounts_format_not_parseable_pdf_only,,false,v2.38Y-europe-accounts-document-fetch,2026-09-05T19:43:20Z
U37473,GU81,02468686,AVIVA PLC,2026-05-18,AA,application/pdf,blocked,accounts_format_not_parseable_pdf_only,,false,v2.38Y-europe-accounts-document-fetch,2026-09-05T19:43:20Z
U37474,HT3,14654651,ANGLOGOLD ASHANTI,2026-05-29,AA,application/pdf,blocked,accounts_format_not_parseable_pdf_only,,false,v2.38Y-europe-accounts-document-fetch,2026-09-05T19:43:20Z
U37476,NGL0,03564138,ANGLO AMERICAN,2026-07-20,AA,application/pdf,blocked,accounts_format_not_parseable_pdf_only,,false,v2.38Y-europe-accounts-document-fetch,2026-09-05T19:43:20Z
U37477,UNV0,00041424,UNILEVER PLC,2026-04-26,AA,application/pdf,blocked,accounts_format_not_parseable_pdf_only,,false,v2.38Y-europe-accounts-document-fetch,2026-09-05T19:43:20Z
U37478,0VQ,09582467,PURETECH HEALTH PLC,2026-06-21,AA,application/pdf,blocked,accounts_format_not_parseable_pdf_only,,false,v2.38Y-europe-accounts-document-fetch,2026-09-05T19:43:20Z
