ticker,real_decision,simulated_decision,simulated_reasons,market_cap,price,dollar_volume_90d,_merge,alignment_status
ADMA,PASSED,PASSED,,1847228544.0,7.97,55717504.879999995,both,MATCH
ADP,PASSED,PASSED,,92718366720.0,231.95,774992731.6999999,both,MATCH
ADPT,PASSED,PASSED,,2704750080.0,16.9,32681608.699999996,both,MATCH
ADSE,REJECTED,REJECTED,LOW_DOLLAR_VOLUME,852023232.0,11.36,79599.51999999999,both,MATCH
ADSK,PASSED,PASSED,,48554962944.0,229.96,479431876.04,both,MATCH
ADTN,PASSED,PASSED,,1243320832.0,15.35,38322395.55,both,MATCH
ADTX,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",50668.0,0.0621,204144.37290000002,both,MATCH
ADUR,PASSED,PASSED,,472856832.0,14.02,4721010.68,both,MATCH
ADUS,PASSED,PASSED,,1719025792.0,92.1,22831129.5,both,MATCH
ADV,PASSED,PASSED,,515192096.0,38.75,3209313.75,both,MATCH
ADVB,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",6889394.0,4.17,1901682.63,both,MATCH
ADXN,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",7417846.0,5.86,22238.7,both,MATCH
AEBI,PASSED,PASSED,,892095552.0,11.51,3960199.66,both,MATCH
AEC,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WEAK_WATCHLIST_RANGE",76376896.0,4.2,217845.6,both,MATCH
AEHL,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE",18515492.0,1.02,9367975.8,both,MATCH
AEHR,PASSED,PASSED,,3096572672.0,98.45,289437782.15000004,both,MATCH
AEI,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",52898332.0,1.36,20618.960000000003,both,MATCH
AEIS,PASSED,PASSED,,11795540992.0,294.81,230825911.65,both,MATCH
AEMD,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",4478732.0,1.91,1041706.36,both,MATCH
AENT,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",283928704.0,5.57,149704.89,both,MATCH
AEP,PASSED,PASSED,,70265724928.0,129.14,491535250.79999995,both,MATCH
AERT,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",39284084.0,0.7824,274094.27999999997,both,MATCH
AEVA,PASSED,PASSED,,1553985024.0,23.01,43449783.0,both,MATCH
AEYE,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",83580944.0,6.69,1266490.59,both,MATCH
AFBI,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",137141008.0,22.501,417326.047,both,MATCH
AFCG,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",82115664.0,3.49,973912.42,both,MATCH
AFJK,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",127919816.0,40.4,712615.6,both,MATCH
AFRI,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",263706112.0,9.78,126093.54,both,MATCH
AFRM,PASSED,PASSED,,21302896640.0,63.61,337407986.03,both,MATCH
AFYA,WATCHLIST,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,1320575872.0,14.44,1376348.5999999999,both,MATCH
AGCC,PASSED,PASSED,,343392544.0,15.07,2302454.88,both,MATCH
AGEN,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",134505056.0,3.23,2704999.03,both,MATCH
AGIO,PASSED,PASSED,,1682451840.0,28.29,29683876.59,both,MATCH
AGMB,WATCHLIST,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,488539936.0,9.92,1342830.72,both,MATCH
AGMH,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",2436866.0,1.06,100686.22,both,MATCH
AGNC,PASSED,PASSED,,11674440704.0,10.17,173573657.91,both,MATCH
AGNT,PASSED,PASSED,PRICE_WEAK_WATCHLIST_RANGE,780538624.0,4.75,5500761.25,both,MATCH
AGPU,REJECTED,REJECTED,MARKET_CAP_BELOW_MINIMUM,80427872.0,7.73,26490887.790000003,both,MATCH
AGRZ,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",5992718.0,0.2765,1611482.6455,both,MATCH
AGYS,PASSED,PASSED,,2493309696.0,88.52,30885424.68,both,MATCH
AHCO,PASSED,PASSED,,1345575552.0,9.89,14850744.88,both,MATCH
AHG,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",1147983616.0,1.34,181284.58000000002,both,MATCH
AHMA,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE",30616750.0,1.03,3663309.33,both,MATCH
AIAI,PASSED,PASSED,,824080000.0,11.72,3930208.24,both,MATCH
AIDX,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",8510445.0,0.802,263384.01800000004,both,MATCH
AIFA,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM",12800360.0,0.3458,4382966.5879999995,both,MATCH
AIFC,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",88894072.0,0.6357,1521053.3754,both,MATCH
AIFF,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE",24603414.0,1.58,8504073.5,both,MATCH
AIFU,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE",299840704.0,2.53,27389.78,both,MATCH
AIHS,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",5241568.0,1.1501,55830.454399999995,both,MATCH
AIIO,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE",58163572.0,2.94,35801132.64,both,MATCH
AIIR,WATCHLIST,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,1108271488.0,6.91,1347152.87,both,MATCH
AIMD,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",14360857.0,1.95,673881.0,both,MATCH
AIOS,REJECTED,REJECTED,MARKET_CAP_BELOW_MINIMUM,46980000.0,14.5,2819786.0,both,MATCH
AIOT,PASSED,PASSED,PRICE_WEAK_WATCHLIST_RANGE,515125536.0,3.84,6132491.52,both,MATCH
AIP,PASSED,PASSED,,1582775552.0,34.28,26951964.400000002,both,MATCH
AIRE,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",11265977.0,2.1,244862.1,both,MATCH
AIRG,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",86068544.0,6.79,729103.41,both,MATCH
AIRJ,PASSED,PASSED,PRICE_WEAK_WATCHLIST_RANGE,351279328.0,4.87,3535347.2800000003,both,MATCH
AIRO,WATCHLIST,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,260684384.0,8.29,5239354.609999999,both,MATCH
AIRS,PASSED,PASSED,,360488448.0,5.11,14281085.63,both,MATCH
AIRT,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",58058092.0,21.482,32523.748,both,MATCH
AISP,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",95053184.0,2.76,1442944.5599999998,both,MATCH
AIXC,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",23472590.0,1.16,62326.799999999996,both,MATCH
AIXI,REJECTED,REJECTED,MARKET_CAP_BELOW_MINIMUM,8147204.0,8.85,484081804.65,both,MATCH
AKAM,PASSED,PASSED,,21708957696.0,149.32,834664157.76,both,MATCH
AKAN,REJECTED,REJECTED,MARKET_CAP_BELOW_MINIMUM,8352953.0,15.63,36135043.89,both,MATCH
AKBA,REJECTED,REJECTED,"PRICE_BELOW_MINIMUM, MARKET_CAP_WATCHLIST_RANGE",250901936.0,0.9353,3368008.7529,both,MATCH
AKTS,PASSED,PASSED,,1043085504.0,18.87,6080385.75,both,MATCH
AKTX,REJECTED,REJECTED,MARKET_CAP_BELOW_MINIMUM,17248940.0,15.07,11512741.57,both,MATCH
ALAB,PASSED,PASSED,,54346600448.0,317.06,1774716399.9,both,MATCH
ALAR,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",65413520.0,8.91,489916.35000000003,both,MATCH
ALBT,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",4302216.0,0.3571,379841.91349999997,both,MATCH
ALCO,WATCHLIST,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,303846912.0,40.97,1120857.26,both,MATCH
ALDF,REJECTED,REJECTED,LOW_DOLLAR_VOLUME,318693856.0,10.67,142583.21,both,MATCH
ALDX,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE",98323344.0,1.63,5045037.449999999,both,MATCH
ALEC,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",181526176.0,1.635,1146645.12,both,MATCH
ALGM,PASSED,PASSED,,8638857216.0,46.39,100522537.39,both,MATCH
ALGN,PASSED,PASSED,,12013224960.0,167.74,192985037.74,both,MATCH
ALGS,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",30384174.0,4.91,999533.61,both,MATCH
ALGT,PASSED,PASSED,,2260719104.0,84.12,46887394.440000005,both,MATCH
ALHC,PASSED,PASSED,,3177498880.0,15.37,72457976.39,both,MATCH
ALKS,PASSED,PASSED,,7133724672.0,42.8,101296514.8,both,MATCH
ALKT,PASSED,PASSED,,1700534784.0,15.89,27030240.650000002,both,MATCH
ALLO,WATCHLIST,WATCHLIST,PRICE_STRONG_WATCHLIST_RANGE,648890560.0,1.88,18385980.759999998,both,MATCH
ALLR,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",25616266.0,1.61,326448.43,both,MATCH
ALLT,PASSED,PASSED,,361786336.0,7.395,3053321.55,both,MATCH
ALM,PASSED,PASSED,,4627829760.0,16.31,87669626.16999999,both,MATCH
ALMR,PASSED,PASSED,,1423651840.0,20.54,8733977.719999999,both,MATCH
ALMS,PASSED,PASSED,,2429997056.0,19.06,24755776.04,both,MATCH
ALMU,PASSED,PASSED,,413517536.0,22.59,36081877.5,both,MATCH
ALNT,PASSED,PASSED,,1442323968.0,84.86,18847660.58,both,MATCH
ALNY,PASSED,PASSED,,40460984320.0,303.05,333668959.8,both,MATCH
ALOT,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",111975416.0,14.49,677248.11,both,MATCH
ALOV,REJECTED,REJECTED,LOW_DOLLAR_VOLUME,372186016.0,9.92,35721.92,both,MATCH
ALOY,PASSED,PASSED,,763944384.0,12.48,23168458.560000002,both,MATCH
ALP,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM",6354285.0,0.27,5360918.850000001,both,MATCH
ALPS,REJECTED,REJECTED,"PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",118144224.0,0.71,21485.309999999998,both,MATCH
ALRM,PASSED,PASSED,,2244026624.0,45.37,21319045.41,both,MATCH
ALRS,PASSED,PASSED,,727474304.0,28.95,4522395.3,both,MATCH
ALT,WATCHLIST,WATCHLIST,PRICE_STRONG_WATCHLIST_RANGE,527024992.0,2.71,10737258.48,both,MATCH
ALTI,WATCHLIST,WATCHLIST,"PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",451821152.0,2.98,521681.77999999997,both,MATCH
ALTO,PASSED,PASSED,,420749216.0,5.43,12524979.18,both,MATCH
ALVO,WATCHLIST,WATCHLIST,"DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",1104650880.0,3.54,1793721.54,both,MATCH
ALXO,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",207226880.0,1.54,1483220.2,both,MATCH
ALZN,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",4223262.0,1.11,147784.29,both,MATCH
AMAL,PASSED,PASSED,,1266972800.0,42.42,5852263.2,both,MATCH
AMAT,PASSED,PASSED,,359671562240.0,453.01,3087716160.0,both,MATCH
AMBA,PASSED,PASSED,,2786507008.0,63.52,67572067.84,both,MATCH
AMBR,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE",137641872.0,1.46,84357.34,both,MATCH
AMCI,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",107577736.0,4.76,332447.92,both,MATCH
AMCX,PASSED,PASSED,,430491584.0,9.8,4541859.0,both,MATCH
AMD,PASSED,PASSED,,760479481856.0,466.38,17473402407.6,both,MATCH
AMGN,PASSED,PASSED,,188671213568.0,349.58,905259433.54,both,MATCH
AMIX,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",4677831.0,0.41,291151.25,both,MATCH
AMKR,PASSED,PASSED,,16099318784.0,64.95,286318825.2,both,MATCH
AMLX,PASSED,PASSED,,1481001728.0,13.32,14334557.76,both,MATCH
AMOD,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",11255945.0,0.212,275758.788,both,MATCH
AMPG,WATCHLIST,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,131254976.0,5.18,11201247.54,both,MATCH
AMPH,PASSED,PASSED,,870394240.0,19.74,12037294.079999998,both,MATCH
AMPL,PASSED,PASSED,,1015863424.0,7.66,16634861.98,both,MATCH
AMRN,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",292099680.0,13.93,873508.51,both,MATCH
AMRX,PASSED,PASSED,,4386563072.0,13.75,24484446.25,both,MATCH
AMSC,PASSED,PASSED,,2019382784.0,42.34,51841392.38,both,MATCH
AMSF,PASSED,PASSED,,592909568.0,31.7,7010359.899999999,both,MATCH
AMSS,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_WEAK_WATCHLIST_RANGE",50381824.0,3.38,6704399.0,both,MATCH
AMST,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE",7901530.0,1.35,4417835.850000001,both,MATCH
AMTX,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE",158324576.0,2.25,4093677.0,both,MATCH
AMZN,PASSED,PASSED,,2646571745280.0,246.03,11055017052.42,both,MATCH
ANAB,PASSED,PASSED,,1465812352.0,50.37,41616499.919999994,both,MATCH
ANDE,PASSED,PASSED,,2479475712.0,72.81,25007977.89,both,MATCH
ANGH,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WEAK_WATCHLIST_RANGE",31726828.0,3.5,16915.5,both,MATCH
ANGI,WATCHLIST,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,239452256.0,5.92,8130131.36,both,MATCH
ANGO,PASSED,PASSED,,493347840.0,11.94,4692527.46,both,MATCH
ANIK,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",192665424.0,14.48,1656613.36,both,MATCH
ANIP,PASSED,PASSED,,1844004864.0,81.11,29187595.72,both,MATCH
ANIX,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",83149088.0,2.48,271168.16,both,MATCH
ANL,PASSED,PASSED,,640759424.0,9.95,3561682.0999999996,both,MATCH
ANNA,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",124457600.0,3.04,13746396.64,both,MATCH
ANNX,PASSED,PASSED,,866727040.0,5.29,13243446.23,both,MATCH
ANPA,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",88647304.0,5.87,164271.95,both,MATCH
ANTA,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",170106944.0,7.09,36088.1,both,MATCH
ANTX,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",137581728.0,3.82,5567642.359999999,both,MATCH
ANY,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_WEAK_WATCHLIST_RANGE",26862452.0,4.04,13159758.64,both,MATCH
AOSL,PASSED,PASSED,,1257341568.0,42.01,34937448.46,both,MATCH
AOUT,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",123564408.0,9.81,398060.37,both,MATCH
APA,PASSED,PASSED,,12926406656.0,36.57,296201421.18,both,MATCH
APAC,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",81631232.0,10.14,22997.52,both,MATCH
APC,PASSED,PASSED,,1626633472.0,19.7,3159052.6,both,MATCH
APEI,PASSED,PASSED,,965784640.0,52.65,18145348.65,both,MATCH
APGE,PASSED,PASSED,,6552844288.0,86.92,81327393.36,both,MATCH
API,PASSED,PASSED,PRICE_WEAK_WATCHLIST_RANGE,406684448.0,4.81,2071700.67,both,MATCH
APLD,PASSED,PASSED,,11322188800.0,39.62,866804577.0999999,both,MATCH
APLM,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",30744728.0,14.0,105812.0,both,MATCH
APM,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",8225194.0,1.01,64445.07,both,MATCH
APOG,PASSED,PASSED,,790200640.0,37.01,9439474.52,both,MATCH
