relative_path,exists,size_bytes,sha256,path
outputs\scouting\phase8e_persisted_equity_research_memos.json,True,28970,328f493acfb717e85b7aa0bc1742bbef54e746d55ff1ee711f5c5d89fbecd7a8,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8e_persisted_equity_research_memos.json
outputs\scouting\phase8e_equity_research_memo_db_audit.json,True,1181,992edf41a20753c4ffe2520f10c8d6a96cb2ee9672748db80e38f1154f511bc2,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8e_equity_research_memo_db_audit.json
outputs\scouting\phase8f_research_memo_export_report_layer_summary.json,True,984,ff6f83cb2e1f94c092b4c0e51cfa348447cde5cc237ec1a2713d4638ea7a1b9c,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8f_research_memo_export_report_layer_summary.json
D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8f_research_memo_export.json,False,,,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8f_research_memo_export.json
D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8f_research_memo_index.csv,False,,,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8f_research_memo_index.csv
outputs\scouting\phase8f_research_memo_export_report_layer_audit.json,True,1250,052e43903ce904dd19c925fd01ba39970beef6527c0b48e1fc497d251f86b656,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8f_research_memo_export_report_layer_audit.json
outputs\scouting\phase8g_optional_ai_interpretation_gate_summary.json,True,742,01087afe532ad71fbe08b46fc3adb5911b4eb93e50073118c284f7a3c6f51d5f,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8g_optional_ai_interpretation_gate_summary.json
outputs\scouting\phase8g_ai_interpretation_gate_decision.json,True,558,1cebfe16674aea3ccb03854593b6ae7a55b7b2aad189e4bb75c43a8027985510,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8g_ai_interpretation_gate_decision.json
outputs\scouting\phase8g_ai_interpretation_plan.json,True,1366,acbfcafefbb89b36c126bac90d5f393cb3ceb75406f435e6a5dc11ac459f4aa4,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8g_ai_interpretation_plan.json
outputs\scouting\phase8h_prompt_packaging_dry_run_summary.json,True,760,1fb96a7a224dd0027bfc17f3bc94162f683ecaa78b57735686fcd1df7e00f65a,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8h_prompt_packaging_dry_run_summary.json
outputs\scouting\phase8h_ai_prompt_packages.json,True,37459,c06d9010f4d17f8ee0b5568488eb46ddc98aeaa8108f90675ccf6e6c7975e594,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8h_ai_prompt_packages.json
outputs\scouting\phase8h_prompt_packaging_dry_run_audit.json,True,2185,2b4db07060f6bf66a5662be478c00d121e685b27eeb85dac71abdf6575fe37f9,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8h_prompt_packaging_dry_run_audit.json
outputs\scouting\phase8i_optional_ai_execution_sandbox_summary.json,True,535,b9cae8cf303500f264c27c94300a84a118428f6a5212b4eec06ef5d7eb635837,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8i_optional_ai_execution_sandbox_summary.json
outputs\scouting\phase8i_ai_execution_sandbox_results.json,True,40123,a5bf29dbbe8dc80944dde83cdb56415302cde32f22200522da90c0b5624cc549,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8i_ai_execution_sandbox_results.json
outputs\scouting\phase8i_ai_execution_sandbox_audit.json,True,1987,ee9423b294e9c01ad3be0e2e643472c65bd11d0097c5d2ac9a2fb8cc34fd3298,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8i_ai_execution_sandbox_audit.json
data\demo\demo_signals.db,True,176128,66ef5edb18916aa61f94e617896fbc3f0841f1377bd2d5eca4b70e32b150a9e0,D:\Proyectos\💰 Scout Finance\data\demo\demo_signals.db
