ticker,name,market_cap,price,avg_volume_90d,dollar_volume_90d,watchlist_reasons
AMRN,Amarin Corporation plc - American Depositary Shares,292099680.0,13.93,62707.0,873508.51,"DOLLAR_VOLUME_WATCHLIST_RANGE, MARKET_CAP_WATCHLIST_RANGE"
AMTX,"Aemetis, Inc - Common Stock",158324576.0,2.25,1819412.0,4093677.0,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE"
ANGI,Angi Inc. - Class A Common Stock,239452256.0,5.92,1373333.0,8130131.36,MARKET_CAP_WATCHLIST_RANGE
ANIK,Anika Therapeutics Inc. - Common Stock,192665424.0,14.48,114407.0,1656613.36,"DOLLAR_VOLUME_WATCHLIST_RANGE, MARKET_CAP_WATCHLIST_RANGE"
ANNA,"AleAnna, Inc. - Class A Common Stock",124457600.0,3.04,4521841.0,13746396.64,MARKET_CAP_WATCHLIST_RANGE
ANTX,"AN2 Therapeutics, Inc. - Common Stock",137581728.0,3.82,1457498.0,5567642.359999999,MARKET_CAP_WATCHLIST_RANGE
APXT,Apex Treasury Corporation - Class A Ordinary Share,461438400.0,10.04,66855.0,671224.2,DOLLAR_VOLUME_WATCHLIST_RANGE
APYX,Apyx Medical Corporation - Common Stock,187176560.0,4.47,172458.0,770887.26,"DOLLAR_VOLUME_WATCHLIST_RANGE, MARKET_CAP_WATCHLIST_RANGE"
ARCL,ARC Group Acquisition I Corp - Class A Ordinary Shares,177357376.0,9.89,112805.0,1115641.45,"DOLLAR_VOLUME_WATCHLIST_RANGE, MARKET_CAP_WATCHLIST_RANGE"
ARCT,Arcturus Therapeutics Holdings Inc. - Common Stock,207488400.0,7.3,462690.0,3377637.0,MARKET_CAP_WATCHLIST_RANGE
AREC,American Resources Corporation - Class A Common Stock,225709376.0,2.11,2901160.0,6121447.6,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE"
ARQ,"Arq, Inc. - Common Stock",111608264.0,2.6,828885.0,2155101.0,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE"
ARQQ,Arqit Quantum Inc. - Ordinary Shares,211265280.0,12.14,423331.0,5139238.34,MARKET_CAP_WATCHLIST_RANGE
ASRT,"Assertio Holdings, Inc. - Common Stock",151473504.0,23.44,293739.0,6885242.16,MARKET_CAP_WATCHLIST_RANGE
ASUR,Asure Software Inc - Common Stock,254119248.0,8.86,90711.0,803699.46,"DOLLAR_VOLUME_WATCHLIST_RANGE, MARKET_CAP_WATCHLIST_RANGE"
ATLO,Ames National Corporation - Common Stock,264033728.0,29.81,59823.0,1783323.63,"DOLLAR_VOLUME_WATCHLIST_RANGE, MARKET_CAP_WATCHLIST_RANGE"
ATLX,Atlas Lithium Corporation - Common Stock,104102832.0,3.53,662071.0,2337110.63,MARKET_CAP_WATCHLIST_RANGE
AUDC,AudioCodes Ltd. - Ordinary Shares,244609216.0,9.61,109539.0,1052669.79,"DOLLAR_VOLUME_WATCHLIST_RANGE, MARKET_CAP_WATCHLIST_RANGE"
AUTL,Autolus Therapeutics plc - American Depositary Shares,407199200.0,1.53,1638450.0,2506828.5,PRICE_WATCHLIST_RANGE
AVIR,"Atea Pharmaceuticals, Inc. - common stock",340115168.0,4.25,433879.0,1843985.75,DOLLAR_VOLUME_WATCHLIST_RANGE
AVNW,"Aviat Networks, Inc. - Common Stock",233427920.0,18.04,203830.0,3677093.2,MARKET_CAP_WATCHLIST_RANGE
AVXL,Anavex Life Sciences Corp. - Common Stock,238166416.0,2.57,1378179.0,3541920.03,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE"
AXG,Solowin Holdings - Class A Ordinary Share,653256640.0,3.43,286442.0,982496.06,DOLLAR_VOLUME_WATCHLIST_RANGE
AZ,A2Z Cust2Mate Solutions Corp. - Common Shares,285896512.0,6.42,468666.0,3008835.72,MARKET_CAP_WATCHLIST_RANGE
BBCP,"Concrete Pumping Holdings, Inc.  - Common Stock",525603392.0,10.43,133033.0,1387534.19,DOLLAR_VOLUME_WATCHLIST_RANGE
BCBP,"BCB Bancorp, Inc. (NJ) - Common Stock",195161872.0,11.24,100126.0,1125416.24,"DOLLAR_VOLUME_WATCHLIST_RANGE, MARKET_CAP_WATCHLIST_RANGE"
BCML,BayCom Corp - Common Stock,346588992.0,31.77,43941.0,1396005.57,DOLLAR_VOLUME_WATCHLIST_RANGE
BCYC,Bicycle Therapeutics plc - American Depositary Shares,293207136.0,4.2,434346.0,1824253.2,"DOLLAR_VOLUME_WATCHLIST_RANGE, MARKET_CAP_WATCHLIST_RANGE"
BDSX,"Biodesix, Inc. - Common Stock",160100800.0,15.46,80233.0,1240402.1800000002,"DOLLAR_VOLUME_WATCHLIST_RANGE, MARKET_CAP_WATCHLIST_RANGE"
BDTX,"Black Diamond Therapeutics, Inc. - Common Stock",112884504.0,1.97,1204304.0,2372478.88,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE"
BMBL,Bumble Inc. - common stock,430770112.0,2.84,4163617.0,11824672.28,PRICE_WATCHLIST_RANGE
BMM,Blue Moon Metals Inc. - Common Shares,760123968.0,7.25,110652.0,802227.0,DOLLAR_VOLUME_WATCHLIST_RANGE
BNAI,Brand Engagement Network Inc. - Common Stock,144275424.0,22.17,605509.0,13424134.53,MARKET_CAP_WATCHLIST_RANGE
BNTC,Benitec Biopharma Inc. - Common Stock,362438240.0,10.55,127515.0,1345283.25,DOLLAR_VOLUME_WATCHLIST_RANGE
BOOM,DMC Global Inc. - Common Stock,137959760.0,6.74,311884.0,2102098.16,MARKET_CAP_WATCHLIST_RANGE
BRAI,Braiin Limited - Common Stock,1498261376.0,7.27,227977.0,1657392.7899999998,DOLLAR_VOLUME_WATCHLIST_RANGE
BRCB,"Black Rock Coffee Bar, Inc. - Class A Common Stock",136124944.0,6.31,609365.0,3845093.15,MARKET_CAP_WATCHLIST_RANGE
BRR,"ProCap Financial, Inc. - Common Stock",156692192.0,1.73,1157601.0,2002649.73,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE"
BSVN,Bank7 Corp. - Common stock,429131680.0,45.08,12074.0,544295.9199999999,DOLLAR_VOLUME_WATCHLIST_RANGE
BTBT,"Bit Digital, Inc. - Ordinary Share",572672320.0,1.64,21744519.0,35661011.16,PRICE_WATCHLIST_RANGE
BWB,"Bridgewater Bancshares, Inc. - Common Stock",536754848.0,19.25,69017.0,1328577.25,DOLLAR_VOLUME_WATCHLIST_RANGE
BYRN,"Byrna Technologies, Inc. - Common Stock",134299088.0,5.92,549185.0,3251175.2,MARKET_CAP_WATCHLIST_RANGE
BZAI,"Blaize Holdings, Inc. - Common Stock",236217088.0,1.66,10141441.0,16834792.06,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE"
BZFD,"BuzzFeed, Inc. - Class A Common Stock",110622960.0,1.4,3300458.0,4620641.199999999,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE"
BZUN,Baozun Inc. - American Depositary Shares,154040240.0,2.65,366011.0,969929.15,"DOLLAR_VOLUME_WATCHLIST_RANGE, MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE"
