ticker,current_stage2_status,simulated_stage2_status,transition,simulated_primary_reason,simulated_all_reasons
AEHR,REJECTED,REJECTED,REJECTED->REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|FCF_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AEIS,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AEP,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,FCF_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,FCF_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AEVA,REJECTED,REJECTED,REJECTED->REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|FCF_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AFRM,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AGIO,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|FCF_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AGNC,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,DATA_COMPLETENESS_WATCHLIST_RANGE,DATA_COMPLETENESS_WATCHLIST_RANGE|MISSING_FCF_MARGIN|MISSING_NET_DEBT_TO_EBITDA|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AGNT,REJECTED,REJECTED,REJECTED->REJECTED,OPERATING_MARGIN_WATCHLIST_RANGE,OPERATING_MARGIN_WATCHLIST_RANGE|DEBT_TOO_HIGH|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AGYS,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AHCO,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,DEBT_WATCHLIST_RANGE,DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AIOT,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,DEBT_WATCHLIST_RANGE,DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AIP,REJECTED,REJECTED,REJECTED->REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AKAM,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,DEBT_WATCHLIST_RANGE,DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AKTS,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_FCF_MARGIN|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ALAB,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ALGM,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ALGN,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ALGT,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,FCF_MARGIN_WATCHLIST_RANGE,FCF_MARGIN_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ALHC,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ALKS,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,OPERATING_MARGIN_WATCHLIST_RANGE,OPERATING_MARGIN_WATCHLIST_RANGE|DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ALKT,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,OPERATING_MARGIN_WATCHLIST_RANGE,OPERATING_MARGIN_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ALM,REJECTED,REJECTED,REJECTED->REJECTED,FCF_MARGIN_TOO_NEGATIVE,FCF_MARGIN_TOO_NEGATIVE|DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ALMR,REJECTED,REJECTED,REJECTED->REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|MISSING_FCF_MARGIN|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ALMS,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|FCF_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ALNT,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ALNY,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ALOY,REJECTED,REJECTED,REJECTED->REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|FCF_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ALRM,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AMAL,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,DATA_COMPLETENESS_WATCHLIST_RANGE,DATA_COMPLETENESS_WATCHLIST_RANGE|MISSING_FCF_MARGIN|MISSING_NET_DEBT_TO_EBITDA|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AMAT,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AMBA,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,OPERATING_MARGIN_WATCHLIST_RANGE,OPERATING_MARGIN_WATCHLIST_RANGE|DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AMD,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AMGN,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AMKR,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,FCF_MARGIN_WATCHLIST_RANGE,FCF_MARGIN_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AMLX,REJECTED,REJECTED,REJECTED->REJECTED,DATA_COMPLETENESS_WATCHLIST_RANGE,DATA_COMPLETENESS_WATCHLIST_RANGE|MISSING_REVENUE|MISSING_FCF_MARGIN|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AMPH,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AMPL,REJECTED,REJECTED,REJECTED->REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AMRX,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,DEBT_WATCHLIST_RANGE,DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AMSC,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AMSF,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AMZN,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ANAB,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ANDE,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,FCF_MARGIN_WATCHLIST_RANGE,FCF_MARGIN_WATCHLIST_RANGE|DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ANIP,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ANNX,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,DATA_COMPLETENESS_WATCHLIST_RANGE,DATA_COMPLETENESS_WATCHLIST_RANGE|MISSING_REVENUE_SPECIAL_CASE|MISSING_FCF_MARGIN|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AOSL,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,OPERATING_MARGIN_WATCHLIST_RANGE,OPERATING_MARGIN_WATCHLIST_RANGE|FCF_MARGIN_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
APA,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
APEI,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
APGE,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,DATA_COMPLETENESS_WATCHLIST_RANGE,DATA_COMPLETENESS_WATCHLIST_RANGE|MISSING_REVENUE_SPECIAL_CASE|MISSING_FCF_MARGIN|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
APLD,REJECTED,REJECTED,REJECTED->REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|FCF_MARGIN_TOO_NEGATIVE|DEBT_TOO_HIGH|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
APOG,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
APP,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
APPF,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
APPN,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,DEBT_WATCHLIST_RANGE,DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
APPS,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,DEBT_WATCHLIST_RANGE,DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ARCB,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ARDX,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ARGX,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,MISSING_FCF_MARGIN,MISSING_FCF_MARGIN|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ARHS,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,DEBT_WATCHLIST_RANGE,DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ARKO,REJECTED,REJECTED,REJECTED->REJECTED,DEBT_TOO_HIGH,DEBT_TOO_HIGH|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ARM,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ARQT,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,OPERATING_MARGIN_WATCHLIST_RANGE,OPERATING_MARGIN_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ARRY,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,DEBT_WATCHLIST_RANGE,DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ARWR,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|FCF_MARGIN_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ARXS,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,MISSING_FCF_MARGIN,MISSING_FCF_MARGIN|DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ASML,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ASND,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ASO,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ASPI,REJECTED,REJECTED,REJECTED->REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|FCF_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ASST,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|FCF_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ASTE,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ASTH,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,DEBT_WATCHLIST_RANGE,DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ASTL,REJECTED,REJECTED,REJECTED->REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|FCF_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ATAI,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_FCF_MARGIN|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ATAT,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ATEC,REJECTED,REJECTED,REJECTED->REJECTED,OPERATING_MARGIN_WATCHLIST_RANGE,OPERATING_MARGIN_WATCHLIST_RANGE|DEBT_TOO_HIGH|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ATEX,REJECTED,REJECTED,REJECTED->REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|FCF_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ATLC,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,DATA_COMPLETENESS_WATCHLIST_RANGE,DATA_COMPLETENESS_WATCHLIST_RANGE|MISSING_FCF_MARGIN|MISSING_NET_DEBT_TO_EBITDA|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ATRC,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ATRO,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,FCF_MARGIN_WATCHLIST_RANGE,FCF_MARGIN_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AUGO,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AUPH,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AUR,REJECTED,REJECTED,REJECTED->REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|FCF_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AVAH,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,DEBT_WATCHLIST_RANGE,DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AVAV,REJECTED,REJECTED,REJECTED->REJECTED,OPERATING_MARGIN_WATCHLIST_RANGE,OPERATING_MARGIN_WATCHLIST_RANGE|FCF_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AVBP,REJECTED,REJECTED,REJECTED->REJECTED,LOW_DATA_COMPLETENESS,LOW_DATA_COMPLETENESS|MISSING_REVENUE_SPECIAL_CASE|MISSING_FCF_MARGIN|MISSING_NET_DEBT_TO_EBITDA|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AVGO,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AVLN,REJECTED,REJECTED,REJECTED->REJECTED,LOW_DATA_COMPLETENESS,LOW_DATA_COMPLETENESS|MISSING_REVENUE_SPECIAL_CASE|MISSING_FCF_MARGIN|MISSING_NET_DEBT_TO_EBITDA|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AVO,WATCHLIST,WATCHLIST,WATCHLIST->WATCHLIST,OPERATING_MARGIN_WATCHLIST_RANGE,OPERATING_MARGIN_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AVPT,WATCHLIST,PASSED,WATCHLIST->PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AVR,REJECTED,REJECTED,REJECTED->REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|FCF_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
