ticker,name,real_decision,balanced_decision,simulated_reasons,weak_reasons,market_cap,price,avg_volume_90d,dollar_volume_90d,transition
ACB,Aurora Cannabis Inc. - Common Shares,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE,199847936.0,3.38,918669,3105101.22,WATCHLIST->WATCHLIST
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",,21622344.0,1.55,76634,118782.7,REJECTED->REJECTED
ACDC,ProFrac Holding Corp. - Class A Common Stock,PASSED,PASSED,,,1253780736.0,6.93,1506595,10440703.35,PASSED->PASSED
ACET,"Adicet Bio, Inc. - Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,67868192.0,7.26,123650,897699.0,REJECTED->REJECTED
ACFN,"Acorn Energy, Inc. - Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,39981632.0,15.94,17369,276861.86,REJECTED->REJECTED
ACGL,Arch Capital Group Ltd. - Common Stock,PASSED,PASSED,,,31860838400.0,91.19,2203426,200930416.94,PASSED->PASSED
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",PASSED,PASSED,,,2251352832.0,24.48,2957084,72389416.32000001,PASSED->PASSED
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",PASSED,PASSED,,,526640960.0,5.13,1304866,6693962.58,PASSED->PASSED
ACIC,American Coastal Insurance Corporation - Common Stock,PASSED,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",,498210400.0,10.28,217355,2234409.4,PASSED->WATCHLIST
ACIU,AC Immune SA - Common Stock,WATCHLIST,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE",,228990544.0,2.25,264160,594360.0,WATCHLIST->REJECTED
ACIW,"ACI Worldwide, Inc. - Common Stock",PASSED,PASSED,,,4351115264.0,42.8,747700,32001560.0,PASSED->PASSED
ACLS,"Axcelis Technologies, Inc. - Common Stock",PASSED,PASSED,,,4522800128.0,147.16,683120,100527939.2,PASSED->PASSED
ACMR,"ACM Research, Inc. - Class A Common Stock",PASSED,PASSED,,,5272363008.0,76.29,1369280,104462371.2,PASSED->PASSED
ACNB,ACNB Corporation - Common Stock,PASSED,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,,560436992.0,54.88,62722,3442183.3600000003,PASSED->WATCHLIST
ACNT,Ascent Industries Co. - Common Stock,WATCHLIST,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",,122467816.0,13.55,111365,1508995.75,WATCHLIST->REJECTED
ACOG,Alpha Cognition Inc. - Common Stock,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,126725288.0,5.82,48742,283678.44,REJECTED->REJECTED
ACON,"Aclarion, Inc. - Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE,8790232.0,3.57,99036,353558.52,REJECTED->REJECTED
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",PASSED,PASSED,PRICE_WEAK_WATCHLIST_RANGE,PRICE_WEAK_WATCHLIST_RANGE,608933632.0,4.36,1762419,7684146.840000001,PASSED->PASSED
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,61206468.0,1.43,654247,935573.21,REJECTED->REJECTED
ACT,"Enact Holdings, Inc. - Common Stock",PASSED,PASSED,,,5833915392.0,41.79,313950,13119970.5,PASSED->PASSED
ACTG,Acacia Research Corporation - Common Stock,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE,446241792.0,4.62,319533,1476242.46,WATCHLIST->WATCHLIST
ACTU,"Actuate Therapeutics, Inc. - Common stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",,44980600.0,1.88,143823,270387.24,REJECTED->REJECTED
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE",,7220199.0,1.68,3101342,5210254.56,REJECTED->REJECTED
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",,287500000.0,10.0,9198,91980.0,REJECTED->REJECTED
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",WATCHLIST,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE,219361008.0,3.32,252458,838160.5599999999,WATCHLIST->REJECTED
ADAM,"Adamas Trust, Inc. - Common Stock",PASSED,PASSED,,,806952704.0,8.98,766512,6883277.760000001,PASSED->PASSED
ADBE,Adobe Inc. - Common Stock,PASSED,PASSED,,,101632049152.0,251.44,5571100,1400797384.0,PASSED->PASSED
ADEA,Adeia Inc.  - Common Stock,PASSED,PASSED,,,3196312832.0,28.98,1697325,49188478.5,PASSED->PASSED
ADGM,"Adagio Medical Holdings, Inc - Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,16102584.0,0.725,134134,97247.15,REJECTED->REJECTED
ADI,"Analog Devices, Inc. - Common Stock",PASSED,PASSED,,,195511877632.0,401.39,3937093,1580309759.27,PASSED->PASSED
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",,4737402.0,2.21,125063,276389.23,REJECTED->REJECTED
ADMA,ADMA Biologics Inc - Common Stock,PASSED,PASSED,,,1847228544.0,7.97,6990904,55717504.88,PASSED->PASSED
ADP,"Automatic Data Processing, Inc. - Common Stock",PASSED,PASSED,,,92718366720.0,231.95,3341206,774992731.6999999,PASSED->PASSED
ADPT,Adaptive Biotechnologies Corporation - Common Stock,PASSED,PASSED,,,2704750080.0,16.9,1933823,32681608.7,PASSED->PASSED
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,REJECTED,REJECTED,LOW_DOLLAR_VOLUME,,852023232.0,11.36,7007,79599.51999999999,REJECTED->REJECTED
ADSK,"Autodesk, Inc. - Common Stock",PASSED,PASSED,,,48554962944.0,229.96,2084849,479431876.04,PASSED->PASSED
ADTN,"ADTRAN Holdings, Inc. - Common Stock",PASSED,PASSED,,,1243320832.0,15.35,2496573,38322395.55,PASSED->PASSED
ADTX,"Aditxt, Inc. - Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,50668.0,0.0621,3287349,204144.3729,REJECTED->REJECTED
ADUR,Aduro Clean Technologies Inc. - Common Stock,PASSED,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",,472856832.0,14.02,336734,4721010.68,PASSED->WATCHLIST
ADUS,Addus HomeCare Corporation - Common Stock,PASSED,PASSED,,,1719025792.0,92.1,247895,22831129.5,PASSED->PASSED
ADV,Advantage Solutions Inc.  - Class A Common Stock,PASSED,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,,515192096.0,38.75,82821,3209313.75,PASSED->WATCHLIST
ADVB,Advanced Biomed Inc. - Common Stock,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE,6889394.0,4.17,456039,1901682.63,REJECTED->REJECTED
ADXN,Addex Therapeutics Ltd - American Depositary Shares,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,7417846.0,5.86,3795,22238.7,REJECTED->REJECTED
AEBI,Aebi Schmidt Holding AG - Common Stock,PASSED,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,,892095552.0,11.51,344066,3960199.66,PASSED->WATCHLIST
AEC,Anfield Energy Inc. - Common Shares,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE,76376896.0,4.2,51868,217845.6,REJECTED->REJECTED
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM",,18515492.0,1.02,9184290,9367975.8,REJECTED->REJECTED
AEHR,Aehr Test Systems - Common Stock,PASSED,PASSED,,,3096572672.0,98.45,2939947,289437782.15000004,PASSED->PASSED
AEI,Alset Inc. - Common Stock,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,52898332.0,1.36,15161,20618.960000000003,REJECTED->REJECTED
AEIS,"Advanced Energy Industries, Inc. - Common Stock",PASSED,PASSED,,,11795540992.0,294.81,782965,230825911.65,PASSED->PASSED
AEMD,"Aethlon Medical, Inc. - Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",,4478732.0,1.91,545396,1041706.36,REJECTED->REJECTED
AENT,Alliance Entertainment Holding Corporation - common stock,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",,283928704.0,5.57,26877,149704.89,REJECTED->REJECTED
AEP,"American Electric Power Company, Inc. - Common Stock",PASSED,PASSED,,,70265724928.0,129.14,3806220,491535250.8,PASSED->PASSED
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,39284084.0,0.7824,350325,274094.28,REJECTED->REJECTED
AEVA,"Aeva Technologies, Inc. - Common Stock",PASSED,PASSED,,,1553985024.0,23.01,1888300,43449783.0,PASSED->PASSED
AEYE,"AudioEye, Inc. - Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",,83580944.0,6.69,189311,1266490.59,REJECTED->REJECTED
AFBI,"Affinity Bancshares, Inc. - Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,137141008.0,22.501,18547,417326.047,REJECTED->REJECTED
AFCG,Advanced Flower Capital Inc. - Common Stock,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE,82115664.0,3.49,279058,973912.42,REJECTED->REJECTED
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",WATCHLIST,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,127919816.0,40.4,17639,712615.6,WATCHLIST->REJECTED
AFRI,Forafric Global PLC - Ordinary Shares,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",,263706112.0,9.78,12893,126093.54,REJECTED->REJECTED
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",PASSED,PASSED,,,21302896640.0,63.61,5304323,337407986.03,PASSED->PASSED
AFYA,Afya Limited - Class A Common Shares,WATCHLIST,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,,1320575872.0,14.44,95315,1376348.6,WATCHLIST->WATCHLIST
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,PASSED,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",,343392544.0,15.07,152784,2302454.88,PASSED->WATCHLIST
AGEN,Agenus Inc. - Common Stock,WATCHLIST,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE,134505056.0,3.23,837461,2704999.03,WATCHLIST->REJECTED
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",PASSED,PASSED,,,1682451840.0,28.29,1049271,29683876.59,PASSED->PASSED
AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",,488539936.0,9.92,135366,1342830.72,WATCHLIST->WATCHLIST
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,2436866.0,1.06,94987,100686.22,REJECTED->REJECTED
AGNC,AGNC Investment Corp. - Common Stock,PASSED,PASSED,,,11674440704.0,10.17,17067223,173573657.91,PASSED->PASSED
AGNT,"eXp World Holdings, Inc. - Common Stock",PASSED,PASSED,PRICE_WEAK_WATCHLIST_RANGE,PRICE_WEAK_WATCHLIST_RANGE,780538624.0,4.75,1158055,5500761.25,PASSED->PASSED
AGPU,Axe Compute Inc. - Common Stock,REJECTED,REJECTED,MARKET_CAP_BELOW_MINIMUM,,80427872.0,7.73,3427023,26490887.790000003,REJECTED->REJECTED
AGRZ,Agroz Inc. - Ordinary Shares,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",,5992718.0,0.2765,5828147,1611482.6455,REJECTED->REJECTED
AGYS,"Agilysys, Inc. - Common Stock",PASSED,PASSED,,,2493309696.0,88.52,348909,30885424.68,PASSED->PASSED
AHCO,AdaptHealth Corp.  - Common Stock,PASSED,PASSED,,,1345575552.0,9.89,1501592,14850744.88,PASSED->PASSED
AHG,Akso Health Group - American Depositary Shares,REJECTED,REJECTED,"PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,1147983616.0,1.34,135287,181284.58,REJECTED->REJECTED
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",,30616750.0,1.03,3556611,3663309.33,REJECTED->REJECTED
AIAI,AIAI Holdings Corporation - Class A common stock,PASSED,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,,824080000.0,11.72,335342,3930208.24,PASSED->WATCHLIST
AIDX,"20/20 Biolabs, Inc. - Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,8510445.0,0.802,328409,263384.01800000004,REJECTED->REJECTED
AIFA,"All In FutureTech Alliance, Inc. - Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",,12800360.0,0.3458,12674860,4382966.588,REJECTED->REJECTED
AIFC,AI Financial Corporation - Common Stock,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",,88894072.0,0.6357,2392722,1521053.3754,REJECTED->REJECTED
AIFF,"Firefly Neuroscience, Inc.  - Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE",,24603414.0,1.58,5382325,8504073.5,REJECTED->REJECTED
AIFU,AIFU Inc. - Class A Ordinary Share,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE",,299840704.0,2.53,10826,27389.78,REJECTED->REJECTED
AIHS,Senmiao Technology Limited - Common Stock,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,5241568.0,1.1501,48544,55830.4544,REJECTED->REJECTED
AIIO,Robo.ai Inc. - Class B Ordinary Shares,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE",,58163572.0,2.94,12177256,35801132.64,REJECTED->REJECTED
AIIR,Air Global PLC - Ordinary shares,WATCHLIST,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,,1108271488.0,6.91,194957,1347152.87,WATCHLIST->WATCHLIST
AIMD,"Ainos, Inc. - Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",,14360857.0,1.95,345580,673881.0,REJECTED->REJECTED
AIOS,AIOS Tech Inc. - Class A Common Shares,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",,46980000.0,14.5,194468,2819786.0,REJECTED->REJECTED
AIOT,"PowerFleet, Inc. - Common Stock",PASSED,PASSED,PRICE_WEAK_WATCHLIST_RANGE,PRICE_WEAK_WATCHLIST_RANGE,515125536.0,3.84,1597003,6132491.52,PASSED->PASSED
AIP,"Arteris, Inc.  - Common Stock",PASSED,PASSED,,,1582775552.0,34.28,786230,26951964.4,PASSED->PASSED
AIRE,reAlpha Tech Corp. - Common Stock,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",,11265977.0,2.1,116601,244862.1,REJECTED->REJECTED
AIRG,"Airgain, Inc. - Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,86068544.0,6.79,107379,729103.41,REJECTED->REJECTED
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,PASSED,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE,351279328.0,4.87,725944,3535347.2800000003,PASSED->WATCHLIST
AIRO,"AIRO Group Holdings, Inc. - Common Stock",WATCHLIST,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,,260684384.0,8.29,632009,5239354.609999999,WATCHLIST->WATCHLIST
AIRS,"AirSculpt Technologies, Inc. - Common Stock",PASSED,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,,360488448.0,5.11,2794733,14281085.63,PASSED->WATCHLIST
AIRT,"Air T, Inc. - Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,58058092.0,21.482,1514,32523.748,REJECTED->REJECTED
AISP,"Airship AI Holdings, Inc - Class A Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",,95053184.0,2.76,522806,1442944.5599999998,REJECTED->REJECTED
AIXC,"AIxCrypto Holdings, Inc. - Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,23472590.0,1.16,53730,62326.8,REJECTED->REJECTED
AIXI,XIAO-I Corporation - American Depositary Shares,REJECTED,REJECTED,MARKET_CAP_BELOW_MINIMUM,,8147204.0,8.85,54698509,484081804.65,REJECTED->REJECTED
AKAM,"Akamai Technologies, Inc. - Common Stock",PASSED,PASSED,,,21708957696.0,149.32,5589768,834664157.76,PASSED->PASSED
AKAN,Akanda Corp. - Common Shares,REJECTED,REJECTED,MARKET_CAP_BELOW_MINIMUM,,8352953.0,15.63,2311903,36135043.89,REJECTED->REJECTED
AKBA,"Akebia Therapeutics, Inc. - Common Stock",REJECTED,REJECTED,"PRICE_BELOW_MINIMUM, MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",,250901936.0,0.9353,3600993,3368008.7529,REJECTED->REJECTED
AKTS,"Aktis Oncology, Inc. - Common stock",PASSED,PASSED,,,1043085504.0,18.87,322225,6080385.75,PASSED->PASSED
AKTX,Akari Therapeutics Plc - American Depositary Shares,REJECTED,REJECTED,MARKET_CAP_BELOW_MINIMUM,,17248940.0,15.07,763951,11512741.57,REJECTED->REJECTED
ALAB,"Astera Labs, Inc. - Common Stock",PASSED,PASSED,,,54346600448.0,317.06,5597415,1774716399.9,PASSED->PASSED
ALAR,Alarum Technologies Ltd. - American Depositary Shares,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,65413520.0,8.91,54985,489916.35,REJECTED->REJECTED
ALBT,Avalon GloboCare Corp. - Common Stock,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",,4302216.0,0.3571,1063685,379841.9135,REJECTED->REJECTED
ALCO,"Alico, Inc. - Common Stock",WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",,303846912.0,40.97,27358,1120857.26,WATCHLIST->WATCHLIST
ALDF,Aldel Financial II Inc. - Class A Ordinary Shares,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",,318693856.0,10.67,13363,142583.21,REJECTED->REJECTED
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE",,98323344.0,1.63,3095115,5045037.449999999,REJECTED->REJECTED
ALEC,"Alector, Inc. - Common Stock",WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",,181526176.0,1.635,701312,1146645.12,WATCHLIST->WATCHLIST
ALGM,"Allegro MicroSystems, Inc. - Common Stock",PASSED,PASSED,,,8638857216.0,46.39,2166901,100522537.39,PASSED->PASSED
ALGN,"Align Technology, Inc. - Common Stock",PASSED,PASSED,,,12013224960.0,167.74,1150501,192985037.74,PASSED->PASSED
