asset_id,ticker,company_name,company_number,source_priority,candidate_matrix_status,fundamental_quality_status,price_quality_status,evidence_level,missing_reason,net_margin,operating_margin,return_on_assets,return_on_equity,liabilities_to_assets,cash_to_assets,current_ratio,profitability_positive_flag,balance_strength_flag,return_1m,return_3m,return_6m,return_12m,volatility_3m,volatility_6m,max_drawdown_6m,max_drawdown_12m,price_vs_sma_50,price_vs_sma_200,trend_positive_flag,near_52w_high_flag,liquidity_available_flag,fundamental_signal_summary,price_signal_summary,evidence_notes,scoring_calculated,ranking_calculated,recommendation_generated,phase
U36875,VAS,voestalpine AG,66209t,fundamental_only,CANDIDATE_MATRIX_PARTIAL_PRICE,FEATURES_PARTIAL,MISSING,medium,price_features_missing_or_partial,,0.030825,,,0.348654,0.105011,,False,True,,,,,,,,,,,,,,balance sheet strength flag true,No local Europe price feature row available -- v2.38P/O have not collected real price history yet.,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38X-europe-candidate-feature-matrix
U36876,SLL,SBO AG,102999w,fundamental_only,CANDIDATE_MATRIX_PARTIAL_PRICE,FEATURES_PARTIAL,MISSING,medium,price_features_missing_or_partial,4.806019,-0.674538,0.104153,0.304757,0.658243,0.053099,,True,True,,,,,,,,,,,,,,net margin positive; balance sheet strength flag true,No local Europe price feature row available -- v2.38P/O have not collected real price history yet.,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38X-europe-candidate-feature-matrix
U36877,KTN,Kontron AG,190272m,fundamental_only,CANDIDATE_MATRIX_PARTIAL_PRICE,FEATURES_PARTIAL,MISSING,medium,price_features_missing_or_partial,0.113846,0.034196,0.012615,0.017565,0.279382,0.214227,,True,True,,,,,,,,,,,,,,net margin positive; balance sheet strength flag true,No local Europe price feature row available -- v2.38P/O have not collected real price history yet.,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38X-europe-candidate-feature-matrix
U36878,WAH,Wolftank Group AG,306731a,fundamental_only,CANDIDATE_MATRIX_PARTIAL_PRICE,FEATURES_PARTIAL,MISSING,medium,price_features_missing_or_partial,-1.646265,-2.282094,-0.043659,-0.057381,0.239112,0.005412,,False,True,,,,,,,,,,,,,,net margin non-positive; balance sheet strength flag true,No local Europe price feature row available -- v2.38P/O have not collected real price history yet.,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38X-europe-candidate-feature-matrix
U36879,GEPH,EPH Group AG,603735x,fundamental_only,CANDIDATE_MATRIX_PARTIAL_PRICE,FEATURES_PARTIAL,MISSING,medium,price_features_missing_or_partial,,-13.152341,,,1.246383,,,False,False,,,,,,,,,,,,,,Fundamental fields present but limited.,No local Europe price feature row available -- v2.38P/O have not collected real price history yet.,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38X-europe-candidate-feature-matrix
U36880,4X0,Steyr Motors AG,583243k,fundamental_only,CANDIDATE_MATRIX_PARTIAL_PRICE,FEATURES_PARTIAL,MISSING,medium,price_features_missing_or_partial,0.16582,0.084112,0.243836,0.349676,0.301149,0.290234,,True,True,,,,,,,,,,,,,,net margin positive; balance sheet strength flag true,No local Europe price feature row available -- v2.38P/O have not collected real price history yet.,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38X-europe-candidate-feature-matrix
U36881,O3P,Österreichische Post Aktiengesellschaft,180219d,fundamental_only,CANDIDATE_MATRIX_PARTIAL_PRICE,FEATURES_PARTIAL,MISSING,medium,price_features_missing_or_partial,0.061304,0.069886,0.063137,0.170729,0.60021,0.045216,,True,True,,,,,,,,,,,,,,net margin positive; balance sheet strength flag true,No local Europe price feature row available -- v2.38P/O have not collected real price history yet.,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38X-europe-candidate-feature-matrix
U36882,0B2,BAWAG Group AG,269842b,fundamental_only,CANDIDATE_MATRIX_PARTIAL_PRICE,INSUFFICIENT_FEATURE_EVIDENCE,MISSING,medium,price_features_missing_or_partial,,,,,,,,False,False,,,,,,,,,,,,,,Fundamental fields present but limited.,No local Europe price feature row available -- v2.38P/O have not collected real price history yet.,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38X-europe-candidate-feature-matrix
U36883,1AST,ASTA Energy Solutions AG,271337a,fundamental_only,CANDIDATE_MATRIX_PARTIAL_PRICE,FEATURES_PARTIAL,MISSING,medium,price_features_missing_or_partial,0.139277,-1.127596,0.006428,0.011879,0.458866,0.065251,,True,True,,,,,,,,,,,,,,net margin positive; balance sheet strength flag true,No local Europe price feature row available -- v2.38P/O have not collected real price history yet.,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38X-europe-candidate-feature-matrix
U36884,FQT,FREQUENTIS AG,72115b,fundamental_only,CANDIDATE_MATRIX_PARTIAL_PRICE,FEATURES_PARTIAL,MISSING,medium,price_features_missing_or_partial,0.061111,0.051556,0.081194,0.147538,0.424652,0.1739,,True,True,,,,,,,,,,,,,,net margin positive; balance sheet strength flag true,No local Europe price feature row available -- v2.38P/O have not collected real price history yet.,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38X-europe-candidate-feature-matrix
U37451,KFI1,KINGFISHER,01664812,fundamental_only,CANDIDATE_MATRIX_PARTIAL_PRICE,FEATURES_READY,MISSING,medium,price_features_missing_or_partial,0.018926,0.03623,0.021495,0.039786,0.45973,0.040797,1.21482,True,True,,,,,,,,,,,,,,net margin positive; balance sheet strength flag true,No local Europe price feature row available -- v2.38P/O have not collected real price history yet.,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38X-europe-candidate-feature-matrix
