ticker,name,exchange,country,region,currency,sector,industry,asset_type,is_active,market_cap,price,avg_volume_30d,avg_volume_90d,data_source,last_updated,isin,figi,cusip,ipo_date,shares_outstanding,free_float,primary_listing,adr_flag,otc_flag,etf_flag,fund_flag,preferred_flag,warrant_flag,spac_flag,duplicate_group,dollar_volume_90d,universe_validation_status,universe_validation_date
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,1716209664.0,5.62,5900442.0,5900442.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,33160484.04,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,311193504.0,5.46,1228557.0,1228557.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,6707921.22,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,USA,North America,USD,Consumer Cyclical,Specialty Retail,common_stock,True,52847216.0,1.07,404217.0,404217.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,432512.19,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,USA,North America,USD,Consumer Cyclical,Travel Services,common_stock,True,79256641536.0,133.54,3691225.0,3691225.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,492926186.5,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,155289312.0,2.15,536973.0,536973.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,1154491.95,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ABSI,Absci Corporation - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,997792384.0,6.4,4715282.0,4715282.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,30177804.8,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,USA,North America,USD,Financial Services,Capital Markets,common_stock,True,1549470080.0,0.8631,14437155.0,14437155.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,12460708.4805,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,USA,North America,USD,Financial Services,Capital Markets,common_stock,True,5893279.0,1.99,2405588.0,2405588.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,4787120.12,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,839535296.0,4.25,1936204.0,1936204.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,8228867.0,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,34580588.0,1.33,103998.0,103998.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,138317.34,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ABVX,Abivax SA - American Depositary Shares,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,8091386368.0,101.53,1449963.0,1449963.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,147214743.39000002,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,3691845376.0,21.56,1765846.0,1765846.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,38071639.76,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ,USA,North America,USD,Healthcare,Drug Manufacturers - Specialty & Generic,common_stock,True,199847936.0,3.38,918669.0,918669.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,3105101.2199999997,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,USA,North America,USD,Industrials,Consulting Services,common_stock,True,21622344.0,1.55,76634.0,76634.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,118782.7,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,USA,North America,USD,Energy,Oil & Gas Equipment & Services,common_stock,True,1253780736.0,6.93,1506595.0,1506595.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,10440703.35,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,67868192.0,7.26,123650.0,123650.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,897699.0,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Scientific & Technical Instruments,common_stock,True,39981632.0,15.94,17369.0,17369.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,276861.86,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,USA,North America,USD,Financial Services,Insurance - Diversified,common_stock,True,31860838400.0,91.19,2203426.0,2203426.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,200930416.94,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Medical Care Facilities,common_stock,True,2251352832.0,24.48,2957084.0,2957084.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,72389416.32000001,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,526640960.0,5.13,1304866.0,1304866.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,6693962.58,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,USA,North America,USD,Financial Services,Insurance - Property & Casualty,common_stock,True,498210400.0,10.28,217355.0,217355.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,2234409.4,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACIU,AC Immune SA - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,228990544.0,2.25,264160.0,264160.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,594360.0,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Software - Infrastructure,common_stock,True,4351115264.0,42.8,747700.0,747700.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,32001559.999999996,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Semiconductor Equipment & Materials,common_stock,True,4522800128.0,147.16,683120.0,683120.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,100527939.2,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,USA,North America,USD,Technology,Semiconductor Equipment & Materials,common_stock,True,5272363008.0,76.29,1369280.0,1369280.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,104462371.2,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACNB,ACNB Corporation - Common Stock,NASDAQ,USA,North America,USD,Financial Services,Banks - Regional,common_stock,True,560436992.0,54.88,62722.0,62722.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,3442183.3600000003,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACNT,Ascent Industries Co. - Common Stock,NASDAQ,USA,North America,USD,Basic Materials,Chemicals,common_stock,True,122467816.0,13.55,111365.0,111365.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,1508995.75,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,126725288.0,5.82,48742.0,48742.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,283678.44,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACON,"Aclarion, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Health Information Services,common_stock,True,8790232.0,3.57,99036.0,99036.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,353558.51999999996,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,608933632.0,4.36,1762419.0,1762419.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,7684146.840000001,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,61206468.0,1.43,654247.0,654247.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,935573.21,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,USA,North America,USD,Financial Services,Insurance - Specialty,common_stock,True,5833915392.0,41.79,313950.0,313950.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,13119970.5,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACTG,Acacia Research Corporation - Common Stock,NASDAQ,USA,North America,USD,Industrials,Business Equipment & Supplies,common_stock,True,446241792.0,4.62,319533.0,319533.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,1476242.46,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,44980600.0,1.88,143823.0,143823.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,270387.24,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,7220199.0,1.68,3101342.0,3101342.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,5210254.56,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,NASDAQ,USA,North America,USD,Financial Services,Shell Companies,common_stock,True,287500000.0,10.0,9198.0,9198.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,91980.0,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,219361008.0,3.32,252458.0,252458.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,838160.5599999999,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,USA,North America,USD,Real Estate,REIT - Mortgage,common_stock,True,806952704.0,8.98,766512.0,766512.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,6883277.760000001,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ADBE,Adobe Inc. - Common Stock,NASDAQ,USA,North America,USD,Technology,Software - Application,common_stock,True,101632049152.0,251.44,5571100.0,5571100.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,1400797384.0,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ADEA,Adeia Inc.  - Common Stock,NASDAQ,USA,North America,USD,Technology,Software - Application,common_stock,True,3196312832.0,28.98,1697325.0,1697325.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,49188478.5,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Medical Devices,common_stock,True,16102584.0,0.725,134134.0,134134.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,97247.15,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Semiconductors,common_stock,True,195511877632.0,401.39,3937093.0,3937093.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,1580309759.27,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,4737402.0,2.21,125063.0,125063.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,276389.23,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,1847228544.0,7.97,6990904.0,6990904.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,55717504.879999995,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Software - Application,common_stock,True,92718366720.0,231.95,3341206.0,3341206.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,774992731.6999999,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Diagnostics & Research,common_stock,True,2704750080.0,16.9,1933823.0,1933823.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,32681608.699999996,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAQ,USA,North America,USD,Industrials,Electrical Equipment & Parts,common_stock,True,852023232.0,11.36,7007.0,7007.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,79599.51999999999,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ADSK,"Autodesk, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Software - Application,common_stock,True,48554962944.0,229.96,2084849.0,2084849.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,479431876.04,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Communication Equipment,common_stock,True,1243320832.0,15.35,2496573.0,2496573.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,38322395.55,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ADTX,"Aditxt, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,50668.0,0.0621,3287349.0,3287349.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,204144.37290000002,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ADUR,Aduro Clean Technologies Inc. - Common Stock,NASDAQ,USA,North America,USD,Industrials,Pollution & Treatment Controls,common_stock,True,472856832.0,14.02,336734.0,336734.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,4721010.68,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Medical Care Facilities,common_stock,True,1719025792.0,92.1,247895.0,247895.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,22831129.5,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ADV,Advantage Solutions Inc.  - Class A Common Stock,NASDAQ,USA,North America,USD,Communication Services,Advertising Agencies,common_stock,True,515192096.0,38.75,82821.0,82821.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,3209313.75,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ADVB,Advanced Biomed Inc. - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Diagnostics & Research,common_stock,True,6889394.0,4.17,456039.0,456039.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,1901682.63,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ADXN,Addex Therapeutics Ltd - American Depositary Shares,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,7417846.0,5.86,3795.0,3795.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,22238.7,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AEBI,Aebi Schmidt Holding AG - Common Stock,NASDAQ,USA,North America,USD,Industrials,Farm & Heavy Construction Machinery,common_stock,True,892095552.0,11.51,344066.0,344066.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,3960199.66,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AEC,Anfield Energy Inc. - Common Shares,NASDAQ,USA,North America,USD,Energy,Uranium,common_stock,True,76376896.0,4.2,51868.0,51868.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,217845.6,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,NASDAQ,USA,North America,USD,Industrials,Building Products & Equipment,common_stock,True,18515492.0,1.02,9184290.0,9184290.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,9367975.8,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AEHR,Aehr Test Systems - Common Stock,NASDAQ,USA,North America,USD,Technology,Semiconductor Equipment & Materials,common_stock,True,3096572672.0,98.45,2939947.0,2939947.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,289437782.15000004,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AEI,Alset Inc. - Common Stock,NASDAQ,USA,North America,USD,Real Estate,Real Estate - Development,common_stock,True,52898332.0,1.36,15161.0,15161.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,20618.960000000003,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AEIS,"Advanced Energy Industries, Inc. - Common Stock",NASDAQ,USA,North America,USD,Industrials,Electrical Equipment & Parts,common_stock,True,11795540992.0,294.81,782965.0,782965.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,230825911.65,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AEMD,"Aethlon Medical, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Medical Devices,common_stock,True,4478732.0,1.91,545396.0,545396.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,1041706.36,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AENT,Alliance Entertainment Holding Corporation - common stock,NASDAQ,USA,North America,USD,Communication Services,Entertainment,common_stock,True,283928704.0,5.57,26877.0,26877.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,149704.89,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AEP,"American Electric Power Company, Inc. - Common Stock",NASDAQ,USA,North America,USD,Utilities,Utilities - Regulated Electric,common_stock,True,70265724928.0,129.14,3806220.0,3806220.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,491535250.79999995,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",NASDAQ,USA,North America,USD,Industrials,Consulting Services,common_stock,True,39284084.0,0.7824,350325.0,350325.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,274094.27999999997,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AEVA,"Aeva Technologies, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Software - Infrastructure,common_stock,True,1553985024.0,23.01,1888300.0,1888300.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,43449783.0,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AEYE,"AudioEye, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Software - Application,common_stock,True,83580944.0,6.69,189311.0,189311.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,1266490.59,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AFBI,"Affinity Bancshares, Inc. - Common Stock",NASDAQ,USA,North America,USD,Financial Services,Banks - Regional,common_stock,True,137141008.0,22.501,18547.0,18547.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,417326.047,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AFCG,Advanced Flower Capital Inc. - Common Stock,NASDAQ,USA,North America,USD,Financial Services,Asset Management,common_stock,True,82115664.0,3.49,279058.0,279058.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,973912.42,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",NASDAQ,USA,North America,USD,Financial Services,Shell Companies,common_stock,True,127919816.0,40.4,17639.0,17639.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,712615.6,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AFRI,Forafric Global PLC - Ordinary Shares,NASDAQ,USA,North America,USD,Consumer Defensive,Farm Products,common_stock,True,263706112.0,9.78,12893.0,12893.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,126093.54,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ,USA,North America,USD,Financial Services,Credit Services,common_stock,True,21302896640.0,63.61,5304323.0,5304323.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,337407986.03,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AFYA,Afya Limited - Class A Common Shares,NASDAQ,USA,North America,USD,Consumer Defensive,Education & Training Services,common_stock,True,1320575872.0,14.44,95315.0,95315.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,1376348.5999999999,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,NASDAQ,USA,North America,USD,Consumer Defensive,Beverages - Wineries & Distilleries,common_stock,True,343392544.0,15.07,152784.0,152784.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,2302454.88,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AGEN,Agenus Inc. - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,134505056.0,3.23,837461.0,837461.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,2704999.03,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,1682451840.0,28.29,1049271.0,1049271.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,29683876.59,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,488539936.0,9.92,135366.0,135366.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,1342830.72,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
