asset_id,ticker,company_name,country,eligibility_status,confidence,coverage_weight,total_score,rank,review_reasons,phase
U00043,ACON,"Aclarion, Inc. - Common Stock",USA,REVIEW_REQUIRED,NOT_RANKABLE,0.9,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00044,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",USA,REVIEW_REQUIRED,NOT_RANKABLE,0.9,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00045,ACRV,"Acrivon Therapeutics, Inc. - Common Stock",USA,PARTIAL_COMPARABILITY,LOW,0.64,48.87782386,,,v2.38BV-global-research-ranking
U00046,ACT,"Enact Holdings, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.8,74.62612453,10,,v2.38BV-global-research-ranking
U00047,ACTG,Acacia Research Corporation - Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,0.9,67.86151993,47,,v2.38BV-global-research-ranking
U00048,ACTU,"Actuate Therapeutics, Inc. - Common stock",USA,PARTIAL_COMPARABILITY,LOW,0.64,16.57842826,,,v2.38BV-global-research-ranking
U00049,ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",USA,PARTIAL_COMPARABILITY,LOW,0.64,25.09343144,,,v2.38BV-global-research-ranking
U00051,ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",USA,ELIGIBLE_PARTIAL,HIGH,0.9,44.96920998,208,,v2.38BV-global-research-ranking
U00053,ADBE,Adobe Inc. - Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,1.0,69.45319984,37,,v2.38BV-global-research-ranking
U00054,ADEA,Adeia Inc. - Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,1.0,71.68480813,25,,v2.38BV-global-research-ranking
U00055,ADGM,"Adagio Medical Holdings, Inc - Common Stock",USA,ELIGIBLE_PARTIAL,MEDIUM,0.74,19.86563359,314,,v2.38BV-global-research-ranking
U00056,ADI,"Analog Devices, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,1.0,66.66041284,54,,v2.38BV-global-research-ranking
U00057,ADIL,"Adial Pharmaceuticals, Inc - Common Stock",USA,PARTIAL_COMPARABILITY,LOW,0.64,41.21988361,,,v2.38BV-global-research-ranking
U00058,ADMA,ADMA Biologics Inc - Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,1.0,62.4895729,81,,v2.38BV-global-research-ranking
U00059,ADP,"Automatic Data Processing, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,64.33719565,67,,v2.38BV-global-research-ranking
U00060,ADPT,Adaptive Biotechnologies Corporation - Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,0.9,52.03200202,159,,v2.38BV-global-research-ranking
U00062,ADSK,"Autodesk, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,1.0,61.60771035,87,,v2.38BV-global-research-ranking
U00063,ADTN,"ADTRAN Holdings, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,38.20309263,245,,v2.38BV-global-research-ranking
U00065,ADUS,Addus HomeCare Corporation - Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,1.0,68.8978468,40,,v2.38BV-global-research-ranking
U00066,ADV,Advantage Solutions Inc. - Class A Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,0.8,33.43702138,269,,v2.38BV-global-research-ranking
U00067,ADVB,Advanced Biomed Inc. - Common Stock,USA,PARTIAL_COMPARABILITY,LOW,0.64,41.05162676,,,v2.38BV-global-research-ranking
U00069,AEBI,Aebi Schmidt Holding AG - Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,0.8,53.25667437,153,,v2.38BV-global-research-ranking
U00072,AEHR,Aehr Test Systems - Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,0.9,39.23055984,238,,v2.38BV-global-research-ranking
U00073,AEI,Alset Inc. - Common Stock,USA,REVIEW_REQUIRED,NOT_RANKABLE,0.9,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00074,AEIS,"Advanced Energy Industries, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,MEDIUM,0.7,55.79542509,124,,v2.38BV-global-research-ranking
U00075,AEMD,"Aethlon Medical, Inc. - Common Stock",USA,PARTIAL_COMPARABILITY,LOW,0.64,24.41748558,,,v2.38BV-global-research-ranking
U00076,AENT,Alliance Entertainment Holding Corporation - common stock,USA,ELIGIBLE_PARTIAL,HIGH,1.0,53.45856094,148,,v2.38BV-global-research-ranking
U00077,AEP,"American Electric Power Company, Inc. - Common Stock",USA,PARTIAL_COMPARABILITY,LOW,0.6,68.69453471,,,v2.38BV-global-research-ranking
U00078,AERT,"Aeries Technology, Inc. - Class A Ordinary Share",USA,ELIGIBLE_PARTIAL,HIGH,0.84,50.5938716,171,,v2.38BV-global-research-ranking
U00080,AEVA,"Aeva Technologies, Inc. - Common Stock",USA,REVIEW_REQUIRED,NOT_RANKABLE,0.9,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00081,AEYE,"AudioEye, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,35.76604104,257,,v2.38BV-global-research-ranking
U00083,AFCG,Advanced Flower Capital Inc. - Common Stock,USA,PARTIAL_COMPARABILITY,LOW,0.6,50.58684386,,,v2.38BV-global-research-ranking
U00084,AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",USA,PARTIAL_COMPARABILITY,LOW,0.58,23.31810213,,,v2.38BV-global-research-ranking
U00085,AFRI,Forafric Global PLC - Ordinary Shares,USA,ELIGIBLE_PARTIAL,HIGH,0.8,39.4654487,235,,v2.38BV-global-research-ranking
U00086,AFRM,"Affirm Holdings, Inc. - Class A Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,79.06207556,3,,v2.38BV-global-research-ranking
U00088,AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,USA,PARTIAL_COMPARABILITY,LOW,0.54,57.25548338,,,v2.38BV-global-research-ranking
U00089,AGEN,Agenus Inc. - Common Stock,USA,ELIGIBLE_PARTIAL,MEDIUM,0.7,52.94877889,154,,v2.38BV-global-research-ranking
U00090,AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",USA,REVIEW_REQUIRED,NOT_RANKABLE,1.0,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00092,AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,USA,ELIGIBLE_PARTIAL,HIGH,0.9,32.31537197,275,,v2.38BV-global-research-ranking
U00093,AGNC,AGNC Investment Corp. - Common Stock,USA,ELIGIBLE_PARTIAL,MEDIUM,0.74,73.0507768,20,,v2.38BV-global-research-ranking
U00094,AGNT,"AGNT, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,37.18395177,252,,v2.38BV-global-research-ranking
U00095,AGPU,Axe Compute Inc. - Common Stock,USA,PARTIAL_COMPARABILITY,LOW,0.64,38.85273501,,,v2.38BV-global-research-ranking
U00097,AGYS,"Agilysys, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,1.0,66.00205954,61,,v2.38BV-global-research-ranking
U00098,AHCO,AdaptHealth Corp. - Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,1.0,36.68853868,254,,v2.38BV-global-research-ranking
U00099,AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,USA,PARTIAL_COMPARABILITY,LOW,0.54,55.12422305,,,v2.38BV-global-research-ranking
U00102,AIDX,"20/20 Biolabs, Inc. - Common Stock",USA,PARTIAL_COMPARABILITY,LOW,0.54,11.07152025,,,v2.38BV-global-research-ranking
U00103,AIFA,"All In FutureTech Alliance, Inc. - Common Stock",USA,PARTIAL_COMPARABILITY,LOW,0.64,36.04271788,,,v2.38BV-global-research-ranking
U00104,AIFC,AI Financial Corporation - Common Stock,USA,REVIEW_REQUIRED,NOT_RANKABLE,0.9,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00105,AIFF,"Firefly Neuroscience, Inc. - Common Stock",USA,REVIEW_REQUIRED,NOT_RANKABLE,0.9,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00106,AIFU,AIFU Inc. - Class A Ordinary Share,USA,REVIEW_REQUIRED,NOT_RANKABLE,0.8,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00107,AIHS,Senmiao Technology Limited - Common Stock,USA,REVIEW_REQUIRED,NOT_RANKABLE,0.84,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00108,AIIO,Robo.ai Inc. - Class B Ordinary Shares,USA,REVIEW_REQUIRED,NOT_RANKABLE,0.74,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00110,AIMD,"Ainos, Inc. - Common Stock",USA,REVIEW_REQUIRED,NOT_RANKABLE,0.9,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00111,AIOS,AIOS Tech Inc. - Class A Common Shares,USA,REVIEW_REQUIRED,NOT_RANKABLE,0.9,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00112,AIOT,"PowerFleet, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,47.94984478,187,,v2.38BV-global-research-ranking
U00113,AIP,"Arteris, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.84,39.14194783,240,,v2.38BV-global-research-ranking
U00114,AIRE,reAlpha Tech Corp. - Common Stock,USA,REVIEW_REQUIRED,NOT_RANKABLE,0.9,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00115,AIRG,"Airgain, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,38.41644169,243,,v2.38BV-global-research-ranking
U00116,AIRJ,AirJoule Technologies Corporation - Class A Common Stock,USA,PARTIAL_COMPARABILITY,LOW,0.54,37.7709965,,,v2.38BV-global-research-ranking
U00117,AIRO,"AIRO Group Holdings, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.8,39.2640735,237,,v2.38BV-global-research-ranking
U00118,AIRS,"AirSculpt Technologies, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,31.20023953,282,,v2.38BV-global-research-ranking
U00119,AIRT,"Air T, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,77.5363876,6,,v2.38BV-global-research-ranking
U00120,AISP,"Airship AI Holdings, Inc - Class A Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.84,41.40342676,227,,v2.38BV-global-research-ranking
U00121,AIXC,"AIxCrypto Holdings, Inc. - Common Stock",USA,PARTIAL_COMPARABILITY,LOW,0.64,24.87540682,,,v2.38BV-global-research-ranking
U00122,AKAM,"Akamai Technologies, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,MEDIUM,0.74,53.35180789,149,,v2.38BV-global-research-ranking
U00124,AKBA,"Akebia Therapeutics, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,42.9551252,221,,v2.38BV-global-research-ranking
U00126,ALAB,"Astera Labs, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,66.03771134,59,,v2.38BV-global-research-ranking
U00128,ALCO,"Alico, Inc. - Common Stock",USA,REVIEW_REQUIRED,NOT_RANKABLE,1.0,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00129,ALDF,Aldel Financial II Inc. - Class A Ordinary Shares,USA,PARTIAL_COMPARABILITY,LOW,0.54,74.66379025,,,v2.38BV-global-research-ranking
U00130,ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",USA,PARTIAL_COMPARABILITY,LOW,0.64,23.56279011,,,v2.38BV-global-research-ranking
U00131,ALEC,"Alector, Inc. - Common Stock",USA,REVIEW_REQUIRED,NOT_RANKABLE,0.9,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00133,ALGM,"Allegro MicroSystems, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,46.71741939,197,,v2.38BV-global-research-ranking
U00134,ALGN,"Align Technology, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,1.0,56.84174277,119,,v2.38BV-global-research-ranking
U00135,ALGS,"Aligos Therapeutics, Inc. - Common stock",USA,REVIEW_REQUIRED,NOT_RANKABLE,0.9,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00136,ALGT,Allegiant Travel Company - Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,0.8,42.84057288,222,,v2.38BV-global-research-ranking
U00137,ALHC,"Alignment Healthcare, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,45.12804657,206,,v2.38BV-global-research-ranking
U00139,ALKS,Alkermes plc - Ordinary Shares,USA,ELIGIBLE_PARTIAL,HIGH,1.0,62.44689701,82,,v2.38BV-global-research-ranking
U00140,ALKT,"Alkami Technology, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,47.32627866,193,,v2.38BV-global-research-ranking
U00141,ALLO,"Allogene Therapeutics, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,MEDIUM,0.74,35.29236302,263,,v2.38BV-global-research-ranking
U00142,ALLR,"Allarity Therapeutics, Inc. - Common stock",USA,PARTIAL_COMPARABILITY,LOW,0.64,37.5894708,,,v2.38BV-global-research-ranking
U00143,ALLT,Allot Ltd. - Ordinary Shares,USA,ELIGIBLE_PARTIAL,HIGH,0.9,51.93040193,161,,v2.38BV-global-research-ranking
U00146,ALMS,Alumis Inc. - Common Stock,USA,REVIEW_REQUIRED,NOT_RANKABLE,0.7,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00147,ALMU,"Aeluma, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,33.09779558,271,,v2.38BV-global-research-ranking
U00148,ALNT,Allient Inc. - Common Stock,USA,ELIGIBLE_PARTIAL,MEDIUM,0.7,60.12189455,100,,v2.38BV-global-research-ranking
U00149,ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,55.68223126,127,,v2.38BV-global-research-ranking
U00150,ALOT,"AstroNova, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.8,54.34027785,138,,v2.38BV-global-research-ranking
U00151,ALOV,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Class A Ordinary Shares",USA,BLOCKED,NOT_RANKABLE,0.13,,,,v2.38BV-global-research-ranking
U00152,ALOY,REalloys Inc. - Common Stock,USA,PARTIAL_COMPARABILITY,LOW,0.64,28.01897442,,,v2.38BV-global-research-ranking
U00153,ALP,Alpha Compute Corp - Common Stock,USA,PARTIAL_COMPARABILITY,LOW,0.56,38.03354503,,,v2.38BV-global-research-ranking
U00155,ALRM,"Alarm.com Holdings, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,MEDIUM,0.7,63.82617369,75,,v2.38BV-global-research-ranking
U00156,ALRS,Alerus Financial Corporation - Common Stock,USA,ELIGIBLE_PARTIAL,MEDIUM,0.74,65.40831199,63,,v2.38BV-global-research-ranking
U00157,ALT,"Altimmune, Inc. - Common Stock",USA,REVIEW_REQUIRED,NOT_RANKABLE,0.9,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00158,ALTI,"AlTi Global, Inc. - Class A Common Stock",USA,ELIGIBLE_PARTIAL,MEDIUM,0.7,44.68473848,212,,v2.38BV-global-research-ranking
U00159,ALTO,"Alto Ingredients, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,54.04906153,140,,v2.38BV-global-research-ranking
U00161,ALXO,ALX Oncology Holdings Inc. - Common Stock,USA,PARTIAL_COMPARABILITY,LOW,0.64,36.85002893,,,v2.38BV-global-research-ranking
U00162,ALZN,"Alzamend Neuro, Inc. - Common Stock",USA,PARTIAL_COMPARABILITY,LOW,0.64,27.42116912,,,v2.38BV-global-research-ranking
U00163,AMAL,Amalgamated Financial Corp. - Common Stock,USA,ELIGIBLE_PARTIAL,MEDIUM,0.74,68.38458257,43,,v2.38BV-global-research-ranking
U00165,AMAT,"Applied Materials, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,1.0,63.61159231,77,,v2.38BV-global-research-ranking
U00166,AMBA,"Ambarella, Inc. - Ordinary Shares",USA,ELIGIBLE_PARTIAL,HIGH,0.9,43.3408803,220,,v2.38BV-global-research-ranking
U00167,AMCI,AMC Robotics Corporation - Common Stock,USA,REVIEW_REQUIRED,NOT_RANKABLE,0.9,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00168,AMCX,AMC Global Media Inc. - Class A Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,0.8,64.24750486,72,,v2.38BV-global-research-ranking
U00169,AMD,"Advanced Micro Devices, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,1.0,67.07922496,50,,v2.38BV-global-research-ranking
U00170,AMGN,Amgen Inc. - Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,1.0,73.62637923,16,,v2.38BV-global-research-ranking
U00171,AMIX,"Autonomix Medical, Inc. - Common Stock",USA,PARTIAL_COMPARABILITY,LOW,0.64,40.09549341,,,v2.38BV-global-research-ranking
U00172,AMKR,"Amkor Technology, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,1.0,53.98163772,143,,v2.38BV-global-research-ranking
U00173,AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,MEDIUM,0.74,45.01659776,207,,v2.38BV-global-research-ranking
U00174,AMOD,"Alpha Modus Holdings, Inc. - Class A Common Stock",USA,REVIEW_REQUIRED,NOT_RANKABLE,0.84,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00175,AMPG,"Amplitech Group, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,41.08901076,230,,v2.38BV-global-research-ranking
U00176,AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,1.0,60.69427444,98,,v2.38BV-global-research-ranking
U00177,AMPL,"Amplitude, Inc. - Class A Common Stock",USA,ELIGIBLE_PARTIAL,MEDIUM,0.7,54.44409829,135,,v2.38BV-global-research-ranking
U00178,AMRX,"Amneal Pharmaceuticals, Inc. - Class A Common Stock",USA,ELIGIBLE_PARTIAL,MEDIUM,0.74,68.83832276,41,,v2.38BV-global-research-ranking
U00179,AMSC,American Superconductor Corporation - Common Stock,USA,ELIGIBLE_PARTIAL,MEDIUM,0.74,61.98658551,84,,v2.38BV-global-research-ranking
U00180,AMSF,"AMERISAFE, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,54.39750822,137,,v2.38BV-global-research-ranking
U00182,AMST,Amesite Inc. - Common Stock,USA,REVIEW_REQUIRED,NOT_RANKABLE,0.9,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00183,AMTX,"Aemetis, Inc - Common Stock",USA,PARTIAL_COMPARABILITY,LOW,0.58,27.66204075,,,v2.38BV-global-research-ranking
U00184,AMZN,"Amazon.com, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,1.0,66.27660361,56,,v2.38BV-global-research-ranking
U00185,ANAB,"AnaptysBio, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,58.29144677,110,,v2.38BV-global-research-ranking
U00186,ANDE,"The Andersons, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,MEDIUM,0.7,48.66109311,181,,v2.38BV-global-research-ranking
U00188,ANGI,Angi Inc. - Class A Common Stock,USA,PARTIAL_COMPARABILITY,LOW,0.6,38.47267257,,,v2.38BV-global-research-ranking
U00189,ANGO,"AngioDynamics, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,51.86717189,162,,v2.38BV-global-research-ranking
U00190,ANIK,Anika Therapeutics Inc. - Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,0.9,51.74182178,163,,v2.38BV-global-research-ranking
U00191,ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,64.29577605,70,,v2.38BV-global-research-ranking
U00192,ANIX,"Anixa Biosciences, Inc. - Common Stock",USA,PARTIAL_COMPARABILITY,LOW,0.64,37.92315774,,,v2.38BV-global-research-ranking
U00193,ANNA,"AleAnna, Inc. - Class A Common Stock",USA,PARTIAL_COMPARABILITY,LOW,0.6,53.77351091,,,v2.38BV-global-research-ranking
U00194,ANNX,"Annexon, Inc. - common stock",USA,PARTIAL_COMPARABILITY,LOW,0.64,38.37404919,,,v2.38BV-global-research-ranking
U00195,ANPA,Rich Sparkle Holdings Limited - Ordinary Shares,USA,ELIGIBLE_PARTIAL,HIGH,0.8,29.9950707,285,,v2.38BV-global-research-ranking
U00197,ANTA,Antalpha Platform Holding Company - Class A Ordinary Shares,USA,ELIGIBLE_PARTIAL,HIGH,0.8,57.10253417,117,,v2.38BV-global-research-ranking
U00198,ANTX,"AN2 Therapeutics, Inc. - Common Stock",USA,PARTIAL_COMPARABILITY,LOW,0.64,49.98491052,,,v2.38BV-global-research-ranking
U00199,ANY,Sphere 3D Corp. - Common Shares,USA,ELIGIBLE_PARTIAL,HIGH,0.9,24.80208297,302,,v2.38BV-global-research-ranking
U00200,AOSL,Alpha and Omega Semiconductor Limited - Common Shares,USA,ELIGIBLE_PARTIAL,HIGH,0.9,38.91323345,241,,v2.38BV-global-research-ranking
U00201,AOUT,"American Outdoor Brands, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,44.92425193,209,,v2.38BV-global-research-ranking
U00202,APA,APA Corporation - Common Stock,USA,PARTIAL_COMPARABILITY,LOW,0.64,77.32656569,,,v2.38BV-global-research-ranking
U00205,APEI,"American Public Education, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,1.0,61.40438893,93,,v2.38BV-global-research-ranking
U00206,APGE,"Apogee Therapeutics, Inc. - Common Stock",USA,BLOCKED,NOT_RANKABLE,0.48,,,,v2.38BV-global-research-ranking
U00207,API,"Agora, Inc. - ADS",USA,ELIGIBLE_PARTIAL,HIGH,0.9,49.67289876,176,,v2.38BV-global-research-ranking
U00208,APLD,Applied Digital Corporation - Common Stock,USA,ELIGIBLE_PARTIAL,MEDIUM,0.7,45.56668543,204,,v2.38BV-global-research-ranking
