pilot_id,row_number,ticker,company_name,exchange,country,source_provider,instrument_type,type_bucket_v2_33a,provider_symbol_status,provider_symbol,eligibility_preflight_status,eligibility_preflight_reasons,price_collection_status,provider_symbol_reason
P194,891,DUOL,"Duolingo, Inc. - Class A Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,DUOL.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P195,986,ESLA,"Estrella Immunopharma, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,ESLA.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P196,1084,FIVN,"Five9, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,FIVN.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P197,1181,GASS,"StealthGas, Inc. - common stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,GASS.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P198,1280,GSIW,Garden Stage Limited - Class A Ordinary Shares,NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,GSIW.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P199,1380,HSTM,"HealthStream, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,HSTM.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P200,1479,INGN,"Inogen, Inc - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,INGN.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P201,1576,JTAI,Jet.AI Inc. - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,JTAI.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P202,1676,LCNB,LCNB Corporation - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,LCNB.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P203,1773,LULU,lululemon athletica inc. - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,LULU.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P204,1873,MIST,Milestone Pharmaceuticals Inc. - Common Shares,NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,MIST.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P205,1969,NAMS,NewAmsterdam Pharma Company N.V. - Ordinary Shares,NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,NAMS.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P206,2065,NTRA,"Natera, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,NTRA.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P207,2167,OPK,"Opko Health, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,OPK.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P208,2268,PGC,Peapack-Gladstone Financial Corporation - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,ADR,depositary_receipt_candidate,resolved_deterministic,PGC.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P209,2364,PSNL,"Personalis, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,PSNL.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P210,2465,REKR,"Rekor Systems, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,REKR.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P211,2563,SAIA,"Saia, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,SAIA.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P212,2659,SKK,SKK Holdings Limited - Class A Ordinary Shares,NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,SKK.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P213,2758,SSRM,SSR Mining Inc. - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,SSRM.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P214,2864,TH,Target Hospitality Corp. - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,TH.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P215,2958,TWLV,Twelve Seas Investment Company III - Class A Ordinary Shares,NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,TWLV.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P216,3050,VKTX,"Viking Therapeutics, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,VKTX.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P217,3148,WSE,Wise Group plc - Class A Ordinary Shares,NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,WSE.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P218,3245,ZYME,Zymeworks Inc. - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,ZYME.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P219,3665,CBOE,"Cboe Global Markets, Inc. Common Stock",Cboe BZX,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,CBOE.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P220,3362,AMRZ,Amrize Ltd Ordinary Shares,NYSE,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,AMRZ.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P221,3481,BBAI,"BigBear.ai, Inc. Common Stock",NYSE,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,BBAI.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P222,3611,BTE,Baytex Energy Corp Common Shares,NYSE,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,BTE.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P223,3742,CNC,Centene Corporation Common Stock,NYSE,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,CNC.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P224,3853,DCH,Dauch Corporation Common Stock,NYSE,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,DCH.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P225,3984,EMR,Emerson Electric Company Common Stock,NYSE,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,EMR.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P226,4128,FSK,FS KKR Capital Corp. Common Stock,NYSE,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,FSK.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P227,4271,HAYW,"Hayward Holdings, Inc. Common Stock",NYSE,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,HAYW.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P228,4406,IT,"Gartner, Inc. Common Stock",NYSE,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,IT.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P229,4536,LII,"Lennox International, Inc. Common Stock",NYSE,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,LII.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P230,4657,MOG.B,Moog Inc. Class B Common Stock,NYSE,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,MOG-B.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P231,4820,NTZ,"Natuzzi, S.p.A.",NYSE,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,NTZ.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P232,4950,PEN,"Penumbra, Inc. Common Stock",NYSE,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,PEN.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P233,5088,RH,RH Common Stock,NYSE,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,RH.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P234,5221,SLVM,Sylvamo Corporation Common Stock,NYSE,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,SLVM.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P235,5333,TECK,Teck Resources Ltd Ordinary Shares,NYSE,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,TECK.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P236,5454,UI,Ubiquiti Inc. Common Stock,NYSE,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,UI.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P237,5585,WOLF,"Wolfspeed, Inc. Common Stock New",NYSE,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,WOLF.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P238,3732,CMCL,Caledonia Mining Corporation Plc Common Shares,NYSE American,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,CMCL.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P239,4719,MYO,Myomo Inc. Common Stock,NYSE American,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,MYO.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P240,5645,ZONE,CleanCore Solutions Inc. Class B Common Stock,NYSE American,USA,nasdaq_trader_otherlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,ZONE.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
