asset_id,ticker,resolved_company_name,isin,home_country,gleif_lookup_status,gleif_lookup_reason,lei,legal_name,registration_authority_id,registration_authority_name,national_registration_number,entity_status,phase,created_at_utc
U36876,SLL,SBO AG,AT0000946652,AT,resolved,exact_isin_match_single_lei_record,549300ZD9ED8GSG3JW36,SBO AG,RA000017,,102999w,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36877,KTN,KONTRON AG,AT0000A0E9W5,AT,resolved,exact_isin_match_single_lei_record,5299002PSXXMVHB26433,Kontron AG,RA000017,,190272m,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36878,WAH,WOLFTANK GROUP AG,AT0000A25NJ6,AT,resolved,exact_isin_match_single_lei_record,5299001G2MZ6VQ2K4Z89,Wolftank Group AG,RA000017,,306731a,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36879,GEPH,EPH GROUP AG IA,AT0000A34DM3,AT,resolved,exact_isin_match_single_lei_record,894500SN5GTABFSFWS54,EPH Group AG,RA000017,,603735x,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36880,4X0,STEYR MOTORS AG,AT0000A3FW25,AT,resolved,exact_isin_match_single_lei_record,529900I7M6Z1HG0L8440,Steyr Motors AG,RA000017,,583243k,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36881,O3P,OESTERREICH. POST AG,AT0000APOST4,AT,resolved,exact_isin_match_single_lei_record,529900MVUWACNUTK8467,Österreichische Post Aktiengesellschaft,RA000017,,180219d,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36882,0B2,BAWAG GROUP AG,AT0000BAWAG2,AT,resolved,exact_isin_match_single_lei_record,529900S9YO2JHTIIDG38,BAWAG Group AG,RA000017,,269842b,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36883,1AST,ASTA ENERGY SOLUTIONS AG,AT100ASTA001,AT,resolved,exact_isin_match_single_lei_record,529900H9GYEOPOXFNN04,ASTA Energy Solutions AG,RA000017,,271337a,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36884,FQT,FREQUENTIS AG,ATFREQUENT09,AT,resolved,exact_isin_match_single_lei_record,529900N7I4DSM16GF659,FREQUENTIS AG,RA000017,,72115b,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36886,KDB,KBC GROEP N.V.,BE0003565737,BE,resolved,exact_isin_match_single_lei_record,213800X3Q9LSAKRUWY91,KBC GROEP,RA000025,,0403.227.515,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36887,UNC,UCB S.A.,BE0003739530,BE,resolved,exact_isin_match_single_lei_record,2138008J191VLSGY5A09,U C B,RA000025,,0403.053.608,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36888,GXE,LAKEFRONT BIOTHERAPEUTICS,BE0003818359,BE,resolved,exact_isin_match_single_lei_record,549300QKJ78IY0IOV655,Lakefront Biotherapeutics NV,RA000025,,0466.460.429,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36889,FO4N,AGEAS SA/NV,BE0974264930,BE,resolved,exact_isin_match_single_lei_record,5493005DJBML6LY3RV36,ageas SA/NV,RA000025,,0451406524,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36890,1NBA,ANHEUSER-BUSCH INBEV,BE0974293251,BE,resolved,exact_isin_match_single_lei_record,5493008H3828EMEXB082,ANHEUSER-BUSCH INBEV,RA000025,,0417.497.106,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36891,NVJP,UMICORE S.A.,BE0974320526,BE,resolved,exact_isin_match_single_lei_record,529900F3AIQECS8ZSV61,UMICORE,RA000025,,0401.574.852,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36902,HLG,HIGHLIGHT CMNCTS,CH0006539198,CH,resolved,exact_isin_match_single_lei_record,39120070M14NLE1CDR38,Highlight Communications AG,RA000548,,CHE100774645,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36903,ZFIN,ZURICH INSUR.GR.,CH0011075394,CH,resolved,exact_isin_match_single_lei_record,529900QVNRBND50TXP03,Zurich Insurance Group AG,RA000548,,CHE101236480,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36904,NOT,NOVARTIS,CH0012005267,CH,resolved,exact_isin_match_single_lei_record,5493007HIVTX6SY6XD66,NOVARTIS AG,RA000548,,CHE-103.867.266,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36905,RHO,ROCHE HLDG AG,CH0012032113,CH,resolved,exact_isin_match_single_lei_record,549300U41AUUVOAAOB37,Roche Holding AG,RA000548,,CHE101602521,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36906,ADI1,ADECCO GROUP AG N.,CH0012138605,CH,resolved,exact_isin_match_single_lei_record,NI14Y5UMU60O7JE9P611,Adecco Group AG,RA000548,,CHE107031232,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36907,HLBN,HOLCIM LTD.,CH0012214059,CH,resolved,exact_isin_match_single_lei_record,529900EHPFPYHV6IQO98,Holcim AG,RA000549,,CHE100136893,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36908,ABJ,ABB LTD.,CH0012221716,CH,resolved,exact_isin_match_single_lei_record,5493000LKVGOO9PELI61,ABB Ltd,RA000549,,CHE-101.049.653,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36909,P2H,PARTNERS GR.HLDG,CH0024608827,CH,resolved,exact_isin_match_single_lei_record,549300I3IVVWZWDHI788,Partners Group Holding AG,RA000548,,CHE-108.562.489,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36910,KNIA,KUEHNE + NAGEL INTL,CH0025238863,CH,resolved,exact_isin_match_single_lei_record,529900Q0YED3805QXQ66,Kühne + Nagel International AG,RA000549,,CHE101862298,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36911,LTEC,LOGITECH INTL,CH0025751329,CH,resolved,exact_isin_match_single_lei_record,549300SN6PRK6IJJC215,LOGITECH INTERNATIONAL S.A.,RA000549,,CHE-101.502.641,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36912,GBRA,GEBERIT AG NA DISP.,CH0030170408,CH,resolved,exact_isin_match_single_lei_record,52990093Z5OHD6T7BS47,Geberit AG,RA000549,,CHE-101.065.474,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36913,BBZA,BB BIOTECH,CH0038389992,CH,resolved,exact_isin_match_single_lei_record,391200MBZQNPFHIVKO34,BB Biotech AG,RA000549,,CHE-102.169.627,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36914,NESR,NESTLE,CH0038863350,CH,resolved,exact_isin_match_single_lei_record,KY37LUS27QQX7BB93L28,NESTLÉ S.A.,RA000549,,CHE-105.909.036,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36915,SQL,MATADOR SECONDARY PR.,CH0042797206,CH,resolved,exact_isin_match_single_lei_record,9676007ASJYFQMM4GT15,Matador Secondary Private Equity AG,RA000549,,CHE-112.532.155,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36916,AEX,CHUBB LTD.,CH0044328745,CH,resolved,exact_isin_match_single_lei_record,E0JAN6VLUDI1HITHT809,Chubb Limited,RA000548,,CHE-114.425.464,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36917,SR9,SWISS RE AG,CH0126881561,CH,resolved,exact_isin_match_single_lei_record,529900PS9YW3YY29F326,SWISS RE AG,RA000549,,CHE-191.546.434,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36918,0UB,UBS GROUP AG,CH0244767585,CH,resolved,exact_isin_match_single_lei_record,549300SZJ9VS8SGXAN81,UBS Group AG,RA000549,,CHE-395.345.924,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36919,ED4,EDAG ENGINEERING G.,CH0303692047,CH,resolved,exact_isin_match_single_lei_record,529900LQ2ZJ7F5Z4KN18,EDAG Engineering Group AG,RA000549,,CHE-294.533.486,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36920,SIKA,SIKA AG,CH0418792922,CH,resolved,exact_isin_match_single_lei_record,549300R3N69ECGYPU434,Sika AG,RA000549,,CHE-106.919.184,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36921,2U3,ALCON AG,CH0432492467,CH,resolved,exact_isin_match_single_lei_record,549300LDT5AP8S0NBM78,ALCON AG,RA000549,,CHE-234.781.164,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36922,81D,SWISSNET AG,CH0451123589,CH,resolved,exact_isin_match_single_lei_record,894500DB5P9YR5T76656,swissnet AG,RA000549,,CHE-206.335.836,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36923,VXT,VIDINEXT AG      N.,CH0557519201,CH,resolved,exact_isin_match_single_lei_record,967600H8653W4XPTPE22,VIDINEXT AG,RA000549,,CHE-102.132.564,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36924,LMIA,LION E-MOBILITY AG,CH0560888270,CH,resolved,exact_isin_match_single_lei_record,391200APPWFDYDGV1M54,LION E-Mobility AG,RA000549,,CHE-284.813.547,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36925,RET,REALUNIT SCHWEIZ AG,CH1129911108,CH,resolved,exact_isin_match_single_lei_record,506700WP2YT292PYMH73,RealUnit Schweiz AG,RA000548,,CHE153894905,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36926,49G,ON HOLDING AG A,CH1134540470,CH,resolved,exact_isin_match_single_lei_record,506700FB3467B9W95526,On Holding AG,RA000548,,CHE137374435,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36927,QS51,STRAUMANN HLDG,CH1175448666,CH,resolved,exact_isin_match_single_lei_record,50670046ML5FVIM60Z37,Straumann Holding AG,RA000548,,CHE101673828,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36928,ZX6,DSM-FIRMENICH AG,CH1216478797,CH,resolved,exact_isin_match_single_lei_record,506700G44V67MPM4BI12,DSM-Firmenich AG,RA000548,,CHE441853769,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36929,Q23,BUNGE GLOBAL S.A.,CH1300646267,CH,resolved,exact_isin_match_single_lei_record,254900IVXSV9K0B7PO26,Bunge Global SA,RA000549,,CHE-318.451.510,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36930,MULT,MULTITUDE AG,CH1398992755,CH,resolved,exact_isin_match_single_lei_record,74370078YLPFWHE33716,Multitude AG,RA000549,,CHE-445.352.012,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37345,CBGB,CARLSBERG A/S NAM. B DK20,DK0010181759,DK,resolved,exact_isin_match_single_lei_record,5299001O0WJQYB5GYZ19,CARLSBERG A/S,RA000170,,61056416,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37346,DP4A,A.P.MOELL.-M.NAM A DK1000,DK0010244425,DK,resolved,exact_isin_match_single_lei_record,549300D2K6PKKKXVNN73,A.P. MØLLER - MÆRSK A/S,RA000170,,22756214,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37347,DP4B,A.P.MOELL.-M.NAM B DK1000,DK0010244508,DK,resolved,exact_isin_match_single_lei_record,549300D2K6PKKKXVNN73,A.P. MØLLER - MÆRSK A/S,RA000170,,22756214,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37348,GE9,GENMAB AS            DK 1,DK0010272202,DK,resolved,exact_isin_match_single_lei_record,529900MTJPDPE4MHJ122,GENMAB A/S,RA000170,,21023884,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37349,GNN,GN STORE NORD A/S NAM.DK1,DK0010272632,DK,resolved,exact_isin_match_single_lei_record,5493008U3H3W0NKPFL10,GN STORE NORD A/S,RA000170,,24257843,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37350,DSN,DANSKE BK   NAM.    DK 10,DK0010274414,DK,resolved,exact_isin_match_single_lei_record,MAES062Z21O4RZ2U7M96,DANSKE BANK A/S,RA000170,,61126228,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37351,NKT,NKT A/S NAM.        DK 20,DK0010287663,DK,resolved,exact_isin_match_single_lei_record,529900197LKWCEQ0NL18,NKT A/S,RA000170,,62725214,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37352,JYS1,JYSKE BK A/S NAM. DK 10,DK0010307958,DK,resolved,exact_isin_match_single_lei_record,3M5E1GQGKL17HI6CPN30,JYSKE BANK A/S,RA000170,,17616617,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37353,BV3,BAVARIAN NOR  NAM.  DK 10,DK0015998017,DK,resolved,exact_isin_match_single_lei_record,2138006JCDVYIN6INP51,BAVARIAN NORDIC A/S,RA000170,,16271187,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37354,DS81,DSV AKTIER           DK 1,DK0060079531,DK,resolved,exact_isin_match_single_lei_record,529900X41C0BSLK67H70,DSV A/S,RA000170,,58233528,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37355,D2G,ORSTED A/S          DK 10,DK0060094928,DK,resolved,exact_isin_match_single_lei_record,W9NG6WMZIYEU8VEDOG48,ØRSTED A/S,RA000170,,36213728,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37356,3P7,PANDORA A/S         DK 1,DK0060252690,DK,resolved,exact_isin_match_single_lei_record,5299007OWYZ6I1E46843,Pandora A/S,RA000170,,28505116,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37357,22Z,ZEALAND PHARMA A/S   DK 1,DK0060257814,DK,resolved,exact_isin_match_single_lei_record,549300ITBB1ULBL4CZ12,ZEALAND PHARMA A/S,RA000170,,20045078,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37358,NZM2,NOVOZYMES AS NAM. B DK 2,DK0060336014,DK,resolved,exact_isin_match_single_lei_record,529900T6WNZXD2R3JW38,NOVOZYMES A/S,RA000170,,10007127,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37359,CBHD,COLOPLAST NAM. B    DK 1,DK0060448595,DK,resolved,exact_isin_match_single_lei_record,529900NN7SOJ5QG82X67,COLOPLAST A/S,RA000170,,69749917,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37360,QJQ,ISS AS              DK 1,DK0060542181,DK,resolved,exact_isin_match_single_lei_record,213800LEZA58SZNCBN19,ISS A/S,RA000170,,28504799,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37361,T2V1,TRYG AS NAM.         DK 5,DK0060636678,DK,resolved,exact_isin_match_single_lei_record,213800ZRS8AC4LSTCE39,TRYG A/S,RA000170,,26460212,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37362,WDH1,"DEMANT AS A        DK 0,2",DK0060738599,DK,resolved,exact_isin_match_single_lei_record,213800RM6L9LN78BVA56,DEMANT A/S,RA000170,,71186911,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37363,VWSB,"VESTAS WIND SYS. DK -,20",DK0061539921,DK,resolved,exact_isin_match_single_lei_record,549300DYMC8BGZZC8844,VESTAS WIND SYSTEMS A/S,RA000170,,10403782,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37364,NOV,"NOVO-NORDISK AS B  DK 0,1",DK0062498333,DK,resolved,exact_isin_match_single_lei_record,549300DAQ1CVT6CXN342,NOVO NORDISK A/S,RA000170,,24256790,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37365,R902,ROCKWOOL A/S  NAM. B DK 1,DK0063855168,DK,resolved,exact_isin_match_single_lei_record,213800QRC7LNX935OZ09,ROCKWOOL A/S,RA000170,,54879415,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37381,NOA3,NOKIA OYJ,FI0009000681,FI,unresolved,no_lei_record_for_isin,,,,,,,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37382,RPL,UPM KYMMENE CORP.,FI0009005987,FI,unresolved,no_lei_record_for_isin,,,,,,,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37383,04Q,NORDEA BANK ABP,FI4000297767,FI,unresolved,no_lei_record_for_isin,,,,,,,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37384,B7J1,SRV YHTIOET OYJ,FI4000523675,FI,unresolved,no_lei_record_for_isin,,,,,,,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37385,SMP0,SAMPO OYJ A,FI4000552500,FI,unresolved,no_lei_record_for_isin,,,,,,,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37496,ASG,GENERALI S.P.A.,IT0000062072,IT,resolved,exact_isin_match_single_lei_record,549300X5UKJVE386ZB61,ASSICURAZIONI GENERALI SOCIETA' PER AZIONI,RA000407,,00079760328,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37497,ME9,MEDIOBCA,IT0000062957,IT,resolved,exact_isin_match_single_lei_record,PSNL19R2RXX5U3QWHI44,MEDIOBANCA - BANCA DI CREDITO FINANZIARIO S.P.A.,RA000407,,00714490158,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37498,4BE,BPER BANCA,IT0000066123,IT,resolved,exact_isin_match_single_lei_record,N747OI7JINV7RUUH6190,BPER BANCA S.P.A.,RA000407,,01153230360,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37499,ZS3,FINECOBANK BCA FIN.,IT0000072170,IT,resolved,exact_isin_match_single_lei_record,549300L7YCATGO57ZE10,FINECOBANK BANCA FINECO S.P.A.,RA000407,,01392970404,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37500,IES,INTESA SANPAOLO,IT0000072618,IT,resolved,exact_isin_match_single_lei_record,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA,RA000407,,00799960158,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37501,UCM,BUZZI,IT0001347308,IT,resolved,exact_isin_match_single_lei_record,5299003DX5YLKSVJ6K59,BUZZI SPA,RA000407,,00930290044,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37502,ENL,ENEL S.P.A.,IT0003128367,IT,resolved,exact_isin_match_single_lei_record,WOCMU6HCI0OJWNPRZS33,ENEL - SPA,RA000407,,00811720580,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37503,ENI,ENI S.P.A.,IT0003132476,IT,resolved,exact_isin_match_single_lei_record,BUCRF72VH5RBN7X3VL35,ENI S.P.A.,RA000407,,00484960588,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37504,7PI,POSTE ITALIANE SPA,IT0003796171,IT,resolved,exact_isin_match_single_lei_record,815600354DEDBD0BA991,POSTE ITALIANE - SOCIETA' PER AZIONI,RA000407,,97103880585,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37505,FMNB,LEONARDO S.P.A.,IT0003856405,IT,resolved,exact_isin_match_single_lei_record,529900X4EEX1U9LN3U39,LEONARDO - SOCIETA' PER AZIONI,RA000407,,00881841001,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37506,AXNA,AMPLIFON S.P.A.,IT0004056880,IT,resolved,exact_isin_match_single_lei_record,ZYXJDNVM2JI3VBM8G556,AMPLIFON S.P.A.,RA000407,,04923960159,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37507,NP5,NEWRON PHARMACEUT.,IT0004147952,IT,resolved,exact_isin_match_single_lei_record,8156002F8C11F80A9740,NEWRON PHARMACEUTICALS S.P.A.,RA000407,,02479490126,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37508,AEU,PRYSMIAN S.P.A.,IT0004176001,IT,resolved,exact_isin_match_single_lei_record,529900X0H1IO3RS1A464,PRYSMIAN S.P.A.,RA000407,,04866320965,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37509,UIPN,UNIPOL ASSICURAZIONI,IT0004810054,IT,resolved,exact_isin_match_single_lei_record,8156005CE5E7340CCA86,UNIPOL ASSICURAZIONI S.P.A.,RA000407,,00284160371,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37510,MOV,MONCLER S.P.A.,IT0004965148,IT,resolved,exact_isin_match_single_lei_record,815600EBD7FB00525B20,MONCLER S.P.A.,RA000407,,04642290961,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37511,BPM,BCA BPM S.P.A.,IT0005218380,IT,resolved,exact_isin_match_single_lei_record,815600E4E6DCD2D25E30,BANCO BPM SOCIETA' PER AZIONI,RA000407,,09722490969,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37512,CRIN,UNICREDIT,IT0005239360,IT,resolved,exact_isin_match_single_lei_record,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI",RA000407,,00348170101,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37513,SPEA,SAIPEM,IT0005495657,IT,resolved,exact_isin_match_single_lei_record,549300PHV8MBDHWB8X12,SAIPEM S.P.A.,RA000407,,00825790157,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37514,MPI0,BCA MONTE D.PASCHI D.SIE.,IT0005508921,IT,resolved,exact_isin_match_single_lei_record,J4CP7MHCXR8DAQMKIL78,BANCA MONTE DEI PASCHI DI SIENA S.P.A.,RA000407,,00884060526,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37515,H68,RIGSAVE S.P.A.,IT0005526295,IT,resolved,exact_isin_match_single_lei_record,984500144H84C0CA7J16,RIGSAVE S.P.A.,RA000407,,03690060987,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37516,1F80,FINCANTIERI SPA,IT0005599938,IT,resolved,exact_isin_match_single_lei_record,8156005BDF49128B6239,FINCANTIERI S.P.A.,RA000407,,00397130584,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37517,TQI0,TELECOM ITALIA,IT0005712671,IT,resolved,exact_isin_match_single_lei_record,549300W384M3RI3VXU42,TELECOM ITALIA SPA O TIM S.P.A.,RA000407,,00488410010,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U37585,HMSB,HENNES + MAURITZ B SK-125,SE0000106270,SE,resolved,exact_isin_match_single_lei_record,529900O5RR7R39FRDM42,H & M Hennes & Mauritz AB,RA000544,,5560427220,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
