asset_id,ticker,theme_id,note_type,note,confidence_level,source_policy,phase
U00040,ACNB,SMALL_CAP_LIQUIDITY,MACRO_RISK,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00040,ACNB,,EVIDENCE_LIMITATION,No reliable sector-specific theme was inferred; only general US macro themes were applied.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00040,ACNB,,NEXT_RESEARCH_STEP,Review sourced macro and sector evidence in the next phase before changing any research priority.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00040,ACNB,,LANGUAGE_GUARDRAIL,Static context only; no final action language or external event claim is generated.,HIGH,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00126,ALAB,INTEREST_RATES,MACRO_RISK,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00126,ALAB,INFLATION,MACRO_RISK,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00126,ALAB,USD_STRENGTH,MACRO_RISK,A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.,LOW,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00126,ALAB,SMALL_CAP_LIQUIDITY,MACRO_RISK,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00126,ALAB,,EVIDENCE_LIMITATION,No reliable sector-specific theme was inferred; only general US macro themes were applied.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00126,ALAB,,NEXT_RESEARCH_STEP,Review sourced macro and sector evidence in the next phase before changing any research priority.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00126,ALAB,,LANGUAGE_GUARDRAIL,Static context only; no final action language or external event claim is generated.,HIGH,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00276,ATEX,INTEREST_RATES,MACRO_RISK,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00276,ATEX,INFLATION,MACRO_RISK,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00276,ATEX,USD_STRENGTH,MACRO_RISK,A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.,LOW,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00276,ATEX,SMALL_CAP_LIQUIDITY,MACRO_RISK,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00276,ATEX,,EVIDENCE_LIMITATION,No reliable sector-specific theme was inferred; only general US macro themes were applied.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00276,ATEX,,NEXT_RESEARCH_STEP,Review sourced macro and sector evidence in the next phase before changing any research priority.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00276,ATEX,,LANGUAGE_GUARDRAIL,Static context only; no final action language or external event claim is generated.,HIGH,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00503,CAC,INTEREST_RATES,MACRO_RISK,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00503,CAC,INFLATION,MACRO_RISK,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00503,CAC,USD_STRENGTH,MACRO_RISK,A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.,LOW,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00503,CAC,SMALL_CAP_LIQUIDITY,MACRO_RISK,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00503,CAC,,EVIDENCE_LIMITATION,No reliable sector-specific theme was inferred; only general US macro themes were applied.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00503,CAC,,NEXT_RESEARCH_STEP,Review sourced macro and sector evidence in the next phase before changing any research priority.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00503,CAC,,LANGUAGE_GUARDRAIL,Static context only; no final action language or external event claim is generated.,HIGH,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00025,ACAD,INTEREST_RATES,MACRO_RISK,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00025,ACAD,INFLATION,MACRO_RISK,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00025,ACAD,USD_STRENGTH,MACRO_RISK,A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.,LOW,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00025,ACAD,SMALL_CAP_LIQUIDITY,MACRO_RISK,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00025,ACAD,HEALTHCARE_REGULATION,MACRO_RISK,"Healthcare and biotech names face policy, reimbursement and trial/regulatory uncertainty.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00025,ACAD,,EVIDENCE_LIMITATION,Sector classification is conservative and derived only from existing local text fields; no live external classification was used.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00025,ACAD,,NEXT_RESEARCH_STEP,Review sourced macro and sector evidence in the next phase before changing any research priority.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00025,ACAD,,LANGUAGE_GUARDRAIL,Static context only; no final action language or external event claim is generated.,HIGH,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00482,BUSE,INTEREST_RATES,MACRO_RISK,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00482,BUSE,INFLATION,MACRO_RISK,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00482,BUSE,USD_STRENGTH,MACRO_RISK,A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.,LOW,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00482,BUSE,SMALL_CAP_LIQUIDITY,MACRO_RISK,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00482,BUSE,,EVIDENCE_LIMITATION,No reliable sector-specific theme was inferred; only general US macro themes were applied.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00482,BUSE,,NEXT_RESEARCH_STEP,Review sourced macro and sector evidence in the next phase before changing any research priority.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00482,BUSE,,LANGUAGE_GUARDRAIL,Static context only; no final action language or external event claim is generated.,HIGH,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00522,CART,INTEREST_RATES,MACRO_RISK,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00522,CART,INFLATION,MACRO_RISK,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00522,CART,USD_STRENGTH,MACRO_RISK,A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.,LOW,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00522,CART,SMALL_CAP_LIQUIDITY,MACRO_RISK,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00522,CART,,EVIDENCE_LIMITATION,No reliable sector-specific theme was inferred; only general US macro themes were applied.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00522,CART,,NEXT_RESEARCH_STEP,Review sourced macro and sector evidence in the next phase before changing any research priority.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00522,CART,,LANGUAGE_GUARDRAIL,Static context only; no final action language or external event claim is generated.,HIGH,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00425,BMRN,INTEREST_RATES,MACRO_RISK,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00425,BMRN,INFLATION,MACRO_RISK,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00425,BMRN,USD_STRENGTH,MACRO_RISK,A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.,LOW,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00425,BMRN,SMALL_CAP_LIQUIDITY,MACRO_RISK,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00425,BMRN,HEALTHCARE_REGULATION,MACRO_RISK,"Healthcare and biotech names face policy, reimbursement and trial/regulatory uncertainty.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00425,BMRN,,EVIDENCE_LIMITATION,Sector classification is conservative and derived only from existing local text fields; no live external classification was used.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00425,BMRN,,NEXT_RESEARCH_STEP,Review sourced macro and sector evidence in the next phase before changing any research priority.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00425,BMRN,,LANGUAGE_GUARDRAIL,Static context only; no final action language or external event claim is generated.,HIGH,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00592,CFFN,INTEREST_RATES,MACRO_RISK,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00592,CFFN,INFLATION,MACRO_RISK,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00592,CFFN,USD_STRENGTH,MACRO_RISK,A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.,LOW,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00592,CFFN,SMALL_CAP_LIQUIDITY,MACRO_RISK,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00592,CFFN,BANK_CREDIT_CYCLE,MACRO_RISK,Credit quality and funding costs can materially affect banks and lenders.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00592,CFFN,,EVIDENCE_LIMITATION,Sector classification is conservative and derived only from existing local text fields; no live external classification was used.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00592,CFFN,,NEXT_RESEARCH_STEP,Review sourced macro and sector evidence in the next phase before changing any research priority.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00592,CFFN,,LANGUAGE_GUARDRAIL,Static context only; no final action language or external event claim is generated.,HIGH,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00170,AMGN,INTEREST_RATES,MACRO_RISK,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00170,AMGN,INFLATION,MACRO_RISK,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00170,AMGN,USD_STRENGTH,MACRO_RISK,A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.,LOW,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00170,AMGN,SMALL_CAP_LIQUIDITY,MACRO_RISK,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00170,AMGN,,EVIDENCE_LIMITATION,No reliable sector-specific theme was inferred; only general US macro themes were applied.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00170,AMGN,,NEXT_RESEARCH_STEP,Review sourced macro and sector evidence in the next phase before changing any research priority.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00170,AMGN,,LANGUAGE_GUARDRAIL,Static context only; no final action language or external event claim is generated.,HIGH,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00390,BIIB,INTEREST_RATES,MACRO_RISK,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00390,BIIB,INFLATION,MACRO_RISK,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00390,BIIB,USD_STRENGTH,MACRO_RISK,A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.,LOW,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00390,BIIB,SMALL_CAP_LIQUIDITY,MACRO_RISK,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00390,BIIB,,EVIDENCE_LIMITATION,No reliable sector-specific theme was inferred; only general US macro themes were applied.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00390,BIIB,,NEXT_RESEARCH_STEP,Review sourced macro and sector evidence in the next phase before changing any research priority.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00390,BIIB,,LANGUAGE_GUARDRAIL,Static context only; no final action language or external event claim is generated.,HIGH,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00054,ADEA,INTEREST_RATES,MACRO_RISK,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00054,ADEA,INFLATION,MACRO_RISK,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00054,ADEA,USD_STRENGTH,MACRO_RISK,A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.,LOW,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00054,ADEA,SMALL_CAP_LIQUIDITY,MACRO_RISK,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00054,ADEA,,EVIDENCE_LIMITATION,No reliable sector-specific theme was inferred; only general US macro themes were applied.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00054,ADEA,,NEXT_RESEARCH_STEP,Review sourced macro and sector evidence in the next phase before changing any research priority.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00054,ADEA,,LANGUAGE_GUARDRAIL,Static context only; no final action language or external event claim is generated.,HIGH,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00011,AAPL,INTEREST_RATES,MACRO_RISK,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00011,AAPL,INFLATION,MACRO_RISK,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00011,AAPL,USD_STRENGTH,MACRO_RISK,A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.,LOW,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00011,AAPL,SMALL_CAP_LIQUIDITY,MACRO_RISK,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00011,AAPL,,EVIDENCE_LIMITATION,No reliable sector-specific theme was inferred; only general US macro themes were applied.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00011,AAPL,,NEXT_RESEARCH_STEP,Review sourced macro and sector evidence in the next phase before changing any research priority.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00011,AAPL,,LANGUAGE_GUARDRAIL,Static context only; no final action language or external event claim is generated.,HIGH,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00519,CARE,INTEREST_RATES,MACRO_RISK,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00519,CARE,INFLATION,MACRO_RISK,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00519,CARE,USD_STRENGTH,MACRO_RISK,A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.,LOW,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00519,CARE,SMALL_CAP_LIQUIDITY,MACRO_RISK,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00519,CARE,BANK_CREDIT_CYCLE,MACRO_RISK,Credit quality and funding costs can materially affect banks and lenders.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00519,CARE,,EVIDENCE_LIMITATION,Sector classification is conservative and derived only from existing local text fields; no live external classification was used.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00519,CARE,,NEXT_RESEARCH_STEP,Review sourced macro and sector evidence in the next phase before changing any research priority.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00519,CARE,,LANGUAGE_GUARDRAIL,Static context only; no final action language or external event claim is generated.,HIGH,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00169,AMD,INTEREST_RATES,MACRO_RISK,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00169,AMD,INFLATION,MACRO_RISK,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00169,AMD,USD_STRENGTH,MACRO_RISK,A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.,LOW,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00169,AMD,SMALL_CAP_LIQUIDITY,MACRO_RISK,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00169,AMD,,EVIDENCE_LIMITATION,No reliable sector-specific theme was inferred; only general US macro themes were applied.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00169,AMD,,NEXT_RESEARCH_STEP,Review sourced macro and sector evidence in the next phase before changing any research priority.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00169,AMD,,LANGUAGE_GUARDRAIL,Static context only; no final action language or external event claim is generated.,HIGH,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00214,APPF,INTEREST_RATES,MACRO_RISK,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00214,APPF,INFLATION,MACRO_RISK,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00214,APPF,USD_STRENGTH,MACRO_RISK,A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.,LOW,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00214,APPF,SMALL_CAP_LIQUIDITY,MACRO_RISK,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00214,APPF,,EVIDENCE_LIMITATION,No reliable sector-specific theme was inferred; only general US macro themes were applied.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00214,APPF,,NEXT_RESEARCH_STEP,Review sourced macro and sector evidence in the next phase before changing any research priority.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00214,APPF,,LANGUAGE_GUARDRAIL,Static context only; no final action language or external event claim is generated.,HIGH,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00497,BZ,INTEREST_RATES,MACRO_RISK,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
U00497,BZ,INFLATION,MACRO_RISK,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38M-macro-geopolitical-context
