asset_id,ticker,company_name,exchange,shortlist_rank,research_rank,experimental_score,shortlist_bucket,macro_context_status,applicable_themes,macro_opportunity_score,macro_risk_score,macro_balance,macro_context_summary,macro_positive_context,macro_risk_context,macro_limitations,next_macro_research_steps,recommendation_generated,financial_advice,broker_actions_allowed,phase9c_authorized,phase
U00592,CFFN,"Capitol Federal Financial, Inc. - Common Stock",NASDAQ,11,11,77.9125,SHORTLIST_HIGH_PRIORITY,MACRO_CONTEXT_READY,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY|BANK_CREDIT_CYCLE,48.2,66.2,-18.0,Static macro/geopolitical context applied using 5 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.; BANK_CREDIT_CYCLE: Credit quality and funding costs can materially affect banks and lenders.",Sector classification is conservative and derived only from existing local text fields; no live external classification was used.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00170,AMGN,Amgen Inc. - Common Stock,NASDAQ,12,12,77.8635,SHORTLIST_HIGH_PRIORITY,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No reliable sector-specific theme was inferred; only general US macro themes were applied.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00390,BIIB,Biogen Inc. - Common Stock,NASDAQ,13,13,77.6929,SHORTLIST_HIGH_PRIORITY,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No reliable sector-specific theme was inferred; only general US macro themes were applied.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00054,ADEA,Adeia Inc. - Common Stock,NASDAQ,14,14,77.2821,SHORTLIST_HIGH_PRIORITY,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No reliable sector-specific theme was inferred; only general US macro themes were applied.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00011,AAPL,Apple Inc. - Common Stock,NASDAQ,15,15,76.5883,SHORTLIST_HIGH_PRIORITY,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No reliable sector-specific theme was inferred; only general US macro themes were applied.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00519,CARE,"Carter Bankshares, Inc. - Common Stock",NASDAQ,16,16,76.2259,SHORTLIST_HIGH_PRIORITY,MACRO_CONTEXT_READY,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY|BANK_CREDIT_CYCLE,48.2,66.2,-18.0,Static macro/geopolitical context applied using 5 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.; BANK_CREDIT_CYCLE: Credit quality and funding costs can materially affect banks and lenders.",Sector classification is conservative and derived only from existing local text fields; no live external classification was used.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00169,AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ,17,17,76.1559,SHORTLIST_HIGH_PRIORITY,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No reliable sector-specific theme was inferred; only general US macro themes were applied.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00214,APPF,"AppFolio, Inc. - Class A Common Stock",NASDAQ,18,18,75.9668,SHORTLIST_HIGH_PRIORITY,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No reliable sector-specific theme was inferred; only general US macro themes were applied.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00497,BZ,KANZHUN LIMITED - American Depository Shares,NASDAQ,19,19,75.8547,SHORTLIST_HIGH_PRIORITY,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No reliable sector-specific theme was inferred; only general US macro themes were applied.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00379,BGC,"BGC Group, Inc. - Class A Common Stock",NASDAQ,20,20,75.4173,SHORTLIST_HIGH_PRIORITY,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No reliable sector-specific theme was inferred; only general US macro themes were applied.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00251,ARWR,"Arrowhead Pharmaceuticals, Inc. - Common Stock",NASDAQ,21,21,74.9964,SHORTLIST_MEDIUM_PRIORITY,MACRO_CONTEXT_READY,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY|HEALTHCARE_REGULATION,50.4,65.8,-15.4,Static macro/geopolitical context applied using 5 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.; HEALTHCARE_REGULATION: Healthcare and biotech names face policy, reimbursement and trial/regulatory uncertainty.",Sector classification is conservative and derived only from existing local text fields; no live external classification was used.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00591,CFFI,C&F Financial Corporation - Common Stock,NASDAQ,22,22,74.823,SHORTLIST_MEDIUM_PRIORITY,MACRO_CONTEXT_READY,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY|BANK_CREDIT_CYCLE,48.2,66.2,-18.0,Static macro/geopolitical context applied using 5 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.; BANK_CREDIT_CYCLE: Credit quality and funding costs can materially affect banks and lenders.",Sector classification is conservative and derived only from existing local text fields; no live external classification was used.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00165,AMAT,"Applied Materials, Inc. - Common Stock",NASDAQ,23,23,74.6014,SHORTLIST_MEDIUM_PRIORITY,MACRO_CONTEXT_READY,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY|COMMODITY_INPUT_COSTS,47.8,65.2,-17.4,Static macro/geopolitical context applied using 5 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.; COMMODITY_INPUT_COSTS: Commodity cost volatility can pressure margin for input-intensive businesses.",Sector classification is conservative and derived only from existing local text fields; no live external classification was used.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00599,CGNX,Cognex Corporation - Common Stock,NASDAQ,24,24,74.5113,SHORTLIST_MEDIUM_PRIORITY,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No reliable sector-specific theme was inferred; only general US macro themes were applied.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00606,CHCI,"Comstock Holding Companies, Inc. - Class A Common Stock",NASDAQ,25,25,74.3267,SHORTLIST_MEDIUM_PRIORITY,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No reliable sector-specific theme was inferred; only general US macro themes were applied.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00312,AVPT,"AvePoint, Inc. - Class A Common Stock",NASDAQ,26,26,74.2054,SHORTLIST_MEDIUM_PRIORITY,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No reliable sector-specific theme was inferred; only general US macro themes were applied.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00372,BELFB,Bel Fuse Inc. - Class B Common Stock,NASDAQ,27,27,74.1486,SHORTLIST_MEDIUM_PRIORITY,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No reliable sector-specific theme was inferred; only general US macro themes were applied.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
U00086,AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ,28,28,73.5754,SHORTLIST_MEDIUM_PRIORITY,MACRO_CONTEXT_PARTIAL,INTEREST_RATES|INFLATION|USD_STRENGTH|SMALL_CAP_LIQUIDITY,49.25,64.25,-15.0,Static macro/geopolitical context applied using 4 taxonomy themes as of 2026-09-03.,No dominant macro tailwind in static taxonomy.,"INTEREST_RATES: Higher or volatile interest rates can affect discount rates, financing costs and risk appetite.; INFLATION: Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.; USD_STRENGTH: A stronger dollar can pressure foreign revenue translation and help import-heavy cost bases.; SMALL_CAP_LIQUIDITY: Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.",No reliable sector-specific theme was inferred; only general US macro themes were applied.,Validate sector exposure manually; add sourced live macro/news layer in a later phase; do not alter the v2.38K/v2.38L rank from this static layer.,false,false,false,false,v2.38M-macro-geopolitical-context
