append_order,source_phase,asx_code,ticker,symbol,name,isin,instrument_class,scope_confidence,validation_decision,match_type,context_match,last_price,business_date,appended_ticker_duplicate_count,appended_isin_duplicate_count,ticker_already_in_current,isin_already_in_current
34,v2.20G,AV1,AV1.AX,AV1.AX,ADVERITAS LIMITED,AU0000033946,ordinary_equity,high,net_new_candidate,no_current_match,True,0.078,30/06/2026,1,1,False,False
35,v2.20G,AIS,AIS.AX,AIS.AX,AERIS RESOURCES LIMITED,AU000000AIS8,ordinary_equity,high,net_new_candidate,no_current_match,True,0.37,30/06/2026,1,1,False,False
36,v2.20G,AGR,AGR.AX,AGR.AX,AGUIA RESOURCES LIMITED,AU000000AGR4,ordinary_equity,high,net_new_candidate,no_current_match,True,0.02,30/06/2026,1,1,False,False
37,v2.20G,AIX,AIX.AX,AIX.AX,AI PRIVATE OPPORTUNITIES TRUST,AU0000473852,ordinary_equity,high,net_new_candidate,no_current_match,False,,,1,1,False,False
38,v2.20G,A1M,A1M.AX,A1M.AX,AIC MINES LIMITED,AU0000049033,ordinary_equity,high,net_new_candidate,no_current_match,True,0.725,30/06/2026,1,1,False,False
39,v2.20G,APW,APW.AX,APW.AX,AIMS PROPERTY SECURITIES FUND,AU000000APW5,ordinary_equity,high,net_new_candidate,no_current_match,True,4.16,30/06/2026,1,1,False,False
40,v2.20G,AC1,AC1.AX,AC1.AX,AIR CHANGE INTERNATIONAL LIMITED.,AU000000AC14,ordinary_equity,high,net_new_candidate,no_current_match,False,,,1,1,False,False
41,v2.20G,ART,ART.AX,ART.AX,AIRTASKER LIMITED,AU0000135998,ordinary_equity,high,net_new_candidate,no_current_match,True,0.22,30/06/2026,1,1,False,False
42,v2.20G,AJL,AJL.AX,AJL.AX,AJ LUCAS GROUP LIMITED,AU000000AJL1,ordinary_equity,high,net_new_candidate,no_current_match,True,0.008,30/06/2026,1,1,False,False
43,v2.20G,AKO,AKO.AX,AKO.AX,AKORA RESOURCES LIMITED,AU0000113698,ordinary_equity,high,net_new_candidate,no_current_match,True,0.077,30/06/2026,1,1,False,False
44,v2.20G,AUQ,AUQ.AX,AUQ.AX,ALARA RESOURCES LIMITED,AU000000AUQ7,ordinary_equity,high,net_new_candidate,no_current_match,True,0.043,30/06/2026,1,1,False,False
45,v2.20G,ALY,ALY.AX,ALY.AX,ALCHEMY RESOURCES LIMITED,AU000000ALY0,ordinary_equity,high,net_new_candidate,no_current_match,True,0.006,30/06/2026,1,1,False,False
46,v2.20G,AL1,AL1.AX,AL1.AX,ALCOA INC (AA) (NYSE),AU000000AL13,ordinary_or_equity_like_unclassified,medium,net_new_candidate,no_current_match,False,,,1,1,False,False
47,v2.20G,AJX,AJX.AX,AJX.AX,ALEXIUM INTERNATIONAL GROUP LIMITED,AU000000AJX6,ordinary_equity,high,net_new_candidate,no_current_match,True,0.008,30/06/2026,1,1,False,False
48,v2.20G,1AI,1AI.AX,1AI.AX,ALGORAE PHARMACEUTICALS LIMITED,AU0000296022,ordinary_equity,high,net_new_candidate,no_current_match,True,0.01,30/06/2026,1,1,False,False
49,v2.20G,AQX,AQX.AX,AQX.AX,ALICE QUEEN LIMITED,AU000000AQX1,ordinary_equity,high,net_new_candidate,no_current_match,True,0.006,30/06/2026,1,1,False,False
50,v2.20G,AQZ,AQZ.AX,AQZ.AX,ALLIANCE AVIATION SERVICES LIMITED,AU000000AQZ6,ordinary_equity,high,net_new_candidate,no_current_match,True,0.57,30/06/2026,1,1,False,False
51,v2.20G,AXN,AXN.AX,AXN.AX,ALLIANCE NICKEL LIMITED,AU0000265381,ordinary_equity,high,net_new_candidate,no_current_match,True,0.026,30/06/2026,1,1,False,False
52,v2.20G,AGE,AGE.AX,AGE.AX,ALLIGATOR ENERGY LIMITED,AU000000AGE2,ordinary_equity,high,net_new_candidate,no_current_match,True,0.055,30/06/2026,1,1,False,False
53,v2.20G,A4N,A4N.AX,A4N.AX,ALPHA HPA LIMITED,AU0000033060,ordinary_equity,high,net_new_candidate,no_current_match,True,0.65,30/06/2026,1,1,False,False
54,v2.20G,ALQ,ALQ.AX,ALQ.AX,ALS LIMITED,AU000000ALQ6,ordinary_equity,high,net_new_candidate,no_current_match,True,22.84,30/06/2026,1,1,False,False
55,v2.20G,ALR,ALR.AX,ALR.AX,ALTAIR MINERALS LIMITED,AU0000333676,ordinary_equity,high,net_new_candidate,no_current_match,True,0.032,30/06/2026,1,1,False,False
56,v2.20G,ATC,ATC.AX,ATC.AX,ALTECH BATTERIES LTD,AU000000ATC9,ordinary_equity,high,net_new_candidate,no_current_match,True,0.01,30/06/2026,1,1,False,False
57,v2.20G,AIQ,AIQ.AX,AIQ.AX,ALTERNATIVE INVESTMENT TRUST,AU000000AIQ2,listed_investment_vehicle_conditional,medium,net_new_candidate,no_current_match,True,1.45,29/06/2026,1,1,False,False
58,v2.20G,ATT,ATT.AX,ATT.AX,ALTITUDE MINERALS LTD,AU0000407611,ordinary_equity,high,net_new_candidate,no_current_match,True,0.01,30/06/2026,1,1,False,False
59,v2.20G,ARO,ARO.AX,ARO.AX,ALTORO METALS LIMITED,AU0000480642,ordinary_equity,high,net_new_candidate,no_current_match,False,,,1,1,False,False
60,v2.20G,ALU,ALU.AX,ALU.AX,ALURION RESOURCES LIMITED,AU0000473878,ordinary_equity,high,net_new_candidate,no_current_match,False,,,1,1,False,False
61,v2.20G,3DA,3DA.AX,3DA.AX,AMAERO INC.,AU0000064578,ordinary_or_equity_like_unclassified,medium,net_new_candidate,no_current_match,True,0.25,30/06/2026,1,1,False,False
62,v2.20G,AM3,AM3.AX,AM3.AX,AMARA MINERALS LIMITED,AU0000469801,ordinary_equity,high,net_new_candidate,no_current_match,True,0.005,30/06/2026,1,1,False,False
63,v2.20G,AMO,AMO.AX,AMO.AX,AMBERTECH LIMITED,AU000000AMO9,ordinary_equity,high,net_new_candidate,no_current_match,True,0.09,30/06/2026,1,1,False,False
64,v2.20G,AMU,AMU.AX,AMU.AX,AMERICAN URANIUM LTD,AU0000415879,ordinary_equity,high,net_new_candidate,no_current_match,True,0.072,30/06/2026,1,1,False,False
65,v2.20G,AW1,AW1.AX,AW1.AX,AMERICAN WEST METALS LIMITED,AU0000187239,ordinary_equity,high,net_new_candidate,no_current_match,True,0.038,30/06/2026,1,1,False,False
66,v2.20G,AL3,AL3.AX,AL3.AX,AML3D LIMITED,AU0000079212,ordinary_equity,high,net_new_candidate,no_current_match,True,0.13,30/06/2026,1,1,False,False
67,v2.20G,AOV,AOV.AX,AOV.AX,AMOTIV LIMITED,AU0000340770,ordinary_equity,high,net_new_candidate,no_current_match,True,6.3,30/06/2026,1,1,False,False
68,v2.20G,ATX,ATX.AX,ATX.AX,AMPLIA THERAPEUTICS LIMITED,AU0000023822,ordinary_equity,high,net_new_candidate,no_current_match,True,0.145,30/06/2026,1,1,False,False
69,v2.20G,AEL,AEL.AX,AEL.AX,AMPLITUDE ENERGY LIMITED,AU0000361909,ordinary_equity,high,net_new_candidate,no_current_match,True,1.28,30/06/2026,1,1,False,False
70,v2.20G,ALD,ALD.AX,ALD.AX,AMPOL LIMITED,AU0000088338,ordinary_equity,high,net_new_candidate,no_current_match,True,32.9,30/06/2026,1,1,False,False
71,v2.20G,AN1,AN1.AX,AN1.AX,ANAGENICS LIMITED,AU0000198095,ordinary_equity,high,net_new_candidate,no_current_match,True,0.007,30/06/2026,1,1,False,False
72,v2.20G,ANR,ANR.AX,ANR.AX,ANATARA LIFESCIENCES LTD,AU000000ANR0,ordinary_equity,high,net_new_candidate,no_current_match,True,0.01,30/06/2026,1,1,False,False
73,v2.20G,ANX,ANX.AX,ANX.AX,ANAX METALS LIMITED,AU0000111114,ordinary_equity,high,net_new_candidate,no_current_match,True,0.028,30/06/2026,1,1,False,False
74,v2.20G,ASL,ASL.AX,ASL.AX,ANDEAN SILVER LIMITED,AU0000343253,ordinary_equity,high,net_new_candidate,no_current_match,True,1.895,30/06/2026,1,1,False,False
75,v2.20G,ADN,ADN.AX,ADN.AX,ANDROMEDA METALS LIMITED,AU000000ADN0,ordinary_equity,high,net_new_candidate,no_current_match,True,0.006,30/06/2026,1,1,False,False
76,v2.20G,ANN,ANN.AX,ANN.AX,ANSELL LIMITED,AU000000ANN9,ordinary_equity,high,net_new_candidate,no_current_match,True,31.74,30/06/2026,1,1,False,False
77,v2.20G,ASN,ASN.AX,ASN.AX,ANSON RESOURCES LIMITED,AU000000ASN8,ordinary_equity,high,net_new_candidate,no_current_match,True,0.045,30/06/2026,1,1,False,False
78,v2.20G,AM5,AM5.AX,AM5.AX,ANTARES METALS LIMITED,AU0000369829,ordinary_equity,high,net_new_candidate,no_current_match,True,0.0065,30/06/2026,1,1,False,False
79,v2.20G,ADO,ADO.AX,ADO.AX,ANTEOTECH LTD,AU000000ADO8,ordinary_equity,high,net_new_candidate,no_current_match,True,0.028,30/06/2026,1,1,False,False
80,v2.20G,A2H,A2H.AX,A2H.AX,ANTI-AGING HOUSE HOLD LIMITED,AU000000A2H0,ordinary_or_equity_like_unclassified,medium,net_new_candidate,no_current_match,False,,,1,1,False,False
81,v2.20G,AAU,AAU.AX,AAU.AX,ANTILLES GOLD LIMITED,AU0000115172,ordinary_equity,high,net_new_candidate,no_current_match,True,0.008,30/06/2026,1,1,False,False
82,v2.20G,AZY,AZY.AX,AZY.AX,ANTIPA MINERALS LIMITED,AU000000AZY0,ordinary_equity,high,net_new_candidate,no_current_match,True,0.57,30/06/2026,1,1,False,False
83,v2.20G,ANZ,ANZ.AX,ANZ.AX,ANZ GROUP HOLDINGS LIMITED,AU000000ANZ3,ordinary_equity,high,net_new_candidate,no_current_match,True,35.35,30/06/2026,1,1,False,False
84,v2.20G,ARU,ARU.AX,ARU.AX,ARAFURA RARE EARTHS LTD,AU000000ARU5,ordinary_equity,high,net_new_candidate,no_current_match,True,0.245,30/06/2026,1,1,False,False
85,v2.20G,ARB,ARB.AX,ARB.AX,ARB CORPORATION LIMITED.,AU000000ARB5,ordinary_equity,high,net_new_candidate,no_current_match,True,18.92,30/06/2026,1,1,False,False
86,v2.20G,ARC,ARC.AX,ARC.AX,ARC FUNDS LIMITED,AU000000ARC3,ordinary_equity,high,net_new_candidate,no_current_match,True,0.07,30/06/2026,1,1,False,False
87,v2.20G,AM7,AM7.AX,AM7.AX,ARCADIA MINERALS LIMITED,AU0000145815,ordinary_or_equity_like_unclassified,medium,net_new_candidate,no_current_match,True,0.038,29/06/2026,1,1,False,False
88,v2.20G,AXE,AXE.AX,AXE.AX,ARCHER MATERIALS LIMITED,AU000000AXE7,ordinary_equity,high,net_new_candidate,no_current_match,True,0.31,30/06/2026,1,1,False,False
89,v2.20G,AR9,AR9.AX,AR9.AX,ARCHTIS LIMITED,AU0000020877,ordinary_equity,high,net_new_candidate,no_current_match,True,0.069,30/06/2026,1,1,False,False
90,v2.20G,ARF,ARF.AX,ARF.AX,ARENA REIT.,AU000000ARF6,a_reit_equity_like,medium,net_new_candidate,no_current_match,True,3.11,30/06/2026,1,1,False,False
91,v2.20G,AGN,AGN.AX,AGN.AX,ARGENICA THERAPEUTICS LIMITED,AU0000150328,ordinary_equity,high,net_new_candidate,no_current_match,True,0.096,30/06/2026,1,1,False,False
92,v2.20G,ARD,ARD.AX,ARD.AX,ARGENT MINERALS LIMITED,AU000000ARD1,ordinary_equity,high,net_new_candidate,no_current_match,True,0.021,30/06/2026,1,1,False,False
93,v2.20G,ALI,ALI.AX,ALI.AX,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED,AU000000ALI3,ordinary_equity,high,net_new_candidate,no_current_match,True,2.61,30/06/2026,1,1,False,False
94,v2.20G,ARG,ARG.AX,ARG.AX,ARGO INVESTMENTS LIMITED,AU000000ARG4,ordinary_equity,high,net_new_candidate,no_current_match,True,9.29,30/06/2026,1,1,False,False
95,v2.20G,AGY,AGY.AX,AGY.AX,ARGOSY MINERALS LIMITED,AU000000AGY0,ordinary_equity,high,net_new_candidate,no_current_match,True,0.044,30/06/2026,1,1,False,False
96,v2.20G,ARA,ARA.AX,ARA.AX,ARIADNE AUSTRALIA LIMITED,AU000000ARA7,ordinary_equity,high,net_new_candidate,no_current_match,True,0.46,30/06/2026,1,1,False,False
97,v2.20G,AHK,AHK.AX,AHK.AX,ARK MINES LIMITED,AU000000AHK7,ordinary_equity,high,net_new_candidate,no_current_match,True,0.25,30/06/2026,1,1,False,False
98,v2.20G,A1N,A1N.AX,A1N.AX,ARN MEDIA LIMITED,AU0000279853,ordinary_equity,high,net_new_candidate,no_current_match,True,0.245,30/06/2026,1,1,False,False
99,v2.20G,ALA,ALA.AX,ALA.AX,AROVELLA THERAPEUTICS LIMITED,AU0000182784,ordinary_equity,high,net_new_candidate,no_current_match,True,0.062,30/06/2026,1,1,False,False
100,v2.20G,AR2,AR2.AX,AR2.AX,ARRIS HOLDINGS BERHAD,AU0000094385,ordinary_or_equity_like_unclassified,medium,net_new_candidate,no_current_match,False,,,1,1,False,False
101,v2.20G,ARV,ARV.AX,ARV.AX,ARTEMIS RESOURCES LIMITED,AU000000ARV3,ordinary_equity,high,net_new_candidate,no_current_match,True,0.003,30/06/2026,1,1,False,False
102,v2.20G,ATG,ATG.AX,ATG.AX,ARTICORE GROUP LIMITED,AU0000303976,ordinary_equity,high,net_new_candidate,no_current_match,True,0.27,30/06/2026,1,1,False,False
103,v2.20G,AAJ,AAJ.AX,AAJ.AX,ARUMA RESOURCES LIMITED,AU000000AAJ4,ordinary_equity,high,net_new_candidate,no_current_match,True,0.009,30/06/2026,1,1,False,False
104,v2.20G,AS1,AS1.AX,AS1.AX,ASARA RESOURCES LIMITED,AU0000315624,ordinary_equity,high,net_new_candidate,no_current_match,True,0.13,30/06/2026,1,1,False,False
105,v2.20G,AFA,AFA.AX,AFA.AX,ASF GROUP LIMITED,AU000000AFA2,ordinary_equity,high,net_new_candidate,no_current_match,True,0.065,30/06/2026,1,1,False,False
106,v2.20G,AS2,AS2.AX,AS2.AX,ASKARI METALS LIMITED,AU0000153256,ordinary_equity,high,net_new_candidate,no_current_match,True,0.007,30/06/2026,1,1,False,False
107,v2.20G,APZ,APZ.AX,APZ.AX,ASPEN GROUP,AU000000APZ8,ordinary_equity,high,net_new_candidate,no_current_match,True,5.21,30/06/2026,1,1,False,False
108,v2.20G,ASP,ASP.AX,ASP.AX,ASPERMONT LIMITED.,AU000000ASP3,ordinary_equity,high,net_new_candidate,no_current_match,True,1.6,30/06/2026,1,1,False,False
109,v2.20G,AKM,AKM.AX,AKM.AX,ASPIRE MINING LIMITED,AU000000AKM7,ordinary_equity,high,net_new_candidate,no_current_match,True,0.215,30/06/2026,1,1,False,False
110,v2.20G,ASV,ASV.AX,ASV.AX,ASSET VISION CO LTD,AU0000303216,ordinary_equity,high,net_new_candidate,no_current_match,True,0.039,30/06/2026,1,1,False,False
111,v2.20G,APL,APL.AX,APL.AX,ASSOCIATE GLOBAL PARTNERS LIMITED,AU0000251514,ordinary_equity,high,net_new_candidate,no_current_match,True,0.23,29/06/2026,1,1,False,False
112,v2.20G,AAR,AAR.AX,AAR.AX,ASTRAL RESOURCES NL,AU000000AAR7,ordinary_equity,high,net_new_candidate,no_current_match,True,0.11,30/06/2026,1,1,False,False
113,v2.20G,AHN,AHN.AX,AHN.AX,ATHENA RESOURCES LIMITED,AU000000AHN1,ordinary_equity,high,net_new_candidate,no_current_match,True,0.003,30/06/2026,1,1,False,False
114,v2.20G,ATP,ATP.AX,ATP.AX,ATLAS PEARLS LTD,AU000000ATP1,ordinary_equity,high,net_new_candidate,no_current_match,True,0.083,30/06/2026,1,1,False,False
115,v2.20G,ATA,ATA.AX,ATA.AX,ATTURRA LIMITED,AU0000190308,ordinary_equity,high,net_new_candidate,no_current_match,True,0.465,30/06/2026,1,1,False,False
116,v2.20G,AIA,AIA.AX,AIA.AX,AUCKLAND INTERNATIONAL AIRPORT LIMITED,NZAIAE0002S6,ordinary_equity,high,net_new_candidate,no_current_match,True,6.97,30/06/2026,1,1,False,False
117,v2.20G,CYB,CYB.AX,CYB.AX,AUCYBER LIMITED,AU0000359218,ordinary_equity,high,net_new_candidate,no_current_match,True,0.04,30/06/2026,1,1,False,False
118,v2.20G,AUA,AUA.AX,AUA.AX,AUDEARA LIMITED,AU0000145807,ordinary_equity,high,net_new_candidate,no_current_match,True,0.029,30/06/2026,1,1,False,False
119,v2.20G,AD8,AD8.AX,AD8.AX,AUDINATE GROUP LIMITED,AU000000AD88,ordinary_equity,high,net_new_candidate,no_current_match,True,2.43,30/06/2026,1,1,False,False
120,v2.20G,AUG,AUG.AX,AUG.AX,AUGUSTUS MINERALS LIMITED,AU0000276453,ordinary_equity,high,net_new_candidate,no_current_match,True,0.035,30/06/2026,1,1,False,False
121,v2.20G,AKN,AKN.AX,AKN.AX,AUKING MINING LIMITED,AU000000AKN5,ordinary_equity,high,net_new_candidate,no_current_match,True,0.02,30/06/2026,1,1,False,False
122,v2.20G,AAM,AAM.AX,AAM.AX,AUMEGA METALS LTD,AU0000338311,ordinary_equity,high,net_new_candidate,no_current_match,True,0.035,30/06/2026,1,1,False,False
123,v2.20G,AXQ,AXQ.AX,AXQ.AX,"AURA CONSOLIDATED GROUP, INC.",AU0000473464,ordinary_or_equity_like_unclassified,medium,net_new_candidate,no_current_match,False,,,1,1,False,False
124,v2.20G,AUV,AUV.AX,AUV.AX,AURAVELLE METALS LIMITED,AU0000418154,ordinary_equity,high,net_new_candidate,no_current_match,True,0.009,30/06/2026,1,1,False,False
125,v2.20G,AWJ,AWJ.AX,AWJ.AX,AURIC MINING LIMITED,AU0000121113,ordinary_equity,high,net_new_candidate,no_current_match,True,0.235,30/06/2026,1,1,False,False
126,v2.20G,AZJ,AZJ.AX,AZJ.AX,AURIZON HOLDINGS LIMITED,AU000000AZJ1,ordinary_equity,high,net_new_candidate,no_current_match,True,4.18,30/06/2026,1,1,False,False
127,v2.20G,A3D,A3D.AX,A3D.AX,AURORA LABS LIMITED,AU000000A3D7,ordinary_equity,high,net_new_candidate,no_current_match,True,0.051,30/06/2026,1,1,False,False
128,v2.20G,AUE,AUE.AX,AUE.AX,AURUM RESOURCES LIMITED,AU0000173478,ordinary_equity,high,net_new_candidate,no_current_match,True,0.52,30/06/2026,1,1,False,False
129,v2.20G,AOA,AOA.AX,AOA.AX,AUSMON RESOURCES LIMITED,AU000000AOA4,ordinary_equity,high,net_new_candidate,no_current_match,True,0.001,26/06/2026,1,1,False,False
130,v2.20G,AQD,AQD.AX,AQD.AX,AUSQUEST LIMITED,AU000000AQD3,ordinary_equity,high,net_new_candidate,no_current_match,True,0.04,30/06/2026,1,1,False,False
131,v2.20G,AHC,AHC.AX,AHC.AX,AUSTCO HEALTHCARE LIMITED,AU0000120818,ordinary_equity,high,net_new_candidate,no_current_match,True,0.25,30/06/2026,1,1,False,False
132,v2.20G,ANG,ANG.AX,ANG.AX,AUSTIN ENGINEERING LIMITED,AU000000ANG3,ordinary_equity,high,net_new_candidate,no_current_match,True,0.14,30/06/2026,1,1,False,False
133,v2.20G,AYT,AYT.AX,AYT.AX,AUSTIN METALS LIMITED,AU0000193682,ordinary_equity,high,net_new_candidate,no_current_match,True,0.003,30/06/2026,1,1,False,False
134,v2.20G,AR1,AR1.AX,AR1.AX,AUSTRAL RESOURCES AUSTRALIA LTD,AU0000175838,ordinary_equity,high,net_new_candidate,no_current_match,True,0.073,30/06/2026,1,1,False,False
135,v2.20G,A8G,A8G.AX,A8G.AX,AUSTRALASIAN METALS LIMITED,AU0000141137,ordinary_equity,high,net_new_candidate,no_current_match,True,0.09,30/06/2026,1,1,False,False
136,v2.20G,AYM,AYM.AX,AYM.AX,AUSTRALIA UNITED MINING LIMITED,AU000000AYM8,ordinary_equity,high,net_new_candidate,no_current_match,True,0.002,30/06/2026,1,1,False,False
137,v2.20G,AAC,AAC.AX,AAC.AX,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,AU000000AAC9,ordinary_equity,high,net_new_candidate,no_current_match,True,1.33,30/06/2026,1,1,False,False
138,v2.20G,AXX,AXX.AX,AXX.AX,AUSTRALIAN COMPETITION & CONSUMER COMMISSION,AU000000AXX7,ordinary_or_equity_like_unclassified,medium,net_new_candidate,no_current_match,False,,,1,1,False,False
139,v2.20G,AHF,AHF.AX,AHF.AX,AUSTRALIAN DAIRY NUTRITIONALS LIMITED,AU000000AHF7,ordinary_equity,high,net_new_candidate,no_current_match,True,0.018,30/06/2026,1,1,False,False
140,v2.20G,AFI,AFI.AX,AFI.AX,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,AU000000AFI5,listed_investment_vehicle_conditional,medium,net_new_candidate,no_current_match,True,7.05,30/06/2026,1,1,False,False
141,v2.20G,AGC,AGC.AX,AGC.AX,AUSTRALIAN GOLD AND COPPER LTD,AU0000122194,ordinary_equity,high,net_new_candidate,no_current_match,True,0.12,30/06/2026,1,1,False,False
142,v2.20G,AUZ,AUZ.AX,AUZ.AX,AUSTRALIAN MINES LIMITED,AU000000AUZ8,ordinary_equity,high,net_new_candidate,no_current_match,True,0.021,30/06/2026,1,1,False,False
143,v2.20G,AOK,AOK.AX,AOK.AX,AUSTRALIAN OIL COMPANY LIMITED.,AU0000348658,ordinary_equity,high,net_new_candidate,no_current_match,True,0.002,30/06/2026,1,1,False,False
