path,category,old_ref_forward_count,old_ref_backslash_count,old_ref_total_count,new_ref_forward_count,new_ref_backslash_count,new_ref_total_count,recommended_action,planned_update_in_v220p
outputs\full_universe_source_acquisition\asx_canonical_promotion_dry_run_sha_controls_v2_20l.csv,historical_phase_artifact,0,1,1,0,1,1,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_canonical_promotion_dry_run_summary_v2_20l.csv,historical_phase_artifact,0,1,1,0,1,1,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_canonical_promotion_dry_run_v2_20l.md,historical_phase_artifact,0,1,1,0,3,3,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_canonical_promotion_execution_plan_v2_20k.csv,historical_phase_artifact,0,0,0,0,3,3,no_old_pointer_reference_detected,False
outputs\full_universe_source_acquisition\asx_canonical_promotion_plan_checks_v2_20k.csv,historical_phase_artifact,0,0,0,0,1,1,no_old_pointer_reference_detected,False
outputs\full_universe_source_acquisition\asx_canonical_promotion_plan_summary_v2_20k.csv,historical_phase_artifact,0,2,2,0,1,1,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_canonical_promotion_plan_v2_20k.md,historical_phase_artifact,0,0,0,0,2,2,no_old_pointer_reference_detected,False
outputs\full_universe_source_acquisition\asx_canonical_promotion_rollback_plan_v2_20k.csv,historical_phase_artifact,0,1,1,0,1,1,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_closure_report_summary_v2_20i.csv,historical_phase_artifact,0,1,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_controlled_promoted_file_creation_checks_v2_20m.csv,historical_phase_artifact,0,1,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_controlled_promoted_file_creation_copy_controls_v2_20m.csv,historical_phase_artifact,0,0,0,0,3,3,no_old_pointer_reference_detected,False
outputs\full_universe_source_acquisition\asx_controlled_promoted_file_creation_manifest_v2_20m.csv,historical_phase_artifact,0,1,1,0,1,1,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_controlled_promoted_file_creation_rollback_controls_v2_20m.csv,historical_phase_artifact,0,1,1,0,1,1,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_controlled_promoted_file_creation_summary_v2_20m.csv,historical_phase_artifact,0,1,1,0,1,1,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_controlled_promoted_file_creation_v2_20m.md,historical_phase_artifact,0,2,2,0,5,5,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_promoted_canonical_validation_artifact_manifest_v2_20n.csv,historical_phase_artifact,0,1,1,0,1,1,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_promoted_canonical_validation_checks_v2_20n.csv,historical_phase_artifact,0,1,1,0,1,1,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_promoted_canonical_validation_rollback_controls_v2_20n.csv,historical_phase_artifact,0,1,1,0,1,1,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_promoted_canonical_validation_summary_v2_20n.csv,historical_phase_artifact,0,1,1,0,1,1,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\asx_promoted_canonical_validation_v2_20n.md,historical_phase_artifact,0,2,2,0,3,3,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\deutsche_boerse_xetra_expanded_validation_v2_14f.md,historical_phase_artifact,0,1,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\euronext_acquisition_plan_v2_15b.json,historical_phase_artifact,1,0,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\euronext_acquisition_plan_v2_15b.md,historical_phase_artifact,1,0,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\euronext_candidate_extraction_dry_run_v2_15f.json,historical_phase_artifact,2,0,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\euronext_candidate_extraction_dry_run_v2_15f.md,historical_phase_artifact,2,0,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\euronext_closure_report_v2_15g.json,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\euronext_closure_report_v2_15g.md,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\euronext_controlled_endpoint_probe_v2_15f3.json,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\euronext_controlled_endpoint_probe_v2_15f3.md,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\euronext_endpoint_candidate_extraction_dry_run_v2_15f5.json,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\euronext_endpoint_candidate_extraction_dry_run_v2_15f5.md,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\euronext_endpoint_payload_shape_validation_v2_15f4.json,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\euronext_endpoint_payload_shape_validation_v2_15f4.md,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\euronext_extraction_strategy_revision_v2_15f2.json,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\euronext_extraction_strategy_revision_v2_15f2.md,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\euronext_raw_acquisition_manifest_v2_15c.json,historical_phase_artifact,1,0,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\euronext_raw_acquisition_report_v2_15c.md,historical_phase_artifact,1,0,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\euronext_rebuild_candidate_prep_v2_15e.json,historical_phase_artifact,2,0,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\euronext_rebuild_candidate_prep_v2_15e.md,historical_phase_artifact,2,0,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\euronext_validation_v2_15d.json,historical_phase_artifact,1,0,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\euronext_validation_v2_15d.md,historical_phase_artifact,1,0,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\hkex_candidate_validation_against_canonical_dry_run_dataset_index_summary_v2_19o.csv,historical_phase_artifact,0,1,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\hkex_closure_report_dataset_summary_v2_19r.csv,historical_phase_artifact,0,1,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\hkex_closure_report_v2_19r.md,historical_phase_artifact,0,1,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\hkex_expanded_rebuild_candidate_rowcount_audit_v2_19p.csv,historical_phase_artifact,0,1,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\hkex_expanded_rebuild_candidate_v2_19p.md,historical_phase_artifact,0,1,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\hkex_expanded_validation_rowcount_v2_19q.csv,historical_phase_artifact,0,1,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\krx_acquisition_plan_checks_v2_19b.csv,historical_phase_artifact,0,1,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\krx_acquisition_plan_v2_19b.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\next_provider_route_selection_checks_v2_19a.csv,historical_phase_artifact,0,1,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\next_provider_route_selection_v2_17a.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\next_provider_route_selection_v2_18a.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\next_provider_route_selection_v2_19a.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\next_provider_route_v2_15a.json,historical_phase_artifact,1,0,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\next_provider_route_v2_15a.md,historical_phase_artifact,1,0,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\nse_india_acquisition_plan_v2_17b.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\nse_india_candidate_extraction_dry_run_v2_17e.json,historical_phase_artifact,1,0,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\nse_india_candidate_extraction_dry_run_v2_17e.md,historical_phase_artifact,1,0,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\nse_india_candidate_validation_against_canonical_dry_run_v2_17f.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\nse_india_candidate_validation_canonical_profile_v2_17f.csv,historical_phase_artifact,0,1,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\nse_india_closure_artifacts_v2_17i.csv,historical_phase_artifact,0,1,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\nse_india_closure_report_v2_17i.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\nse_india_expanded_rebuild_candidate_v2_17g.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\nse_india_expanded_validation_dataset_profile_v2_17h.csv,historical_phase_artifact,0,1,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\nse_india_expanded_validation_v2_17h.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\nse_india_raw_acquisition_v2_17c.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\nse_india_raw_validation_v2_17d.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\tmx_acquisition_plan_v2_16b.json,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\tmx_acquisition_plan_v2_16b.md,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\tmx_candidate_extraction_dry_run_v2_16e.json,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\tmx_candidate_extraction_dry_run_v2_16e.md,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\tmx_candidate_validation_against_canonical_v2_16f.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\tmx_closure_report_v2_16i.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\tmx_controlled_endpoint_probe_v2_16d2.json,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\tmx_controlled_endpoint_probe_v2_16d2.md,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\tmx_expanded_rebuild_candidate_v2_16g.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\tmx_expanded_validation_profile_v2_16h.csv,historical_phase_artifact,0,1,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\tmx_expanded_validation_row_checks_v2_16h.csv,historical_phase_artifact,0,1,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\tmx_expanded_validation_v2_16h.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\tmx_provider_route_confirmation_v2_16a.json,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\tmx_provider_route_confirmation_v2_16a.md,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\tmx_raw_acquisition_manifest_v2_16c.json,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\tmx_raw_acquisition_manifest_v2_16c.md,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\tmx_validation_v2_16d.json,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\tmx_validation_v2_16d.md,historical_phase_artifact,3,0,3,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\twse_tpex_acquisition_plan_v2_18b.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\twse_tpex_candidate_validation_against_canonical_dry_run_v2_18f.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\twse_tpex_candidate_validation_canonical_profile_v2_18f.csv,historical_phase_artifact,0,1,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\twse_tpex_expanded_rebuild_candidate_v2_18g.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\twse_tpex_expanded_validation_issue_audit_v2_18h.csv,historical_phase_artifact,0,1,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\twse_tpex_expanded_validation_profile_v2_18h.csv,historical_phase_artifact,0,1,1,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\twse_tpex_expanded_validation_v2_18h.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\twse_tpex_raw_acquisition_repair_v2_18c_fix.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\twse_tpex_raw_acquisition_v2_18c.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\twse_tpex_raw_validation_v2_18d.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
outputs\full_universe_source_acquisition\twse_tpex_repaired_raw_validation_v2_18d_fix.md,historical_phase_artifact,0,2,2,0,0,0,do_not_update_historical_reference,False
README.md,documentation_reference,1,0,1,0,0,0,review_documentation_reference_before_update,False
scripts\asx_active_pointer_update_plan_v2_20p.py,historical_phase_script,1,0,1,1,0,1,do_not_update_historical_reference,False
scripts\documentation_canonical_dataset_path_v2_14i.py,historical_phase_script,1,0,1,0,0,0,do_not_update_historical_reference,False
scripts\eol_guard_v2_14k.py,historical_phase_script,2,0,2,0,0,0,do_not_update_historical_reference,False
scripts\euronext_acquisition_plan_v2_15b.py,historical_phase_script,1,0,1,0,0,0,do_not_update_historical_reference,False
scripts\euronext_candidate_extraction_dry_run_v2_15f.py,historical_phase_script,1,0,1,0,0,0,do_not_update_historical_reference,False
scripts\euronext_closure_report_v2_15g.py,historical_phase_script,1,0,1,0,0,0,do_not_update_historical_reference,False
scripts\euronext_controlled_endpoint_probe_v2_15f3.py,historical_phase_script,1,0,1,0,0,0,do_not_update_historical_reference,False
scripts\euronext_endpoint_candidate_extraction_dry_run_v2_15f5.py,historical_phase_script,1,0,1,0,0,0,do_not_update_historical_reference,False
scripts\euronext_endpoint_payload_shape_validation_v2_15f4.py,historical_phase_script,1,0,1,0,0,0,do_not_update_historical_reference,False
scripts\euronext_extraction_strategy_revision_v2_15f2.py,historical_phase_script,1,0,1,0,0,0,do_not_update_historical_reference,False
scripts\euronext_raw_acquisition_v2_15c.py,historical_phase_script,1,0,1,0,0,0,do_not_update_historical_reference,False
scripts\euronext_rebuild_candidate_prep_v2_15e.py,historical_phase_script,1,0,1,0,0,0,do_not_update_historical_reference,False
scripts\euronext_validation_v2_15d.py,historical_phase_script,1,0,1,0,0,0,do_not_update_historical_reference,False
scripts\next_provider_route_v2_15a.py,historical_phase_script,1,0,1,0,0,0,do_not_update_historical_reference,False
scripts\nse_india_candidate_extraction_dry_run_v2_17e.py,historical_phase_script,2,0,2,0,0,0,do_not_update_historical_reference,False
scripts\post_closure_integrity_test_v2_14j.py,historical_phase_script,1,0,1,0,0,0,do_not_update_historical_reference,False
scripts\tmx_acquisition_plan_v2_16b.py,historical_phase_script,1,0,1,0,0,0,do_not_update_historical_reference,False
scripts\tmx_candidate_extraction_dry_run_v2_16e.py,historical_phase_script,1,0,1,0,0,0,do_not_update_historical_reference,False
scripts\tmx_controlled_endpoint_probe_v2_16d2.py,historical_phase_script,1,0,1,0,0,0,do_not_update_historical_reference,False
scripts\tmx_provider_route_confirmation_v2_16a.py,historical_phase_script,1,0,1,0,0,0,do_not_update_historical_reference,False
scripts\tmx_raw_acquisition_v2_16c.py,historical_phase_script,1,0,1,0,0,0,do_not_update_historical_reference,False
scripts\tmx_validation_v2_16d.py,historical_phase_script,1,0,1,0,0,0,do_not_update_historical_reference,False
VERSION.md,documentation_reference,1,0,1,0,0,0,review_documentation_reference_before_update,False
