row_number,local_code_raw_text,company_name,market_segment,industry,source_date
303,1867,UEKI CORPORATION,Standard Market(Domestic),2050,20260630
304,186A,Astroscale Holdings Inc.,Growth Market(Domestic),9050,20260630
305,1870,"YAHAGI CONSTRUCTION CO.,LTD.",Prime Market (Domestic),2050,20260630
306,1871,"PS Construction Co.,Ltd.",Prime Market (Domestic),2050,20260630
307,1873,"NIHON HOUSE HOLDINGS CO.,LTD.",Prime Market (Domestic),2050,20260630
308,1878,"DAITO TRUST CONSTRUCTION CO.,LTD.",Prime Market (Domestic),8050,20260630
309,1879,SHINNIHON CORPORATION,Prime Market (Domestic),2050,20260630
310,1882,TOA ROAD CORPORATION,Prime Market (Domestic),2050,20260630
311,1885,TOA CORPORATION,Prime Market (Domestic),2050,20260630
312,1887,JDC CORPORATION,Prime Market (Domestic),2050,20260630
313,1888,"WAKACHIKU CONSTRUCTION CO.,LTD.",Prime Market (Domestic),2050,20260630
315,1893,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",Prime Market (Domestic),2050,20260630
316,1897,"The Kaneshita Construction Co.,Ltd.",Standard Market(Domestic),2050,20260630
317,1898,"SEIKITOKYU KOGYO CO.,LTD.",Prime Market (Domestic),2050,20260630
318,1899,FUKUDA CORPORATION,Prime Market (Domestic),2050,20260630
319,189A,"D&M COMPANY CO.,LTD",Growth Market(Domestic),9050,20260630
320,1904,"TAISEI ONCHO CO.,LTD.",Standard Market(Domestic),2050,20260630
321,1905,TENOX CORPORATION,Standard Market(Domestic),2050,20260630
322,1909,"Nippon Dry-Chemical CO.,LTD.",Standard Market(Domestic),3600,20260630
323,190A,Chordia Therapeutics Inc.,Growth Market(Domestic),3250,20260630
324,1911,"Sumitomo Forestry Co.,Ltd.",Prime Market (Domestic),2050,20260630
325,1914,"JAPAN FOUNDATION ENGINEERING CO.,LTD.",Standard Market(Domestic),2050,20260630
327,1921,TOMOE CORPORATION,Standard Market(Domestic),2050,20260630
328,1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",Prime Market (Domestic),2050,20260630
329,1926,"RAITO KOGYO CO.,LTD.",Prime Market (Domestic),2050,20260630
330,1928,"Sekisui House,Ltd.",Prime Market (Domestic),2050,20260630
331,1929,"NITTOC CONSTRUCTION CO.,LTD.",Prime Market (Domestic),2050,20260630
332,192A,Integroup Inc.,Growth Market(Domestic),9050,20260630
333,1930,"HOKURIKU ELECTRICAL CONSTRUCTION CO.,LTD.",Prime Market (Domestic),2050,20260630
334,1934,YURTEC CORPORATION,Prime Market (Domestic),2050,20260630
335,1938,"NIPPON RIETEC CO.,LTD.",Prime Market (Domestic),2050,20260630
336,1939,YONDENKO CORPORATION,Prime Market (Domestic),2050,20260630
337,1941,CHUDENKO CORPORATION,Prime Market (Domestic),2050,20260630
338,1942,"KANDENKO CO.,LTD.",Prime Market (Domestic),2050,20260630
339,1944,KINDEN CORPORATION,Prime Market (Domestic),2050,20260630
340,1945,TOKYO ENERGY & SYSTEMS INC.,Prime Market (Domestic),2050,20260630
341,1946,TOENEC CORPORATION,Prime Market (Domestic),2050,20260630
342,1948,"The Kodensha,Co.,Ltd.",Standard Market(Domestic),2050,20260630
343,194A,"WOLVES HAND Co.,Ltd.",Growth Market(Domestic),9050,20260630
344,1950,"NIPPON DENSETSU KOGYO CO.,LTD.",Prime Market (Domestic),2050,20260630
345,1951,"EXEO Group,Inc.",Prime Market (Domestic),2050,20260630
346,1952,"Shin Nippon Air Technologies Co.,Ltd.",Prime Market (Domestic),2050,20260630
347,1959,KRAFTIA CORPORATION,Prime Market (Domestic),2050,20260630
348,195A,MUSCAT GROUP Inc.,Growth Market(Domestic),9050,20260630
349,1960,Sanyo Engineering & Construction Inc.,Standard Market(Domestic),2050,20260630
350,1961,"SANKI ENGINEERING CO.,LTD.",Prime Market (Domestic),2050,20260630
351,1963,JGC HOLDINGS CORPORATION,Prime Market (Domestic),2050,20260630
352,1964,"Chugai Ro Co.,Ltd.",Prime Market (Domestic),2050,20260630
353,1965,TECHNO RYOWA LTD.,Standard Market(Domestic),2050,20260630
354,1966,TAKADA CORPORATION,Standard Market(Domestic),2050,20260630
355,1967,YAMATO CORPORATION,Standard Market(Domestic),2050,20260630
356,1968,"TAIHEI DENGYO KAISHA,LTD.",Prime Market (Domestic),2050,20260630
357,1969,"Takasago Thermal Engineering Co.,Ltd.",Prime Market (Domestic),2050,20260630
358,196A,"MFS,Inc.",Growth Market(Domestic),7200,20260630
359,1972,"SANKO METAL INDUSTRIAL CO.,LTD.",Standard Market(Domestic),2050,20260630
360,1975,"ASAHI KOGYOSHA CO.,LTD.",Prime Market (Domestic),2050,20260630
361,1976,"MEISEI INDUSTRIAL Co.,Ltd.",Prime Market (Domestic),2050,20260630
362,1979,Taikisha Ltd.,Prime Market (Domestic),2050,20260630
363,197A,"TAUNS Laboratories,Inc.",Standard Market(Domestic),3250,20260630
364,1980,"DAI-DAN CO.,LTD.",Prime Market (Domestic),2050,20260630
365,1981,"KYOWANISSEI CO.,LTD.",Standard Market(Domestic),2050,20260630
366,1982,"Hibiya Engineering,Ltd.",Prime Market (Domestic),2050,20260630
367,198A,PostPrime Inc.,Growth Market(Domestic),5250,20260630
368,1992,"KANDA TSUSHINKI CO.,LTD.",Standard Market(Domestic),2050,20260630
369,1994,TAKAHASHI CURTAIN WALL CORPORATION,Standard Market(Domestic),2050,20260630
370,1997,"AKATSUKI EAZIMA CO.,LTD.",Standard Market(Domestic),2050,20260630
372,2001,NIPPN CORPORATION,Prime Market (Domestic),3050,20260630
373,2002,NISSHIN SEIFUN GROUP INC.,Prime Market (Domestic),3050,20260630
374,2003,"NITTO FUJI FLOUR MILLING CO.,LTD.",Standard Market(Domestic),3050,20260630
375,2004,"Showa Sangyo Co.,Ltd.",Prime Market (Domestic),3050,20260630
376,2009,"THE TORIGOE CO.,LTD.",Standard Market(Domestic),3050,20260630
408,2053,"CHUBU SHIRYO CO.,LTD.",Prime Market (Domestic),3050,20260630
409,2055,"NICHIWA SANGYO CO.,LTD.",Standard Market(Domestic),3050,20260630
410,205A,LOGOS HOLDINGS INC.,Growth Market(Domestic),2050,20260630
411,2060,"FEED ONE CO.,LTD.",Prime Market (Domestic),3050,20260630
417,206A,"PRISM BioLab Co.,LTD",Growth Market(Domestic),3250,20260630
433,208A,KOZO KEIKAKU ENGINEERING HOLDINGS Inc.,Standard Market(Domestic),5250,20260630
444,2108,"Nippon Beet Sugar Manufacturing Co.,Ltd.",Prime Market (Domestic),3050,20260630
445,2109,"Mitsui DM Sugar Co.,Ltd.",Prime Market (Domestic),3050,20260630
447,2112,"Ensuiko Sugar Refining Co.,Ltd.",Standard Market(Domestic),3050,20260630
448,2114,Fuji Nihon Corporation,Standard Market(Domestic),3050,20260630
449,2117,"WELLNEO SUGAR Co.,Ltd.",Prime Market (Domestic),3050,20260630
450,211A,Cados Corporation,Standard Market(Domestic),2050,20260630
451,2120,"LIFULL Co.,Ltd.",Prime Market (Domestic),9050,20260630
452,2121,"MIXI,Inc.",Prime Market (Domestic),5250,20260630
453,2122,"Interspace Co.,Ltd.",Standard Market(Domestic),9050,20260630
454,2124,"JAC Recruitment Co.,Ltd.",Prime Market (Domestic),9050,20260630
455,2127,Nihon M&A Center Holdings Inc.,Prime Market (Domestic),9050,20260630
456,212A,FIT EASY Inc.,Prime Market (Domestic),9050,20260630
457,2130,"Members Co.,Ltd.",Prime Market (Domestic),9050,20260630
458,2134,"Kitahama Capital Partners Co.,Ltd.",Standard Market(Domestic),9050,20260630
459,2136,HIP CORPORATION,Standard Market(Domestic),9050,20260630
460,2138,"CROOZ,Inc.",Standard Market(Domestic),5250,20260630
461,2139,"CHUCO CO.,LTD.",Standard Market(Domestic),9050,20260630
463,2146,"UT Group Co.,Ltd.",Prime Market (Domestic),9050,20260630
464,2148,ITmedia Inc.,Prime Market (Domestic),9050,20260630
465,2152,Youji Corporation,Standard Market(Domestic),9050,20260630
466,2153,E・J Holdings Inc.,Prime Market (Domestic),9050,20260630
467,2154,Open Up Group Inc.,Prime Market (Domestic),9050,20260630
468,2156,SAYLOR ADVERTISING INC.,Standard Market(Domestic),9050,20260630
469,2157,"KOSHIDAKA HOLDINGS Co.,LTD.",Prime Market (Domestic),9050,20260630
470,2158,"FRONTEO,Inc.",Growth Market(Domestic),9050,20260630
471,215A,"Timee,Inc.",Growth Market(Domestic),9050,20260630
472,2160,GNI Group Ltd.,Growth Market(Domestic),3250,20260630
473,2162,nms Holdings Corporation,Standard Market(Domestic),9050,20260630
474,2163,"ARTNER CO.,LTD.",Prime Market (Domestic),9050,20260630
475,2164,"CHIIKISHINBUNSHA CO.,LTD.",Standard Market(Domestic),9050,20260630
476,2168,Pasona Group Inc.,Prime Market (Domestic),9050,20260630
477,2169,"CDS Co.,Ltd.",Standard Market(Domestic),9050,20260630
479,2170,Link and Motivation Inc.,Prime Market (Domestic),9050,20260630
480,2173,Hakuten Corporation,Growth Market(Domestic),9050,20260630
481,2175,"SMS CO.,LTD.",Prime Market (Domestic),9050,20260630
482,2179,"SEIGAKUSHA CO.,LTD.",Standard Market(Domestic),9050,20260630
484,2180,SUNNY SIDE UP GROUP Inc.,Standard Market(Domestic),9050,20260630
485,2181,"PERSOL HOLDINGS CO.,LTD.",Prime Market (Domestic),9050,20260630
486,2183,"Linical Co.,Ltd.",Standard Market(Domestic),9050,20260630
487,2185,CMC CORPORATION,Standard Market(Domestic),9050,20260630
488,2186,Sobal Corporation,Standard Market(Domestic),9050,20260630
489,218A,"Liberaware Co.,Ltd.",Growth Market(Domestic),3750,20260630
490,2193,Cookpad Inc.,Standard Market(Domestic),9050,20260630
491,2195,"AMITA HOLDINGS CO.,LTD.",Growth Market(Domestic),9050,20260630
492,2198,IKK Holdings Inc.,Prime Market (Domestic),9050,20260630
493,219A,Heartseed Inc.,Growth Market(Domestic),3250,20260630
494,2201,"Morinaga & Co.,Ltd.",Prime Market (Domestic),3050,20260630
495,2204,"NAKAMURAYA CO.,LTD.",Standard Market(Domestic),3050,20260630
496,2206,"Ezaki Glico Co.,Ltd.",Prime Market (Domestic),3050,20260630
497,2207,"MEITO CO.,LTD.",Prime Market (Domestic),3050,20260630
498,2208,BOURBON CORPORATION,Standard Market(Domestic),3050,20260630
499,2209,"IMURAYA GROUP CO.,LTD.",Prime Market (Domestic),3050,20260630
500,220A,Faber Company Inc.,Standard Market(Domestic),5250,20260630
501,2211,"Fujiya Co.,Ltd.",Prime Market (Domestic),3050,20260630
502,2212,"YAMAZAKI BAKING CO.,LTD.",Prime Market (Domestic),3050,20260630
503,2215,"FIRST BAKING CO.,LTD.",Standard Market(Domestic),3050,20260630
504,2216,Kanro Inc.,Standard Market(Domestic),3050,20260630
505,2217,Morozoff Limited,Prime Market (Domestic),3050,20260630
507,2220,"KAMEDA SEIKA CO.,LTD.",Prime Market (Domestic),3050,20260630
508,2221,"IWATSUKA CONFECTIONERY CO.,LTD.",Standard Market(Domestic),3050,20260630
509,2222,"Kotobuki Spirits Co.,Ltd.",Prime Market (Domestic),3050,20260630
510,2224,"COMO CO.,LTD.",Standard Market(Domestic),3050,20260630
511,2226,KOIKE-YA Inc.,Standard Market(Domestic),3050,20260630
512,2229,"CALBEE,Inc.",Prime Market (Domestic),3050,20260630
540,2264,"MORINAGA MILK INDUSTRY CO.,LTD.",Prime Market (Domestic),3050,20260630
541,2266,"ROKKO BUTTER CO.,LTD.",Prime Market (Domestic),3050,20260630
542,2267,"YAKULT HONSHA CO.,LTD.",Prime Market (Domestic),3050,20260630
543,2268,"B-R 31 ICE CREAM CO.,LTD.",Standard Market(Domestic),3050,20260630
544,2269,"Meiji Holdings Co.,Ltd.",Prime Market (Domestic),3050,20260630
546,2270,"MEGMILK SNOW BRAND Co.,Ltd.",Prime Market (Domestic),3050,20260630
548,2281,"Prima Meat Packers,Ltd.",Prime Market (Domestic),3050,20260630
549,2282,NH Foods Ltd.,Prime Market (Domestic),3050,20260630
550,2286,"Hayashikane Sangyo Co.,Ltd.",Standard Market(Domestic),3050,20260630
551,2288,"MARUDAI FOOD CO.,LTD.",Prime Market (Domestic),3050,20260630
552,228A,"OPRO Co.,Ltd.",Growth Market(Domestic),5250,20260630
553,2291,"FUKUTOME MEAT PACKERS,LTD.",Standard Market(Domestic),3050,20260630
554,2292,S Foods Inc.,Prime Market (Domestic),3050,20260630
555,2293,"TAKIZAWA HAM CO.,LTD.",Standard Market(Domestic),3050,20260630
556,2294,"Kakiyasu Honten Co.,Ltd.",Prime Market (Domestic),3050,20260630
557,2296,ITOHAM YONEKYU HOLDINGS INC.,Prime Market (Domestic),3050,20260630
559,2300,"Kyokuto Co.,Ltd.",Standard Market(Domestic),9050,20260630
560,2301,"GAKUJO CO.,Ltd.",Prime Market (Domestic),9050,20260630
561,2303,Dawn Corporation,Standard Market(Domestic),5250,20260630
562,2304,"CSS HOLDINGS,LTD.",Standard Market(Domestic),9050,20260630
563,2305,"STUDIO ALICE Co.,Ltd.",Standard Market(Domestic),9050,20260630
564,2307,"CROSS CAT CO.,LTD.",Prime Market (Domestic),5250,20260630
565,2311,"EPCO Co.,Ltd.",Standard Market(Domestic),9050,20260630
566,2315,CAICA DIGITAL Inc.,Standard Market(Domestic),5250,20260630
567,2317,Systena Corporation,Prime Market (Domestic),5250,20260630
568,2321,Softfront Holdings,Growth Market(Domestic),5250,20260630
569,2323,fonfun corporation,Standard Market(Domestic),5250,20260630
570,2325,"NJS Co.,Ltd.",Prime Market (Domestic),9050,20260630
571,2326,Digital Arts Inc.,Prime Market (Domestic),5250,20260630
572,2327,NS Solutions Corporation,Prime Market (Domestic),5250,20260630
573,2329,TOHOKUSHINSHA FILM CORPORATION,Standard Market(Domestic),5250,20260630
574,2330,"Forside Co.,Ltd.",Standard Market(Domestic),5250,20260630
575,2331,"ALSOK CO.,LTD.",Prime Market (Domestic),9050,20260630
576,2332,"Quest Co.,Ltd.",Standard Market(Domestic),5250,20260630
577,2334,eole Inc.,Growth Market(Domestic),9050,20260630
578,2335,CUBE SYSTEM INC.,Prime Market (Domestic),5250,20260630
579,2337,Ichigo Inc.,Prime Market (Domestic),8050,20260630
580,2338,"Quantum Solutions Co.,Ltd.",Standard Market(Domestic),5250,20260630
582,2340,"GOKURAKUYU HOLDINGS CO.,LTD.",Standard Market(Domestic),9050,20260630
583,2341,"ARBEIT-TIMES CO.,LTD.",Standard Market(Domestic),9050,20260630
584,2342,TRANSGENIC GROUP INC.,Standard Market(Domestic),9050,20260630
585,2345,"HODL1,inc.",Standard Market(Domestic),5250,20260630
586,2349,"Nippon Information Development Co.,Ltd.",Standard Market(Domestic),5250,20260630
588,2351,ASJ INC.,Standard Market(Domestic),5250,20260630
589,2353,"NIPPON PARKING DEVELOPMENT Co.,Ltd.",Prime Market (Domestic),8050,20260630
590,2354,YE DIGITAL Corporation,Standard Market(Domestic),5250,20260630
591,2359,CORE CORPORATION,Prime Market (Domestic),5250,20260630
594,2370,"MEDINET Co.,Ltd.",Growth Market(Domestic),9050,20260630
595,2371,"Kakaku.com,Inc.",Prime Market (Domestic),9050,20260630
596,2373,CARE TWENTYONE CORPORATION,Standard Market(Domestic),9050,20260630
597,2375,GiG Works Inc.,Standard Market(Domestic),9050,20260630
598,2376,SCINEX CORPORATION,Standard Market(Domestic),9050,20260630
599,2378,"RENAISSANCE,INCORPORATED",Prime Market (Domestic),9050,20260630
600,2379,dip Corporation,Prime Market (Domestic),9050,20260630
602,2384,"SBS Holdings,Inc.",Prime Market (Domestic),5050,20260630
603,2385,Soiken Holdings Inc.,Growth Market(Domestic),9050,20260630
604,2388,"Wedge Holdings CO.,LTD.",Growth Market(Domestic),7200,20260630
606,2391,"PLANET,INC.",Standard Market(Domestic),9050,20260630
607,2393,"Nippon Care Supply Co.,Ltd.",Standard Market(Domestic),9050,20260630
608,2395,"SHIN NIPPON BIOMEDICAL LABORATORIES,LTD.",Prime Market (Domestic),9050,20260630
610,2404,"TETSUJIN Holdings,Inc.",Standard Market(Domestic),9050,20260630
611,2408,"KG Intelligence CO.,LTD.",Standard Market(Domestic),9050,20260630
612,2410,"CAREER DESIGN CENTER CO.,LTD.",Prime Market (Domestic),9050,20260630
613,2411,GENDAI AGENCY INC.,Standard Market(Domestic),5250,20260630
614,2413,"M3,Inc.",Prime Market (Domestic),9050,20260630
615,2415,"Human Holdings Co.,Ltd.",Standard Market(Domestic),9050,20260630
616,2418,TSUKADA GLOBAL HOLDINGS Inc.,Standard Market(Domestic),9050,20260630
617,241A,"ROXX,inc.",Growth Market(Domestic),5250,20260630
618,2424,Brass Corporation,Standard Market(Domestic),9050,20260630
619,2425,"Care Service Co.,Ltd.",Standard Market(Domestic),9050,20260630
620,2428,WELLNET CORPORATION,Standard Market(Domestic),9050,20260630
621,2429,"WORLD HOLDINGS CO.,LTD.",Prime Market (Domestic),9050,20260630
622,2432,"DeNA Co.,Ltd.",Prime Market (Domestic),5250,20260630
623,2433,HAKUHODO DY HOLDINGS INCORPORATED,Prime Market (Domestic),9050,20260630
624,2435,"CEDAR.Co.,Ltd",Standard Market(Domestic),9050,20260630
625,2436,"KYODO PUBLIC RELATIONS CO.,LTD.",Standard Market(Domestic),9050,20260630
626,2437,"SHINWA WISE HOLDINGS CO.,LTD.",Standard Market(Domestic),9050,20260630
627,2438,"Asukanet Company,Limited",Growth Market(Domestic),9050,20260630
629,2440,"Gurunavi,Inc.",Standard Market(Domestic),9050,20260630
630,2445,"Takamiya Co.,Ltd.",Standard Market(Domestic),9050,20260630
631,2449,"PRAP Japan,Inc.",Standard Market(Domestic),9050,20260630
632,244A,"Growth xPartners,Inc.",Growth Market(Domestic),5250,20260630
634,2454,"All About,Inc.",Standard Market(Domestic),9050,20260630
635,2459,"AUN CONSULTING,Inc.",Standard Market(Domestic),9050,20260630
636,245A,INGS inc.,Growth Market(Domestic),6100,20260630
637,2461,"FAN Communications,Inc.",Prime Market (Domestic),9050,20260630
638,2462,"LIKE,Inc.",Prime Market (Domestic),9050,20260630
639,2464,"Aoba-BBT,Inc.",Standard Market(Domestic),9050,20260630
640,2469,Hibino Corporation,Standard Market(Domestic),9050,20260630
641,246A,ASUA Inc.,Growth Market(Domestic),9050,20260630
642,2471,"S-Pool,Inc.",Prime Market (Domestic),9050,20260630
643,2475,"WDB HOLDINGS CO.,LTD.",Prime Market (Domestic),9050,20260630
644,2477,"Temairazu,Inc.",Standard Market(Domestic),5250,20260630
645,2479,JTEC CORPORATION,Standard Market(Domestic),9050,20260630
646,247A,Ai ROBOTICS INC.,Growth Market(Domestic),3200,20260630
647,2480,"System Location Co.,Ltd.",Standard Market(Domestic),5250,20260630
648,2481,"TOWNNEWS-SHA CO.,LTD.",Standard Market(Domestic),9050,20260630
