asset_id,ticker,company_name,isin,wikidata_qid,fetch_status,fetch_reason,industries,non_official_source_caveat,phase,created_at_utc
U37551,ENXB,EURONEXT N.V. WI,NL0006294274,Q842108,resolved,single_wikidata_item_matched,financial services,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37552,DLY,LYONDELLBAS.IND.A,NL0009434992,Q899255,no_industry,wikidata_item_has_no_industry_property,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37553,VNX,NXP SEMICONDUCTORS,NL0009538784,Q1155668,resolved,single_wikidata_item_matched,electronics,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37554,YDX,NEBIUS GROUP CL.A,NL0009805522,Q47120756,resolved,single_wikidata_item_matched,information technology industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37555,ASME,ASML HOLDING,NL0010273215,Q297879,resolved,single_wikidata_item_matched,semiconductor industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37556,PHGN,PHARMING GRP,NL0010391025,Q30269265,resolved,single_wikidata_item_matched,biotechnology,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37557,P7V,PHOTON ENERGY NV,NL0010391108,Q41567611,resolved,single_wikidata_item_matched,energy industry;renewable energy industry;water purification,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37558,37C,CNH INDUSTRIAL,NL0010545661,,ambiguous,multiple_distinct_wikidata_items_share_isin,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37559,2NN,NN GROUP NV,NL0010773842,Q1834291,resolved,single_wikidata_item_matched,insurance industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37560,INX,IMCD N.V.,NL0010801007,Q63184341,no_industry,wikidata_item_has_no_industry_property,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37561,1AE,ARGENX SE,NL0010832176,Q63152908,resolved,single_wikidata_item_matched,biotechnology,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37562,3SQ1,A.H.T. SYNGAS TECH.,NL0010872388,,no_wikidata_match,isin_not_found_on_wikidata,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37563,AB2,ABN AMRO BANK DR/,NL0011540547,Q287471,resolved,single_wikidata_item_matched,economics of banking;financial sector;financial services,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37564,2FE,FERRARI N.V.,NL0011585146,Q22243729,resolved,single_wikidata_item_matched,automotive industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37565,AHOG,"AHOLD DELHAIZE,KON.",NL0011794037,,ambiguous,multiple_distinct_wikidata_items_share_isin,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37566,INN1,ING GROEP NV,NL0011821202,Q645708,resolved,single_wikidata_item_matched,economics of banking;financial sector;financial services,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37567,G14,SIGNIFY N.V.,NL0011821392,Q2336380,resolved,single_wikidata_item_matched,lighting,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37568,A16,ASR NEDERLAND N.V.,NL0011872643,Q297996,resolved,single_wikidata_item_matched,insurance industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37569,RDC,REDCARE PHARMACY,NL0012044747,Q26794476,resolved,single_wikidata_item_matched,pharmacy,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37570,EYX,EXOR N.V.,NL0012059018,Q1384140,resolved,single_wikidata_item_matched,financial sector,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37571,703,ALFEN N.V.,NL0012817175,Q56683055,no_industry,wikidata_item_has_no_industry_property,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37572,BSI,BE SEMICON.INDS,NL0012866412,Q48988067,no_industry,wikidata_item_has_no_industry_property,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37573,1N8,ADYEN N.V.,NL0012969182,Q4686934,resolved,single_wikidata_item_matched,mobile payment industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37574,3E1,ELASTIC N.V.,NL0013056914,Q22074922,resolved,single_wikidata_item_matched,software industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37575,AKU1,AKZO NOBEL,NL0013267909,Q50912,resolved,single_wikidata_item_matched,chemical industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37576,1TY,PROSUS NV,NL0013654783,Q67389109,resolved,single_wikidata_item_matched,investment,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37577,8TI,STELLANTIS NV,NL00150001Q9,Q97439162,resolved,single_wikidata_item_matched,automotive industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37578,0VD,UNIVERSAL MUSIC GROUP,NL0015000IY2,Q38903,resolved,single_wikidata_item_matched,music industry;phonographic industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37579,R3D,IVECO GROUP N.V.,NL0015000LU4,Q110269968,no_industry,wikidata_item_has_no_industry_property,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37580,8ZQ,FERROVIAL N.V.,NL0015001FS8,,no_wikidata_match,isin_not_found_on_wikidata,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37581,Z98,JBS N.N.,NL0015002J37,Q1676554,resolved,single_wikidata_item_matched,meatpacking industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37582,QIA,QIAGEN NV,NL0015002SN0,,no_wikidata_match,isin_not_found_on_wikidata,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37583,NW0,CSG N.V.,NL0015073TS8,,ambiguous,multiple_distinct_wikidata_items_share_isin,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37584,58H,DAVIDE CAMPARI-MIL.,NL0015435975,Q753685,resolved,single_wikidata_item_matched,beverage industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
