freeze_id,category,item,expected,actual,severity,status,evidence_path,note
RANKING-ranking_total,RANKING_COUNTS,ranking_total,1111,1111,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
RANKING-ranking_main_count,RANKING_COUNTS,ranking_main_count,318,318,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
RANKING-ranking_partial_count,RANKING_COUNTS,ranking_partial_count,373,373,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
RANKING-ranking_review_required_count,RANKING_COUNTS,ranking_review_required_count,124,124,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
RANKING-ranking_blocked_count,RANKING_COUNTS,ranking_blocked_count,270,270,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
RANKING-ranking_no_adapter_count,RANKING_COUNTS,ranking_no_adapter_count,26,26,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
GUARDRAIL-network_allowed,GUARDRAILS,network_allowed,false,false,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
GUARDRAIL-network_used,GUARDRAILS,network_used,false,false,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
GUARDRAIL-scoring_recomputed,GUARDRAILS,scoring_recomputed,false,false,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
GUARDRAIL-weights_changed,GUARDRAILS,weights_changed,false,false,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
GUARDRAIL-ranking_changed,GUARDRAILS,ranking_changed,false,false,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
GUARDRAIL-methodology_changed,GUARDRAILS,methodology_changed,false,false,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
GUARDRAIL-datasets_mutated,GUARDRAILS,datasets_mutated,false,false,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
GUARDRAIL-ui_changed,GUARDRAILS,ui_changed,false,false,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
GUARDRAIL-financial_advice_created,GUARDRAILS,financial_advice_created,false,false,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
GUARDRAIL-recommendations_created,GUARDRAILS,recommendations_created,false,false,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
GUARDRAIL-broker_actions_allowed,GUARDRAILS,broker_actions_allowed,false,false,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
GUARDRAIL-final_publication_declared,GUARDRAILS,final_publication_declared,false,false,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
TRACE-CATEGORY-SOURCE_PHASE_STATUS,SOURCE_COVERAGE,SOURCE_PHASE_STATUS,present,present,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_matrix_v2_38ch.csv,No action required.
TRACE-CATEGORY-RANKING_COUNTS,SOURCE_COVERAGE,RANKING_COUNTS,present,present,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_matrix_v2_38ch.csv,No action required.
TRACE-CATEGORY-GUARDRAILS,SOURCE_COVERAGE,GUARDRAILS,present,present,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_matrix_v2_38ch.csv,No action required.
TRACE-CATEGORY-DOCUMENTATION,SOURCE_COVERAGE,DOCUMENTATION,present,present,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_matrix_v2_38ch.csv,No action required.
TRACE-CATEGORY-TRACEABILITY,SOURCE_COVERAGE,TRACEABILITY,present,present,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_matrix_v2_38ch.csv,No action required.
TRACE-CATEGORY-RISK_REGISTER,SOURCE_COVERAGE,RISK_REGISTER,present,present,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_matrix_v2_38ch.csv,No action required.
TRACE-CATEGORY-ENVIRONMENT_WARNINGS,SOURCE_COVERAGE,ENVIRONMENT_WARNINGS,present,present,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_matrix_v2_38ch.csv,No action required.
TRACE-CATEGORY-PACKAGING,SOURCE_COVERAGE,PACKAGING,present,present,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_matrix_v2_38ch.csv,No action required.
TRACE-CATEGORY-FREEZE_READINESS,SOURCE_COVERAGE,FREEZE_READINESS,present,present,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_matrix_v2_38ch.csv,No action required.
NEXT-001,HANDOFF,next phase declared,v2.38CJ-release-handoff,v2.38CJ-release-handoff,FAIL,PASS,config/freeze_candidate_version_contract_v2_38ci.json,No action required.
PUBLICATION-001,PUBLICATION,final publication not declared,false,false,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
