row_number,isin,reason
37995,US5705351048,disagreeing_names_across_openfigi_records
38003,US57776J1007,disagreeing_names_across_openfigi_records
38004,US5801351017,disagreeing_names_across_openfigi_records
38041,US6516391066,disagreeing_names_across_openfigi_records
38043,US65336K1034,disagreeing_names_across_openfigi_records
38059,US68236H2040,disagreeing_names_across_openfigi_records
38065,US6876041087,disagreeing_names_across_openfigi_records
38083,US70450Y1038,disagreeing_names_across_openfigi_records
38089,US71424F1057,disagreeing_names_across_openfigi_records
38091,US7181721090,disagreeing_names_across_openfigi_records
38097,US7310681025,disagreeing_names_across_openfigi_records
38102,US7427181091,disagreeing_names_across_openfigi_records
38107,US74624M1027,disagreeing_names_across_openfigi_records
38120,US7587501039,disagreeing_names_across_openfigi_records
38123,US7595091023,disagreeing_names_across_openfigi_records
38128,US7672921050,disagreeing_names_across_openfigi_records
38147,US79466L3024,disagreeing_names_across_openfigi_records
38150,US8168511090,disagreeing_names_across_openfigi_records
38162,US83304A1060,disagreeing_names_across_openfigi_records
38163,US8334451098,disagreeing_names_across_openfigi_records
38166,US83418M1036,disagreeing_names_across_openfigi_records
38170,US84472E1029,disagreeing_names_across_openfigi_records
38176,US8592411016,disagreeing_names_across_openfigi_records
38183,US87162W1009,disagreeing_names_across_openfigi_records
38192,US88023B1035,disagreeing_names_across_openfigi_records
38193,US88023U1016,disagreeing_names_across_openfigi_records
38251,US92537N1081,disagreeing_names_across_openfigi_records
38258,US92840M1027,disagreeing_names_across_openfigi_records
38273,US9604131022,disagreeing_names_across_openfigi_records
38288,US98980L1017,disagreeing_names_across_openfigi_records
