asset_id,ticker,company_name,country,search_key,gleif_lookup_status,gleif_lookup_reason,lei,gleif_legal_name,national_registration_number,entity_status,query_strategy,phase,created_at_utc
U14563,MARIv,Marinomed Biotech AG,AT,MARINOMED BIOTECH,resolved,exact_single_gleif_match_country_scoped,529900GN3B1EN80XF405,Marinomed Biotech AG,276819m,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U15459,PYTv,POLYTEC Holding AG,AT,POLYTEC HOLDING,resolved,exact_single_gleif_match_country_scoped,529900OVSOBJNXZACW81,POLYTEC Holding AG,197646g,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U15548,RBIv,Raiffeisen Bank International AG,AT,RAIFFEISEN BANK INTERNATIONAL,resolved,exact_single_gleif_match_country_scoped,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,122119m,ACTIVE,first_two_words,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U15608,RHIMl,RHI Magnesita GmbH,AT,RHI MAGNESITA,resolved,exact_single_gleif_match_country_scoped,529900WGC4S05ZFDUW97,RHI Magnesita GmbH,442121d,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U15657,ROSv,Rosenbauer International AG,AT,ROSENBAUER INTERNATIONAL,resolved,exact_single_gleif_match_country_scoped,529900DS2PAVS3K9RV51,Rosenbauer International AG,78543f,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U16705,TKAv,Telekom Austria Aktiengesellschaft,AT,TELEKOM AUSTRIA,resolved,exact_single_gleif_match_country_scoped,529900KCNFQU5OJH7L33,Telekom Austria Aktiengesellschaft,144477t,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U16889,UBSv,UBM Development AG,AT,UBM DEVELOPMENT,resolved,exact_single_gleif_match_country_scoped,529900IWRUBPP2VNQB05,UBM Development AG,100059x,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U17284,VERv,VERBUND AG,AT,VERBUND,resolved,exact_single_gleif_match_country_scoped,5299006UDSEJCTTEJS30,VERBUND AG,76023z,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U17344,VIGk,VIENNA INSURANCE GROUP AG Wiener Versicherung Gruppe,AT,VIENNA INSURANCE GROUP AG WIENER VERSICHERUNG GRUPPE,resolved,exact_single_gleif_match_country_scoped,549300JCRU23I1THU176,VIENNA INSURANCE GROUP AG Wiener Versicherung Gruppe,75687f,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U17670,WOLv,Wolford Aktiengesellschaft,AT,WOLFORD,resolved,exact_single_gleif_match_country_scoped,529900CPC3UZMJ3DTN75,Wolford Aktiengesellschaft,68605s,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U18385,ZAGv,Zumtobel Group AG,AT,ZUMTOBEL GROUP,resolved,exact_single_gleif_match_country_scoped,529900IIODYNYAZ2ID26,Zumtobel Group AG,62309g,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U20730,ACAGv,AUSTRIACARD HOLDINGS AG,AT,AUSTRIACARD HOLDINGS,resolved,exact_single_gleif_match_country_scoped,529900QI445M00DK4407,AUSTRIACARD HOLDINGS AG,352889f,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U21522,ATHv,ATHOS Immobilien Aktiengesellschaft,AT,ATHOS IMMOBILIEN,resolved,exact_single_gleif_match_country_scoped,5299007DTNO3X7V1O735,ATHOS Immobilien Aktiengesellschaft,89120i,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U21786,BHDv,Burgenland Holding Aktiengesellschaft,AT,BURGENLAND HOLDING,resolved,exact_single_gleif_match_country_scoped,529900A6YC3XCIFPE972,Burgenland Holding Aktiengesellschaft,126613x,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U21827,BIOv,Biogena Group Invest AG,AT,BIOGENA GROUP INVEST,resolved,exact_single_gleif_match_country_scoped,529900PBIL9QEPDLDJ16,Biogena Group Invest AG,525839v,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U21858,BKSv,BKS Bank AG,AT,BKS BANK,resolved,exact_single_gleif_match_country_scoped,529900B9P29R8W03IX88,BKS Bank AG,91810s,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U22440,CLENv,CLEEN Energy AG,AT,CLEEN ENERGY,resolved,exact_single_gleif_match_country_scoped,529900DPJNP0QBXB5494,CLEEN Energy AG,460107d,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U24239,GAGSv,Gurktaler Aktiengesellschaft,AT,GURKTALER,resolved,exact_single_gleif_match_country_scoped,529900Q07WXVH9B1PP64,Gurktaler Aktiengesellschaft,389840w,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U24712,HEDv,Maschinenfabrik Heid Aktiengesellschaft,AT,MASCHINENFABRIK HEID,resolved,exact_single_gleif_match_country_scoped,529900LSSXQBKFUWPG42,Maschinenfabrik Heid Aktiengesellschaft,65343v,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U26076,LTHv,LINZ TEXTIL HOLDING AG,AT,LINZ TEXTIL HOLDING,resolved,exact_single_gleif_match_country_scoped,529900TR0K86WYPDQW04,LINZ TEXTIL HOLDING AG,75631y,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U26198,MANv,Josef Manner & Comp. Aktiengesellschaft,AT,JOSEF MANNER & COMP,resolved,exact_single_gleif_match_country_scoped,5493000FHOCPRAERG577,Josef Manner & Comp. Aktiengesellschaft,40643w,ACTIVE,first_two_words,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U26900,OBSv,Oberbank AG,AT,OBERBANK,resolved,exact_single_gleif_match_country_scoped,RRUN0TCQ1K2JDV7MXO75,Oberbank AG,79063w,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U28161,SMRXv,Emerald Horizon AG,AT,EMERALD HORIZON,resolved,exact_single_gleif_match_country_scoped,8945008L6AXTVW4PDF22,Emerald Horizon AG,517877i,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U28430,STMv,Stadlauer Malzfabrik Aktiengesellschaft,AT,STADLAUER MALZFABRIK,resolved,exact_single_gleif_match_country_scoped,52990050GHRKJKDBNL20,Stadlauer Malzfabrik Aktiengesellschaft,129547k,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U28523,SWUTv,SW Umwelttechnik Stoiser & Wolschner AG,AT,SW UMWELTTECHNIK STOISER & WOLSCHNER,resolved,exact_single_gleif_match_country_scoped,529900HM9YCQHAU2QC84,SW Umwelttechnik Stoiser & Wolschner AG,109859h,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U29712,WPBv,Wiener Privatbank SE,AT,WIENER PRIVATBANK,resolved,exact_single_gleif_match_country_scoped,529900VYY1MRNR59PN57,Wiener Privatbank SE,84890p,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U29798,WXFv,Warimpex Finanz- und Beteiligungs Aktiengesellschaft,AT,WARIMPEX FINANZ- UND BETEILIGUNGS,resolved,exact_single_gleif_match_country_scoped,5493001W31MVFKKLV295,Warimpex Finanz- und Beteiligungs Aktiengesellschaft,78485w,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
