research_rank,asset_id,ticker,company_name,exchange,cik,candidate_matrix_status,evidence_level,experimental_score,score_bucket,fundamentals_quality_score,growth_momentum_score,profitability_cashflow_score,price_momentum_trend_score,risk_liquidity_score,top_positive_drivers,top_risk_drivers,missing_reason,experimental_score_notes,scoring_calculated,ranking_calculated,recommendation_generated,phase
11,U00592,CFFN,"Capitol Federal Financial, Inc. - Common Stock",NASDAQ,0001490906,CANDIDATE_MATRIX_READY,high,77.9125,INVESTIGATE_HIGH,78.6071,55.9809,100.0,79.5262,72.2899,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,balance-sheet risk flag,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
12,U00170,AMGN,Amgen Inc. - Common Stock,NASDAQ,0000318154,CANDIDATE_MATRIX_READY,high,77.8635,INVESTIGATE_HIGH,69.6427,63.072,96.4757,82.8974,84.8164,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
13,U00390,BIIB,Biogen Inc. - Common Stock,NASDAQ,0000875045,CANDIDATE_MATRIX_READY,high,77.6929,INVESTIGATE_HIGH,83.0321,50.2729,91.648,83.8022,76.3864,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
14,U00054,ADEA,Adeia Inc. - Common Stock,NASDAQ,0001803696,CANDIDATE_MATRIX_READY,high,77.2821,INVESTIGATE_HIGH,90.5684,56.249,100.0,70.22,48.1776,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
15,U00011,AAPL,Apple Inc. - Common Stock,NASDAQ,0000320193,CANDIDATE_MATRIX_READY,high,76.5883,INVESTIGATE_HIGH,77.4873,50.4051,99.4087,81.3122,71.1689,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,balance-sheet risk flag,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
16,U00519,CARE,"Carter Bankshares, Inc. - Common Stock",NASDAQ,0001829576,CANDIDATE_MATRIX_READY,high,76.2259,INVESTIGATE_HIGH,77.3168,51.2193,100.0,80.6376,66.5948,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,balance-sheet risk flag,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
17,U00169,AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ,0000002488,CANDIDATE_MATRIX_READY,high,76.1559,INVESTIGATE_HIGH,72.6046,65.319,90.7481,86.531,58.549,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,high 6m volatility,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
18,U00214,APPF,"AppFolio, Inc. - Class A Common Stock",NASDAQ,0001433195,CANDIDATE_MATRIX_READY,high,75.9668,INVESTIGATE_HIGH,94.9145,71.241,94.5713,43.7273,55.8452,positive revenue growth; positive profitability/FCF signal,large 12m drawdown,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
19,U00497,BZ,KANZHUN LIMITED - American Depository Shares,NASDAQ,0001842827,CANDIDATE_MATRIX_READY,high,75.8547,INVESTIGATE_HIGH,100.0,68.9995,100.0,31.5559,57.4357,positive revenue growth; positive profitability/FCF signal,large 12m drawdown,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
20,U00379,BGC,"BGC Group, Inc. - Class A Common Stock",NASDAQ,0001094831,CANDIDATE_MATRIX_READY,high,75.4173,INVESTIGATE_HIGH,75.0716,75.9686,79.0374,76.8424,65.2613,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
21,U00251,ARWR,"Arrowhead Pharmaceuticals, Inc. - Common Stock",NASDAQ,0000879407,CANDIDATE_MATRIX_READY,high,74.9964,INVESTIGATE_MEDIUM,70.4579,82.6302,71.9635,81.6766,66.0499,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,high 6m volatility,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
22,U00591,CFFI,C&F Financial Corporation - Common Stock,NASDAQ,0000913341,CANDIDATE_MATRIX_READY,high,74.823,INVESTIGATE_MEDIUM,70.823,63.5371,92.5047,79.9822,63.7127,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,balance-sheet risk flag,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
23,U00165,AMAT,"Applied Materials, Inc. - Common Stock",NASDAQ,0000006951,CANDIDATE_MATRIX_READY,high,74.6014,INVESTIGATE_MEDIUM,86.9326,43.3893,97.5301,77.6237,48.1304,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
24,U00599,CGNX,Cognex Corporation - Common Stock,NASDAQ,0000851205,CANDIDATE_MATRIX_READY,high,74.5113,INVESTIGATE_MEDIUM,87.637,49.3249,92.2502,67.4589,64.1337,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
25,U00606,CHCI,"Comstock Holding Companies, Inc. - Class A Common Stock",NASDAQ,0001299969,CANDIDATE_MATRIX_READY,high,74.3267,INVESTIGATE_MEDIUM,82.1421,72.3342,65.0,85.4604,51.2513,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
26,U00312,AVPT,"AvePoint, Inc. - Class A Common Stock",NASDAQ,0001777921,CANDIDATE_MATRIX_READY,high,74.2054,INVESTIGATE_MEDIUM,87.4833,73.103,86.5102,52.3908,55.5958,positive revenue growth; positive profitability/FCF signal; positive price trend,large 12m drawdown,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
27,U00372,BELFB,Bel Fuse Inc. - Class B Common Stock,NASDAQ,0000729580,CANDIDATE_MATRIX_READY,high,74.1486,INVESTIGATE_MEDIUM,83.5668,62.4481,83.5611,71.1754,56.4159,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,high 6m volatility,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
28,U00086,AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ,0001820953,CANDIDATE_MATRIX_READY,high,73.5754,INVESTIGATE_MEDIUM,94.1164,65.889,100.0,39.8104,42.0056,positive revenue growth; positive profitability/FCF signal,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
29,U00288,ATRC,"AtriCure, Inc. - Common Stock",NASDAQ,0001323885,CANDIDATE_MATRIX_READY,high,73.2182,INVESTIGATE_MEDIUM,76.5899,69.8352,64.3111,86.3185,61.4831,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,large 12m drawdown,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
30,U00629,CINF,Cincinnati Financial Corporation - Common Stock,NASDAQ,0000020286,CANDIDATE_MATRIX_READY,high,72.6654,INVESTIGATE_MEDIUM,82.5606,60.265,96.528,43.6435,78.099,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
31,U00139,ALKS,Alkermes plc - Ordinary Shares,NASDAQ,0001520262,CANDIDATE_MATRIX_READY,high,72.3619,INVESTIGATE_MEDIUM,86.6175,19.42,95.3995,82.2183,69.6909,positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
32,U00297,AUPH,Aurinia Pharmaceuticals Inc - Common Shares,NASDAQ,0001600620,CANDIDATE_MATRIX_READY,high,72.1181,INVESTIGATE_MEDIUM,83.0079,64.8077,65.0,70.2849,71.9724,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
33,U00065,ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ,0001468328,CANDIDATE_MATRIX_READY,high,72.0959,INVESTIGATE_MEDIUM,83.4875,72.4268,75.1353,49.9753,75.4217,positive revenue growth; positive profitability/FCF signal; positive price trend,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
34,U00056,ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,0000006281,CANDIDATE_MATRIX_READY,high,72.0344,INVESTIGATE_MEDIUM,73.5824,56.7542,97.6402,57.8666,75.0752,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
35,U00371,BELFA,Bel Fuse Inc. - Class A Common Stock,NASDAQ,0000729580,CANDIDATE_MATRIX_READY,high,71.7833,INVESTIGATE_MEDIUM,83.5668,61.1385,83.5611,62.0429,53.6478,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
36,U00504,CACC,Credit Acceptance Corporation - Common Stock,NASDAQ,0000885550,CANDIDATE_MATRIX_READY,high,71.6566,INVESTIGATE_MEDIUM,75.1874,55.1679,96.4233,63.0413,61.7389,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,balance-sheet risk flag,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
37,U00037,ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,0000935036,CANDIDATE_MATRIX_READY,high,71.4922,INVESTIGATE_MEDIUM,81.2688,61.5194,90.088,51.328,65.2451,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
38,U00046,ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,0001823529,CANDIDATE_MATRIX_READY,high,70.4833,INVESTIGATE_MEDIUM,77.2377,51.5205,65.0,76.5003,87.0787,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
39,U00185,ANAB,"AnaptysBio, Inc. - Common Stock",NASDAQ,0001370053,CANDIDATE_MATRIX_READY,high,69.9416,INVESTIGATE_MEDIUM,64.013,79.5747,59.7339,84.6426,59.4741,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,high 6m volatility,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
40,U00015,ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,0000318306,CANDIDATE_MATRIX_READY,high,69.7492,INVESTIGATE_MEDIUM,90.1663,77.9731,65.0,42.2681,56.5109,positive revenue growth; positive profitability/FCF signal,large 12m drawdown,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
41,U00053,ADBE,Adobe Inc. - Common Stock,NASDAQ,0000796343,CANDIDATE_MATRIX_READY,high,69.2471,INVESTIGATE_MEDIUM,87.56,59.3717,100.0,30.5446,49.9584,positive revenue growth; positive profitability/FCF signal,large 12m drawdown; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
42,U00047,ACTG,Acacia Research Corporation - Common Stock,NASDAQ,0000934549,CANDIDATE_MATRIX_READY,high,69.1806,INVESTIGATE_MEDIUM,80.9103,73.8901,52.9226,59.4191,76.6117,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
43,U00634,CIVB,"Civista Bancshares, Inc. - Common Stock",NASDAQ,0000944745,CANDIDATE_MATRIX_READY,high,68.5482,INVESTIGATE_MEDIUM,76.8013,24.3062,100.0,67.3776,71.7103,positive profitability/FCF signal; positive 12m momentum,balance-sheet risk flag,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
44,U00520,CARG,"CarGurus, Inc. - Class A Common Stock",NASDAQ,0001494259,CANDIDATE_MATRIX_READY,high,68.4704,INVESTIGATE_MEDIUM,85.5936,50.1043,95.8342,36.7447,62.5569,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
45,U00017,ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,0001559720,CANDIDATE_MATRIX_READY,high,68.0244,INVESTIGATE_MEDIUM,63.3224,63.6792,62.6069,85.1218,67.4606,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
46,U00513,CAMT,Camtek Ltd. - Ordinary Shares,NASDAQ,0001109138,CANDIDATE_MATRIX_READY,high,67.7254,INVESTIGATE_MEDIUM,83.0424,55.2449,92.1198,44.7404,43.9165,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
47,U00119,AIRT,"Air T, Inc. - Common Stock",NASDAQ,0000353184,CANDIDATE_MATRIX_READY,high,67.7223,INVESTIGATE_MEDIUM,62.8108,66.0996,66.2254,88.6725,46.7951,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,balance-sheet risk flag; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
48,U00653,CLSK,"CleanSpark, Inc. - Common Stock",NASDAQ,0000827876,CANDIDATE_MATRIX_READY,high,67.2035,INVESTIGATE_MEDIUM,91.1085,70.0,65.0,45.5031,37.7035,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
49,U00191,ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",NASDAQ,0001023024,CANDIDATE_MATRIX_READY,high,66.8739,INVESTIGATE_MEDIUM,83.6666,71.4211,87.4632,17.5389,64.8923,positive revenue growth; positive profitability/FCF signal,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
50,U00398,BJRI,"BJ's Restaurants, Inc. - Common Stock",NASDAQ,0001013488,CANDIDATE_MATRIX_READY,high,66.8042,INVESTIGATE_MEDIUM,62.1964,61.9633,62.6079,86.1235,60.0634,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
51,U00178,AMRX,"Amneal Pharmaceuticals, Inc. - Class A Common Stock",NASDAQ,0001723128,CANDIDATE_MATRIX_READY,high,66.615,INVESTIGATE_MEDIUM,53.9796,60.728,70.3646,82.9126,76.201,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
52,U00266,ASTH,Astrana Health Inc. - Common Stock,NASDAQ,0001083446,CANDIDATE_MATRIX_READY,high,66.6131,INVESTIGATE_MEDIUM,67.6836,77.6709,58.456,71.708,47.4108,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,large 12m drawdown; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
53,U00524,CASS,"Cass Information Systems, Inc - Common Stock",NASDAQ,0000708781,CANDIDATE_MATRIX_READY,high,66.2804,INVESTIGATE_MEDIUM,68.9334,13.4453,100.0,80.0457,69.0214,positive profitability/FCF signal; positive price trend; positive 12m momentum,balance-sheet risk flag,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
54,U00314,AVT,"Avnet, Inc. - Common Stock",NASDAQ,0000008858,CANDIDATE_MATRIX_READY,high,66.2184,INVESTIGATE_MEDIUM,62.0335,63.1051,53.0309,89.1185,65.5742,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
55,U00039,ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,0001680062,CANDIDATE_MATRIX_READY,high,65.7224,INVESTIGATE_MEDIUM,73.3018,55.1026,63.3215,80.3041,39.8617,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
56,U00571,CECO,CECO Environmental Corp. - Common Stock,NASDAQ,0000003197,CANDIDATE_MATRIX_READY,high,65.1581,INVESTIGATE_MEDIUM,70.0122,67.5678,62.4215,68.9026,43.7601,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
57,U00461,BRZE,"Braze, Inc. - Class A Common Stock",NASDAQ,0001676238,CANDIDATE_MATRIX_READY,high,65.1221,INVESTIGATE_MEDIUM,68.545,73.0617,50.4059,78.8228,41.0052,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
58,U00509,CAKE,The Cheesecake Factory Incorporated - Common Stock,NASDAQ,0000887596,CANDIDATE_MATRIX_READY,high,64.8661,INVESTIGATE_MEDIUM,54.6023,56.3324,65.3388,94.3291,52.8535,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,balance-sheet risk flag; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
59,U00486,BVS,Bioventus Inc. - Class A Common Stock,NASDAQ,0001665988,CANDIDATE_MATRIX_READY,high,64.8151,INVESTIGATE_MEDIUM,65.2662,28.6413,76.0596,95.0,52.9504,positive profitability/FCF signal; positive price trend; positive 12m momentum,high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
60,U00035,ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,0001401521,CANDIDATE_MATRIX_READY,high,64.5977,INVESTIGATE_MEDIUM,83.8179,54.8659,98.1928,14.0029,60.4002,positive revenue growth; positive profitability/FCF signal,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
61,U00207,API,"Agora, Inc. - ADS",NASDAQ,0001802883,CANDIDATE_MATRIX_READY,high,64.2919,INVESTIGATE_MEDIUM,83.1895,42.8055,83.2632,40.2137,60.7859,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,high 6m volatility,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
62,U00062,ADSK,"Autodesk, Inc. - Common Stock",NASDAQ,0000769397,CANDIDATE_MATRIX_READY,high,64.1966,INVESTIGATE_MEDIUM,72.0539,63.8047,94.9857,22.2591,63.7049,positive revenue growth; positive profitability/FCF signal,large 12m drawdown,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
63,U00523,CASH,"Pathward Financial, Inc. - Common Stock",NASDAQ,0000907471,CANDIDATE_MATRIX_READY,high,64.1629,INVESTIGATE_MEDIUM,74.0971,50.1798,98.4695,29.5475,62.9437,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,balance-sheet risk flag,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
64,U00564,CDNS,"Cadence Design Systems, Inc. - Common Stock",NASDAQ,0000813672,CANDIDATE_MATRIX_READY,high,64.1438,INVESTIGATE_MEDIUM,72.7762,53.8309,97.8321,25.2577,69.268,positive revenue growth; positive profitability/FCF signal,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
