pilot_id,ticker,company_name,status,reason,share_class_figi,exchange_codes,composite_exchange_codes,openfigi_result_truncated_at_100
P063,C5Hi,Cairn Homes PLC,identified_candidate,exact_normalized_name_match_single_company,BBG001SZP9R3,"B3,E1,EB,EO,EP,EU,EZ,GF,GM,GR,GS,ID,IX,L3,LA,LN,PO,PQ,QE,QX,S1,S4,T1,TQ,US,UV,X1,X2,X9,XA,XB,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XT,XU,XV,XW,XX,XZ","EO,GR,US,X2",True
P064,CBOXl,Cake Box Holdings PLC,identified_candidate,exact_normalized_name_match_single_company,BBG00L4285C1,"B3,E1,EP,EU,EZ,L3,LN,PO,X2,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XU,XV,XW,XX,XZ",XS,False
P065,CFXd,Capital One Financial Corp,identified_candidate,exact_normalized_name_match_single_company,BBG001S65PV8,"AV,B3,BU,BW,E1,EO,EP,EU,EZ,GD,GH,GM,GR,GS,GZ,IF,IM,L1,L3,LA,LU,MF,MM,MU,OC,OD,PO,QT,SW,TE,TH,UA,UB,UC,UF,UM,US,UT,UX,VF,VG,VJ,VK,VY,X1,X2,X9,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XU,XV,XW,XX,XZ","EO,GR,MM,SW,US",True
P066,CLEMs,Clemondo Group AB,identified_candidate,exact_normalized_name_match_single_company,BBG002YT5KJ4,"B3,E1,EO,EP,EU,EZ,GF,GR,L1,L3,LA,LU,PO,SF,X2,XA,XB,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XT,XU,XV,XW,XX,XZ","EO,GR,X2",False
P067,COHp,Coheris SA,identified_candidate,exact_normalized_name_match_single_company,BBG001SDKVZ9,"B3,E1,EB,EO,EP,EU,EZ,FP,GD,GF,GM,GR,GS,I2,IX,L1,L3,LA,LN,LU,PO,QE,QT,QX,S1,S4,T1,TQ,XA,XC,XE,XF,XG,XH,XJ,XL,XO,XS,XT,XV,XW,XX","EO,GR",False
P068,CPZ1d,Cousins Properties Inc,unresolved,no_exact_normalized_name_match,,,,
P069,CTW0d,Celestica Inc,identified_candidate,exact_normalized_name_match_single_company,BBG001S9CXM7,"B3,BF,CJ,CN,CT,DG,DJ,E1,EO,EU,EZ,GD,GF,GH,GM,GS,HD,HX,L3,LA,MF,MM,MU,OC,PO,QF,QG,QH,QT,TA,TG,TK,TR,TW,TX,UB,UC,UD,UF,UN,UP,UT,UX,VG,VK,VL,VP,VT,VY,X2,X9,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XU,XV,XW,XX,XZ","CN,EO,MM",True
P070,DB1d,Deutsche Boerse AG,identified_candidate,exact_normalized_name_match_single_company,BBG001S99KC0,"B3,BQ,E1,EO,EP,EU,EZ,GD,GF,GI,GR,GS,GY,GZ,I2,IX,L1,L3,LA,LO,LU,MM,MU,PO,PQ,QT,QX,S1,SW,T2,TE,TH,TQ,US,UV,WT,XA,XC,XE,XF,XG,XH,XJ,XL,XO,XS,XT,XV,XW,XX","EO,GR,MM,SW,US",True
P071,DHHm,DHH SpA,identified_candidate,exact_normalized_name_match_single_company,BBG00DDQRMM7,"B3,EP,EU,EZ,GF,GR,IM,L1,L3,PO,XA,XE,XF,XG,XH,XJ,XL,XO,XS,XT,XU,XV,XW",GR,False
P072,DMYDBs,DIAMYD MEDICAL AB,identified_candidate,exact_normalized_name_match_single_company,BBG004DD90Z0,"B3,E1,EO,EP,EU,EZ,GF,GM,GR,GZ,L1,L3,LA,PO,PQ,SF,US,UV,X1,X2,X9,XA,XB,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XT,XU,XV,XW,XX,XZ","EO,GR,US,X2,XS",True
P073,DSY2v,Dassault Systemes SE,identified_candidate,exact_normalized_name_match_single_company,BBG001S62RL8,"AV,B3,BQ,BW,EB,EP,EU,EZ,GD,GF,GH,GI,GM,GS,GY,GZ,I2,IX,L1,L3,LA,LO,LU,MU,PO,PQ,QE,QX,S1,SW,T1,TE,TH,TQ,US,UV,X1,X9,XA,XC,XE,XF,XG,XH,XJ,XL,XO,XS,XT,XU,XV,XW","SW,US",True
P074,EBRn,Centrais Eletricas Brasileiras SA,unresolved,no_exact_normalized_name_match,,,,
P075,EJFIl,EJF Investments Ltd,identified_candidate,exact_normalized_name_match_single_company,BBG00GBCJ7S9,"E1,EO,XS,XX",EO,False
P076,EMVCl,EMV Capital PLC,identified_candidate,exact_normalized_name_match_single_company,BBG00579Y6P3,"B3,E1,EO,EP,EU,EZ,GF,GR,GS,L3,LN,PO,X1,X2,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XU,XV,XW,XX,XZ","EO,GR",False
P077,EPROs,Europris ASA,identified_candidate,exact_normalized_name_match_single_company,BBG0099WSPH6,"B3,E1,EB,EO,EP,EU,EZ,GD,GF,GM,GR,GS,GZ,I2,IX,L1,L3,LA,LO,LU,NO,PO,QE,QT,QX,S1,S4,SF,T1,TH,X1,X9,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XU,XV,XW,XX,XZ","EO,GR,XS",True
P078,EUZGv,Eckert & Ziegler SE,identified_candidate,exact_normalized_name_match_single_company,BBG001S64SJ7,"AV,B3,BQ,BU,BW,E1,EB,EP,EU,EZ,GD,GF,GH,GI,GM,GR,GS,GY,GZ,I2,IF,IM,IX,L1,L3,LA,LO,LU,PO,QE,QT,QX,S1,S4,SW,T1,TE,TH,TQ,XA,XC,XE,XF,XG,XH,XJ,XL,XO,XQ,XU,XV,XW,XX,XZ","GR,SW",True
P079,FB2Ad,Meta Platforms Inc,unresolved,no_exact_normalized_name_match,,,,
P080,FLERIs,Flerie AB,identified_candidate,exact_normalized_name_match_single_company,BBG00DZ9N1P8,"B3,EB,EP,EU,EZ,GF,GM,GR,GS,GZ,I2,IX,L1,L3,LA,LU,PO,S1,S4,SS,T1,TQ,XA,XF,XG,XH,XJ,XL,XO,XU,XV,XW",GR,False
P081,FPILIc,Formuepleje LimiTTellus akk,unresolved,no_exact_normalized_name_match,,,,
P082,FUTRl,Future PLC,identified_candidate,exact_normalized_name_match_single_company,BBG001SCWVF0,"BQ,E1,EO,EP,EU,EZ,GF,GM,GS,IX,L3,PQ,S1,X1,X2,XE,XG,XH,XJ,XL,XQ,XS,XT,XV,XW,XX",EO,True
P083,GENLl,Genel Energy Plc,identified_candidate,exact_normalized_name_match_single_company,BBG001V1R1R9,"B3,BQ,BW,E1,EB,EO,EP,EU,EZ,GD,GF,GM,GR,GS,GZ,IX,L1,L3,LA,LN,LU,PO,PQ,QT,QX,S1,SW,TH,TQ,US,UV,X1,X2,X9,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XU,XV,XW,XX,XY,XZ","EO,GR,SW,US,XS",True
P084,GMETl,Guardian Metal Resources PLC,identified_candidate,exact_normalized_name_match_single_company,BBG01GL4VBG5,"B3,E1,EO,EP,EU,EZ,GF,GR,GZ,L1,L3,LN,LU,PO,PQ,QT,S1,TQ,US,UV,X1,X2,XA,XF,XG,XH,XJ,XL,XO,XQ,XT,XU,XV,XW,XX,XY,XZ","EO,GR,US",True
P085,GRRMFn,Gerresheimer AG,identified_candidate,exact_normalized_name_match_single_company,BBG001SR4GS7,"AV,B3,BQ,BW,E1,EB,EO,EP,EU,EZ,GF,GI,GM,GS,GY,GZ,I2,IM,IX,L1,L3,LA,LO,MF,MM,MU,PO,QE,QT,S4,SE,SW,T1,TE,TH,TQ,US,UV,WT,X1,XA,XC,XE,XG,XH,XJ,XL,XO,XS,XU,XV,XW,XX,XZ","EO,MM,SW,US,XS",True
P086,HAINn,Hain Celestial Group Inc/The,identified_candidate,exact_normalized_name_match_single_company,BBG001SBCKV0,"B3,BW,E1,EP,EU,EZ,GD,GF,GI,GM,GR,GS,GZ,L1,L3,LA,LN,LU,OC,OD,PO,QT,SW,TH,UA,UB,UC,UD,UF,UM,UN,UP,US,UW,UX,VF,VG,VJ,VK,VL,VP,VT,VY,X1,X2,X9,XA,XE,XF,XG,XH,XJ,XL,XO,XP,XQ,XS,XT,XU,XV,XW,XX,XZ","GR,SW,US,XS",True
P087,HENOFn,Henkel AG & Co KGaA,identified_candidate,exact_normalized_name_match_single_company,BBG001S61YV3,"AV,B3,BQ,BW,E1,EO,EP,EU,EZ,GD,GI,GM,GR,GS,GY,GZ,I2,IF,IX,L1,L3,LA,LO,LU,MF,MM,MU,PO,PQ,QE,S1,S4,SE,T1,TE,TH,TQ,US,UV,WT,X9,XA,XC,XE,XF,XG,XH,XJ,XL,XO,XS,XT,XU,XV,XW,XX","EO,GR,MM,US",True
P088,HOCd,HolidayCheck Group AG,identified_candidate,exact_normalized_name_match_single_company,BBG001SFTL96,"B3,E1,EO,EP,EU,EZ,GH,GR,L1,L3,LN,PO,TE,X1,X2,X9,XA,XC,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XT,XU,XV,XW,XX,XY,XZ","EO,GR,XS",False
P089,HVBd,Uestra Hannoversche Verkehrsbetriebe AG,unresolved,no_exact_normalized_name_match,,,,
P090,IDNTTm,ID-Entity SA,identified_candidate,exact_normalized_name_match_single_company,BBG011K2NBX3,"B3,E1,EO,EP,EU,EZ,GF,GR,IM,L1,L3,PO,X1,X2,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XT,XU,XV,XW,XX,XY,XZ","EO,GR,XS",False
P091,IMPw,Impera Capital Alternatywna Spolka Inwestycyjna SA,unresolved,no_exact_normalized_name_match,,,,
P092,IOSd,IONOS Group SE,identified_candidate,exact_normalized_name_match_single_company,BBG009L329Q0,"AV,B3,BQ,BW,E1,EB,EO,EP,EU,EZ,GD,GF,GH,GI,GM,GR,GS,GY,GZ,I2,IX,L1,L3,LA,LU,PO,PQ,QE,QT,QX,S1,S4,SE,SW,T1,TH,TQ,US,UV,X1,X2,XA,XF,XG,XH,XJ,XL,XO,XQ,XU,XV,XW,XX,XY,XZ","EO,GR,SW,US",True
P093,IVNm,Ivision Tech SpA,identified_candidate,exact_normalized_name_match_single_company,BBG01HHDT814,"B3,E1,EO,EP,EU,EZ,GF,GR,GS,IM,L1,L3,LA,PO,X1,X2,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XU,XV,XW,XX,XY,XZ","EO,GR",False
P094,JNEOl,Journeo PLC,identified_candidate,exact_normalized_name_match_single_company,BBG001S8LKZ3,"B3,EP,EU,EZ,L3,LN,PO,PQ,US,UV,XA,XE,XF,XG,XH,XJ,XL,XO,XS,XU,XV,XW",US,False
P095,KDVBs,KDventures AB,identified_candidate,exact_normalized_name_match_single_company,BBG001TG5DF0,"B3,E1,EB,EO,EP,EU,EZ,GF,GM,GR,GS,GZ,I2,IX,L1,L3,LA,LN,PO,PQ,QE,QX,S1,S4,SS,T1,TQ,X1,X2,X9,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XU,XV,XW,XX,XY,XZ","EO,GR,XS",False
P096,KNMl,Konami Group Corp,identified_candidate,exact_normalized_name_match_single_company,BBG001S6GB83,"B3,E1,EO,EP,EU,EZ,GD,GF,GH,GM,GR,GS,GZ,JE,JJ,JL,JP,JT,JU,JV,JW,L1,L3,LA,LN,LU,MF,MM,MU,PO,QT,TH,US,UV,X1,X2,XA,XC,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XT,XU,XV,XW,XX,XY,XZ","EO,GR,JP,MM,US",True
P097,KVTw,Krynica Vitamin SA,identified_candidate,exact_normalized_name_match_single_company,BBG001V01XC5,"B3,E1,EO,EP,EU,EZ,L1,L3,LN,PO,PW,X9,XA,XE,XF,XG,XH,XJ,XL,XO,XS,XT,XU,XV,XW,XX",EO,False
P098,LHAv,Deutsche Lufthansa AG,identified_candidate,exact_normalized_name_match_single_company,BBG001S68VH8,"B3,BQ,BU,BW,E1,EB,EO,EP,EU,EZ,GI,GM,GY,HB,I2,IF,IM,IX,L1,L3,LA,PO,QX,RE,RO,SW,T2,TH,TQ,US,UV,X2,XA,XB,XC,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XT,XU,XV,XW,XX,XY","EO,RO,SW,US,X2",True
P099,LOTBb,Lotus Bakeries NV,identified_candidate,exact_normalized_name_match_single_company,BBG001SKKCS3,"AV,B3,BB,BQ,E1,EB,EO,EP,EU,EZ,GD,GF,GH,GM,GR,GS,GZ,I2,IX,L1,L3,LA,LN,LU,PO,PQ,QE,QT,QX,S1,S4,T1,T2,TH,TQ,US,UV,WT,X1,X2,X9,XA,XC,XE,XF,XG,XH,XJ,XL,XO,XP,XQ,XS,XU,XV,XW,XX,XY,XZ","EO,GR,US",True
P100,M3Vd,MeVis Medical Solutions AG,identified_candidate,exact_normalized_name_match_single_company,BBG001SNBMH7,"B3,E1,EB,EO,EP,EU,EZ,GD,GF,GM,GR,GS,GY,GZ,I2,IX,L1,L3,LA,LN,LU,PO,QE,QT,QX,S1,S4,T1,TH,TQ,X1,X2,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XU,XV,XW,XX,XY,XZ","EO,GR",False
P101,MCKd,McKesson Corp,identified_candidate,exact_normalized_name_match_single_company,BBG001S8F8P8,"B3,BW,E1,EO,EP,EZ,GD,GF,GM,GR,GS,GY,IF,L1,L3,LA,LN,LU,MU,OC,OD,PO,QT,SW,TE,TH,UA,UB,UC,UD,UF,UM,UN,UP,US,UT,UX,VF,VG,VJ,VK,VL,VP,VY,X2,X9,XA,XB,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XU,XV,XW,XX,XZ","EO,GR,SW,US,X2",True
P102,MGNSl,Morgan Sindall Group PLC,identified_candidate,exact_normalized_name_match_single_company,BBG001SGQLB4,"B3,BQ,E1,EB,EO,EP,EU,EZ,GD,GF,GH,GM,GR,GS,GZ,IX,L3,LA,LN,LU,PO,PZ,QT,QX,S1,TQ,X1,X9,XA,XC,XE,XF,XG,XH,XJ,XL,XO,XS,XT,XV,XW,XX","EO,GR",False
P103,MMMn,3M Co,identified_candidate,exact_normalized_name_match_single_company,BBG001S5T7X2,"AV,B3,CC,CE,CI,E1,EB,EO,EU,GF,GH,GY,GZ,I2,IF,IX,L1,L3,LO,LU,MU,OC,OD,PO,UF,UP,US,UT,UX,VG,VJ,VL,VT,X1,X9,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XU,XV,XW,XX,XZ","CI,EO,US",True
P104,MRBw,Mirbud SA,identified_candidate,exact_normalized_name_match_single_company,BBG001SV6LL2,"B3,E1,EO,EP,EU,EZ,GF,GM,GR,GS,GZ,L1,L3,LA,LN,LU,PO,PW,X1,X2,X9,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XT,XU,XV,XW,XX,XY,XZ","EO,GR,XS",False
P105,MURGFn,Muenchener Rueckversicherungs AG,unresolved,no_exact_normalized_name_match,,,,
P106,NCH2v,Thyssenkrupp Nucera AG & Co KGaa,identified_candidate,exact_normalized_name_match_single_company,BBG007KD1F44,"AV,B3,BQ,BW,E1,EB,EO,EP,EU,EZ,GD,GF,GH,GI,GM,GR,GS,GY,GZ,I2,IX,L1,L3,LA,LU,PO,PQ,QE,QT,QX,S1,S4,SW,T1,TH,TQ,US,UV,X1,X2,X9,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XT,XU,XV,XW,XX,XY,XZ","EO,GR,SW,US",True
P107,NFXl,Nuformix PLC,identified_candidate,exact_normalized_name_match_single_company,BBG00BNG11W5,"B3,E1,EO,EP,EU,EZ,GF,GR,GS,L3,LN,PO,X1,X2,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XT,XU,XV,XW,XX,XZ","EO,GR,XS",False
